Survey Year,sample_definition,Variable,Category,Count,Percentage,Missing N,Missing %
2002,full_sample,EDU,不識字/自修,1098,0.08373369938229239,0,0
2002,full_sample,EDU,國(初)中,2644,0.20163196827575688,0,0
2002,full_sample,EDU,國小,4619,0.35224586288416077,0,0
2002,full_sample,EDU,專科以上,1234,0.09410508655532678,0,0
2002,full_sample,EDU,高中職,3518,0.26828338290246323,0,0
2002,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,1千~未滿3千元,1279,0.19854082583048743,6671,0.5087317928772973
2002,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,1萬元以上,233,0.03616889164855635,6671,0.5087317928772973
2002,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,3千~未滿5千元,641,0.0995032598571872,6671,0.5087317928772973
2002,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,5千~未滿7千元,351,0.05448618441477802,6671,0.5087317928772973
2002,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,7千~未滿1萬元,278,0.043154299906861225,6671,0.5087317928772973
2002,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,未滿1千元,1119,0.17370381868984788,6671,0.5087317928772973
2002,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,無此消費,2541,0.3944427196522819,6671,0.5087317928772973
2002,full_sample,EXP_TRAVEL_EXPENDITURE,1千~未滿3千元,829,0.1280902348578492,6641,0.5064439868832457
2002,full_sample,EXP_TRAVEL_EXPENDITURE,1萬元以上,44,0.006798516687268232,6641,0.5064439868832457
2002,full_sample,EXP_TRAVEL_EXPENDITURE,3千~未滿5千元,365,0.056396786155747836,6641,0.5064439868832457
2002,full_sample,EXP_TRAVEL_EXPENDITURE,5千~未滿7千元,119,0.01838689740420272,6641,0.5064439868832457
2002,full_sample,EXP_TRAVEL_EXPENDITURE,7千~未滿1萬元,62,0.009579728059332509,6641,0.5064439868832457
2002,full_sample,EXP_TRAVEL_EXPENDITURE,未滿1千元,837,0.12932632880098888,6641,0.5064439868832457
2002,full_sample,EXP_TRAVEL_EXPENDITURE,無此消費,4216,0.6514215080346106,6641,0.5064439868832457
2002,full_sample,HOUSE_BELONG,借用,354,0.027016713729680227,10,7.626019980172348e-4
2002,full_sample,HOUSE_BELONG,租賃,2072,0.1581317255590323,10,7.626019980172348e-4
2002,full_sample,HOUSE_BELONG,自有/家人所有/自建,10456,0.797985194230329,10,7.626019980172348e-4
2002,full_sample,HOUSE_BELONG,配住,221,0.01686636648095856,10,7.626019980172348e-4
2002,full_sample,INC_FAM_OTHER_INCOME,1萬~未滿2萬元,798,0.060855639441775335,0,0
2002,full_sample,INC_FAM_OTHER_INCOME,5千~未滿1萬元,838,0.06390604743384427,0,0
2002,full_sample,INC_FAM_OTHER_INCOME,5萬~未滿6萬元,357,0.02722489132921528,0,0
2002,full_sample,INC_FAM_OTHER_INCOME,6萬元以上,261,0.01990391214824983,0,0
2002,full_sample,INC_FAM_OTHER_INCOME,未滿5千元,915,0.06977808281857699,0,0
2002,full_sample,INC_FAM_OTHER_INCOME,無此收入,9944,0.7583314268283383,0,0
2002,full_sample,MALE,男性,7901,0.6025318386334172,0,0
2002,full_sample,MALE,非男性,5212,0.3974681613665828,0,0
2002,full_sample,RACE,卑南族,401,0.030580340120491115,0,0
2002,full_sample,RACE,噶瑪蘭族,5,3.813009990086174e-4,0,0
2002,full_sample,RACE,布農族,1336,0.10188362693510257,0,0
2002,full_sample,RACE,排灣族,2511,0.19148936170212766,0,0
2002,full_sample,RACE,泰雅族,3069,0.23404255319148937,0,0
2002,full_sample,RACE,賽夏族,185,0.014108136963318843,0,0
2002,full_sample,RACE,邵族,28,0.0021352855944482573,0,0
2002,full_sample,RACE,鄒族,187,0.01426065736292229,0,0
2002,full_sample,RACE,阿美族,4931,0.3760390452222985,0,0
2002,full_sample,RACE,雅美族/達悟族,124,0.009456264775413711,0,0
2002,full_sample,RACE,魯凱族,336,0.02562342713337909,0,0
2002,full_sample,RENT,"20,000元以上",43,0.2866666666666667,12963,0.9885609700297415
2002,full_sample,RENT,"未滿1,000元",107,0.7133333333333334,12963,0.9885609700297415
2006,full_sample,EDU,不知道/拒答,11,0.0018293696989855313,0,0
