sample_definition,survey_year,variable,valid_n,missing_n,missing_pct,mean,median,sd,min,max
full_sample,2002,EXP_ALCOHOL_EXPENDITURE,7836,5277,0.4024250743536948,2151.492598264421,2000,1762.8505603409885,500,8500
full_sample,2002,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,3901,9212,0.7025089605734767,2631.9489874391184,2000,2342.959980553226,500,8500
full_sample,2002,EXP_FOOD_EXPENDITURE,12884,229,0.01746358575459468,16817.56442098727,15000,9186.81306879074,4000,45000
full_sample,2002,EXP_MEDICAL_EXPENDITURE,11688,1425,0.10867078471745596,2336.0293463381245,2000,2097.993119883903,500,8500
full_sample,2002,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,1125,11988,0.9142072752230611,34394.02311111111,34500,11571.97726668504,8000,69501
full_sample,2002,EXP_TOTAL_DERIVED_EXPENDITURE,13091,22,0.0016777243956379165,24240.926056069056,23000,12147.534701441331,500,69501
full_sample,2002,EXP_TOTAL_REPORTED_EXPENDITURE,13097,16,0.0012201631968275757,26327.505841032296,25000,15629.614083633487,10000,75000
full_sample,2002,EXP_TRANSPORT_COMM_EXPENDITURE,12938,175,0.013345534965301609,3202.2784819910344,2000,2300.743396294264,500,8500
full_sample,2002,EXP_TRAVEL_EXPENDITURE,2256,10857,0.8279569892473119,2127.4574468085107,2000,1875.1459272012105,500,8500
full_sample,2002,INC_FAM_GOV_INCOME,4726,8387,0.6395942957370548,4506.354845535337,3000,2784.350759540406,1000,25000
full_sample,2002,INC_FAM_OTHER_INCOME,3169,9944,0.7583314268283383,12884.684758598927,7500,15770.093836852378,2500,55000
full_sample,2002,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,1025,12088,0.9218332952032334,35973.07219512195,28000,22584.155481988397,13500,170000
full_sample,2002,INC_FAM_TOTAL_DERIVED_INCOME,12945,168,0.012811713566689545,36844.33055233681,30000,25812.779033761748,1000,170000
full_sample,2002,INC_FAM_TOTAL_REPORTED_INCOME,13113,0,0,35226.9987798368,30000,25660.98079136494,10000,135000
full_sample,2002,INC_FAM_WORK_INCOME,11675,1438,0.10966216731487836,35530.728907922916,30000,24920.93628506753,10000,135000
full_sample,2006,EXP_ALCOHOL_EXPENDITURE,5662,351,0.05837352403126559,1252.9586718474038,499.5,1683.7020384786554,0,24999.5
full_sample,2006,EXP_CARE_EXPENDITURE,5942,71,0.011807749875270248,410.6650959272972,0,1704.312786132404,0,34999.5
full_sample,2006,EXP_CLEANING_EXPENDITURE,5963,50,0.008315316813570598,113.75976857286601,0,1043.614687398011,0,34999.5
full_sample,2006,EXP_CLOTHING_EXPENDITURE,5609,404,0.06718775985365043,1059.4597076127652,499.5,1391.5219347595246,0,17499.5
full_sample,2006,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,5742,271,0.045069017129552635,1960.303204458377,499.5,3225.3162907440524,0,34999.5
full_sample,2006,EXP_FOOD_EXPENDITURE,5341,672,0.11175785797438882,9466.36715970792,7499.5,7269.844650681156,0,64999.5
full_sample,2006,EXP_FURNITURE_EXPENDITURE,5689,324,0.053883252951937466,508.27764106169803,0,1367.997875367699,0,24999.5
full_sample,2006,EXP_HOUSING_UTIL_EXPENDITURE,5601,412,0.06851821054382172,4462.725406177468,1499.5,4754.437699293132,0,54999.5
full_sample,2006,EXP_LOAN_INTEREST_EXPENDITURE,5803,210,0.034924330616996506,3537.2036877477167,0,5758.971390058897,0,34999.5
full_sample,2006,EXP_MEDICAL_EXPENDITURE,5282,731,0.12156993181440214,2766.5810299129116,1499.5,3736.4883266776637,0,34999.5
full_sample,2006,EXP_OTHER_EXPENDITURE,5845,168,0.027939464493597205,514.1924721984602,0,1158.7953165043834,0,24999.5
