DATA_Y,ADMIN_NAME_YEAR_SPECIFIC,COUNTY_ORIGINAL,COUNTY,COUNTY_MAPPING_STATUS,frequency
2002,南投縣,水里鄉草屯鎮,水里鄉草屯鎮,ambiguous_combined_townships,52
2002,嘉義市,,,missing,52
2002,基隆市,,,missing,52
2002,宜蘭縣,五結冬山鄉,五結冬山鄉,ambiguous_combined_townships,53
2002,宜蘭縣,頭城礁溪員山鄉,頭城礁溪員山鄉,ambiguous_combined_townships,44
2002,新竹市,,,missing,53
2002,新竹縣,新埔鎮芎林鄉橫山鄉,新埔鎮芎林鄉橫山鄉,ambiguous_combined_townships,52
2002,新竹縣,竹北市新豐鄉,竹北市新豐鄉,ambiguous_combined_townships,57
2002,臺中縣,后里鄉外埔鄉,后里鄉外埔鄉,ambiguous_combined_townships,52
2002,臺中縣,清水鎮沙鹿鎮,清水鎮沙鹿鎮,ambiguous_combined_townships,53
2002,臺中縣,烏日鄉霧峰鄉,烏日鄉霧峰鄉,ambiguous_combined_townships,40
2002,臺北市,,,missing,419
2002,臺北縣,八里鄉三芝鄉,八里鄉三芝鄉,ambiguous_combined_townships,52
2002,臺南市,,,missing,53
2002,苗栗縣,竹南鎮後龍鎮造橋鄉,竹南鎮後龍鎮造橋鄉,ambiguous_combined_townships,52
2002,連江縣,,,missing,9
2002,金門縣,,,missing,27
2002,高雄市,,,missing,302
2002,高雄縣,六龜鄉美濃鎮,六龜鄉美濃鎮,ambiguous_combined_townships,57
2002,高雄縣,大樹鄉仁武鄉,大樹鄉仁武鄉,ambiguous_combined_townships,53
2002,高雄縣,林園鄉鳥松鄉,林園鄉鳥松鄉,ambiguous_combined_townships,47
2006,屏東縣,,,missing,1
2006,新竹市,,,missing,1
2006,桃園縣,,,missing,1
2006,臺南市,,,missing,2
2006,臺東縣,,,missing,1
2006,高雄縣,,,missing,1
