domain,data_year,survey_tag,integrated_var,raw_var,dataset_var,storage_type,value_label_n,non_missing_n,distinct_n,indicator_var,indicator_exists,open_amount_var,open_amount_exists
expenditure,2021,110,EXP_ALCOHOL,H5,h5,haven_labelled;vctrs_vctr;double,13,5409,13,NA,FALSE,NA,FALSE
expenditure,2021,110,EXP_BOOKS,H7-3,h7_3_2,haven_labelled;vctrs_vctr;double,12,5409,9,h7_3_1,TRUE,h7_3_2o,FALSE
expenditure,2021,110,EXP_CARE,H7-9,h7_9_2,haven_labelled;vctrs_vctr;double,12,5409,12,h7_9_1,TRUE,h7_9_2o,TRUE
expenditure,2021,110,EXP_CLEANING,H7-1,h7_1_2,haven_labelled;vctrs_vctr;double,12,5409,10,h7_1_1,TRUE,h7_1_2o,FALSE
expenditure,2021,110,EXP_CLOTHING,H7-7,h7_7_2,haven_labelled;vctrs_vctr;double,12,5409,12,h7_7_1,TRUE,h7_7_2o,TRUE
expenditure,2021,110,EXP_DINING_LODGING,H7-6,h7_6_2,haven_labelled;vctrs_vctr;double,12,5409,12,h7_6_1,TRUE,h7_6_2o,TRUE
expenditure,2021,110,EXP_EDU_TUITION,H7-2,h7_2_2,haven_labelled;vctrs_vctr;double,12,5409,12,h7_2_1,TRUE,h7_2_2o,TRUE
expenditure,2021,110,EXP_FOOD,H1,h1,haven_labelled;vctrs_vctr;double,13,5409,13,NA,FALSE,NA,FALSE
expenditure,2021,110,EXP_FURNITURE,H7-8,h7_8_2,haven_labelled;vctrs_vctr;double,12,5409,12,h7_8_1,TRUE,h7_8_2o,TRUE
expenditure,2021,110,EXP_HOUSING_UTIL,H2,h2,haven_labelled;vctrs_vctr;double,16,5409,16,NA,FALSE,NA,FALSE
expenditure,2021,110,EXP_LOAN_INTEREST,H7-5,h7_5_2,haven_labelled;vctrs_vctr;double,12,5409,12,h7_5_1,TRUE,h7_5_2o,TRUE
expenditure,2021,110,EXP_MEDICAL,H4,h4,haven_labelled;vctrs_vctr;double,13,5409,13,NA,FALSE,NA,FALSE
expenditure,2021,110,EXP_OTHER,H7-10,h7_10_2,haven_labelled;vctrs_vctr;double,12,5409,12,h7_10_1,TRUE,h7_10_2o,TRUE
expenditure,2021,110,EXP_TAX_INS_GIFT,H6,h6,haven_labelled;vctrs_vctr;double,14,5409,14,NA,FALSE,NA,FALSE
expenditure,2021,110,EXP_TRANSPORT_COMM,H3,h3,haven_labelled;vctrs_vctr;double,12,5409,12,NA,FALSE,NA,FALSE
expenditure,2021,110,EXP_TRAVEL,H7-4,h7_4_2,haven_labelled;vctrs_vctr;double,12,5409,12,h7_4_1,TRUE,h7_4_2o,TRUE
income,2021,110,INC_FAM_GOV,G4,g4,haven_labelled;vctrs_vctr;double,13,5409,13,NA,FALSE,NA,FALSE
income,2021,110,INC_FAM_INTEREST,G6,g6,haven_labelled;vctrs_vctr;double,13,5409,13,NA,FALSE,NA,FALSE
income,2021,110,INC_FAM_OTHER,G8,g8,haven_labelled;vctrs_vctr;double,13,5409,11,NA,FALSE,NA,FALSE
income,2021,110,INC_FAM_RENT,G7,g7,haven_labelled;vctrs_vctr;double,13,5409,12,NA,FALSE,NA,FALSE
income,2021,110,INC_FAM_TRANSFER,G5,g5,haven_labelled;vctrs_vctr;double,13,5409,13,NA,FALSE,NA,FALSE
income,2021,110,INC_FAM_WORK,G3,g3,haven_labelled;vctrs_vctr;double,14,5409,14,NA,FALSE,NA,FALSE
income,2021,110,INC_PERS_GOV,E2,e2,haven_labelled;vctrs_vctr;double,13,5409,13,NA,FALSE,NA,FALSE
income,2021,110,INC_PERS_INTEREST,E4,e4,haven_labelled;vctrs_vctr;double,13,5409,13,NA,FALSE,NA,FALSE
income,2021,110,INC_PERS_OTHER,E6,e6,haven_labelled;vctrs_vctr;double,13,5409,11,NA,FALSE,NA,FALSE
income,2021,110,INC_PERS_RENT,E5,e5,haven_labelled;vctrs_vctr;double,13,5409,12,NA,FALSE,NA,FALSE
income,2021,110,INC_PERS_TRANSFER,E3,e3,haven_labelled;vctrs_vctr;double,13,5409,13,NA,FALSE,NA,FALSE
income,2021,110,INC_PERS_WORK,E1,e1,haven_labelled;vctrs_vctr;double,16,5409,16,NA,FALSE,NA,FALSE
