sample_definition,DATA_Y,variable,valid_n,mean,complete_n
full_sample,2002,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,1125,34394.02311111111,1125
full_sample,2002,EXP_TOTAL_DERIVED_EXPENDITURE,13091,24240.926056069056,1125
full_sample,2002,EXP_TOTAL_REPORTED_EXPENDITURE,13097,26327.505841032296,0
full_sample,2002,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,1025,35973.07219512195,1025
full_sample,2002,INC_FAM_TOTAL_DERIVED_INCOME,12945,36844.33055233681,1025
full_sample,2002,INC_FAM_TOTAL_REPORTED_INCOME,13113,35226.9987798368,0
full_sample,2006,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,3716,35405.95425188375,3716
full_sample,2006,EXP_TOTAL_DERIVED_EXPENDITURE,6012,31484.432884231537,3716
full_sample,2006,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,4839,36934.792105806984,4839
full_sample,2006,INC_FAM_TOTAL_DERIVED_INCOME,6005,32487.767527060783,4839
full_sample,2010,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,4962,31782.911527609835,4962
full_sample,2010,EXP_TOTAL_DERIVED_EXPENDITURE,5027,31890.309926397455,4962
full_sample,2010,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,5012,35771.53272146847,5012
full_sample,2010,INC_FAM_TOTAL_DERIVED_INCOME,5027,35766.841655062664,5012
full_sample,2014,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,5214,40401.483601841195,5214
full_sample,2014,EXP_TOTAL_DERIVED_EXPENDITURE,5214,40401.483601841195,5214
full_sample,2014,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,3345,67222.8134529148,3345
full_sample,2014,INC_FAM_TOTAL_DERIVED_INCOME,3345,67222.8134529148,3345
full_sample,2017,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,1,128750,1
full_sample,2017,EXP_TOTAL_DERIVED_EXPENDITURE,5302,45191.34288947567,1
full_sample,2017,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,5302,58170.030177291585,5302
full_sample,2017,INC_FAM_TOTAL_DERIVED_INCOME,5302,58170.030177291585,5302
full_sample,2021,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,5409,45568.68182658532,5409
full_sample,2021,EXP_TOTAL_DERIVED_EXPENDITURE,5409,45568.68182658532,5409
full_sample,2021,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,5409,62706.507672397856,5409
full_sample,2021,INC_FAM_TOTAL_DERIVED_INCOME,5409,62706.507672397856,5409
indigenous_analysis_sample,2002,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,1125,34394.02311111111,1125
indigenous_analysis_sample,2002,EXP_TOTAL_DERIVED_EXPENDITURE,13091,24240.926056069056,1125
indigenous_analysis_sample,2002,EXP_TOTAL_REPORTED_EXPENDITURE,13097,26327.505841032296,0
indigenous_analysis_sample,2002,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,1025,35973.07219512195,1025
indigenous_analysis_sample,2002,INC_FAM_TOTAL_DERIVED_INCOME,12945,36844.33055233681,1025
indigenous_analysis_sample,2002,INC_FAM_TOTAL_REPORTED_INCOME,13113,35226.9987798368,0
indigenous_analysis_sample,2006,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,3716,35405.95425188375,3716
indigenous_analysis_sample,2006,EXP_TOTAL_DERIVED_EXPENDITURE,6012,31484.432884231537,3716
indigenous_analysis_sample,2006,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,4839,36934.792105806984,4839
indigenous_analysis_sample,2006,INC_FAM_TOTAL_DERIVED_INCOME,6005,32487.767527060783,4839
indigenous_analysis_sample,2010,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,4962,31782.911527609835,4962
indigenous_analysis_sample,2010,EXP_TOTAL_DERIVED_EXPENDITURE,5027,31890.309926397455,4962
indigenous_analysis_sample,2010,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,5012,35771.53272146847,5012
indigenous_analysis_sample,2010,INC_FAM_TOTAL_DERIVED_INCOME,5027,35766.841655062664,5012
indigenous_analysis_sample,2014,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,5214,40401.483601841195,5214
indigenous_analysis_sample,2014,EXP_TOTAL_DERIVED_EXPENDITURE,5214,40401.483601841195,5214
indigenous_analysis_sample,2014,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,3345,67222.8134529148,3345
indigenous_analysis_sample,2014,INC_FAM_TOTAL_DERIVED_INCOME,3345,67222.8134529148,3345
indigenous_analysis_sample,2017,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,0,NA,0
indigenous_analysis_sample,2017,EXP_TOTAL_DERIVED_EXPENDITURE,4494,43620.883400089006,0
indigenous_analysis_sample,2017,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,4494,56234.64619492657,4494
indigenous_analysis_sample,2017,INC_FAM_TOTAL_DERIVED_INCOME,4494,56234.64619492657,4494
indigenous_analysis_sample,2021,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,5409,45568.68182658532,5409
indigenous_analysis_sample,2021,EXP_TOTAL_DERIVED_EXPENDITURE,5409,45568.68182658532,5409
indigenous_analysis_sample,2021,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,5409,62706.507672397856,5409
indigenous_analysis_sample,2021,INC_FAM_TOTAL_DERIVED_INCOME,5409,62706.507672397856,5409
