variable,survey_year,raw_var,observed_n
EXP_BOOKS_EXPENDITURE,2002,exp_books,0
EXP_BOOKS_EXPENDITURE,2006,exp_books,0
EXP_BOOKS_EXPENDITURE,2010,exp_books,0
EXP_CARE_EXPENDITURE,2002,exp_care,0
EXP_CLEANING_EXPENDITURE,2002,exp_cleaning,0
EXP_CLOTHING_EXPENDITURE,2002,exp_clothing,0
EXP_DINING_LODGING_EXPENDITURE,2002,exp_dining_lodging,0
EXP_DINING_LODGING_EXPENDITURE,2006,exp_dining_lodging,0
EXP_DINING_LODGING_EXPENDITURE,2010,exp_dining_lodging,0
EXP_EDU_BOOKS_COMBINED_EXPENDITURE,2014,exp_edu_books_combined,0
EXP_EDU_BOOKS_COMBINED_EXPENDITURE,2017,exp_edu_books_combined,0
EXP_EDU_BOOKS_COMBINED_EXPENDITURE,2021,exp_edu_books_combined,0
EXP_EDU_TUITION_EXPENDITURE,2002,exp_edu_tuition,0
EXP_EDU_TUITION_EXPENDITURE,2006,exp_edu_tuition,0
EXP_EDU_TUITION_EXPENDITURE,2010,exp_edu_tuition,0
EXP_FURNITURE_EXPENDITURE,2002,exp_furniture,0
EXP_HOUSING_UTIL_EXPENDITURE,2002,exp_housing_util,0
EXP_LOAN_INTEREST_EXPENDITURE,2002,exp_loan_interest,0
EXP_OTHER_EXPENDITURE,2002,exp_other,0
EXP_TAX_INS_GIFT_EXPENDITURE,2002,exp_tax_ins_gift,0
EXP_TOTAL_SYN_EXPENDITURE,2006,exp_total_syn,0
EXP_TOTAL_SYN_EXPENDITURE,2010,exp_total_syn,0
EXP_TOTAL_SYN_EXPENDITURE,2014,exp_total_syn,0
EXP_TOTAL_SYN_EXPENDITURE,2017,exp_total_syn,0
EXP_TOTAL_SYN_EXPENDITURE,2021,exp_total_syn,0
INC_FAM_INTEREST_INCOME,2002,inc_fam_interest,0
INC_FAM_OTHER_INCOME,2010,inc_fam_other,0
INC_FAM_RENT_INCOME,2002,inc_fam_rent,0
INC_FAM_TOTAL_INCOME,2006,inc_fam_total,0
INC_FAM_TOTAL_INCOME,2010,inc_fam_total,0
INC_FAM_TOTAL_INCOME,2014,inc_fam_total,0
INC_FAM_TOTAL_INCOME,2017,inc_fam_total,0
INC_FAM_TOTAL_INCOME,2021,inc_fam_total,0
INC_FAM_TRANSFER_INCOME,2002,inc_fam_transfer,0
INC_FAM_TRANSFER_INCOME,2006,inc_fam_transfer,0
INC_FAM_TRANSFER_INCOME,2010,inc_fam_transfer,0
INC_PERS_GOV_INCOME,2002,inc_pers_gov,0
INC_PERS_INTEREST_INCOME,2002,inc_pers_interest,0
INC_PERS_OTHER_INCOME,2002,inc_pers_other,0
INC_PERS_RENT_INCOME,2002,inc_pers_rent,0
INC_PERS_TRANSFER_INCOME,2002,inc_pers_transfer,0
INC_PERS_TRANSFER_INCOME,2006,inc_pers_transfer,0
INC_PERS_TRANSFER_INCOME,2010,inc_pers_transfer,0
INC_PERS_WORK_INCOME,2002,inc_pers_work,0
