ID,DATA_Y,MALE_CODE,MALE,AGE_RAW,AGE_GROUP_CODE,AGE_GROUP,AGE_MEASURE_TYPE,EDU_CODE,EDU,RACE_CODE,RACE,CITY,COUNTY
1329203,2021,1,男性,NA,3,30-39歲,age_group,5,專科以上,96,非原住民族,北部地區,北部地區
1329349,2021,1,男性,NA,3,30-39歲,age_group,5,專科以上,1,阿美族,北部地區,北部地區
1329558,2021,1,男性,NA,2,20-29歲,age_group,4,高中職,5,布農族,北部地區,北部地區
1329674,2021,0,非男性,NA,3,30-39歲,age_group,5,專科以上,1,阿美族,北部地區,北部地區
1330056,2021,1,男性,NA,4,40-49歲,age_group,5,專科以上,96,非原住民族,北部地區,北部地區
1330277,2021,1,男性,NA,5,50-59歲,age_group,5,專科以上,2,泰雅族,北部地區,北部地區
1330404,2021,0,非男性,NA,4,40-49歲,age_group,5,專科以上,2,泰雅族,北部地區,北部地區
1330422,2021,1,男性,NA,6,60歲以上,age_group,4,高中職,4,魯凱族,北部地區,北部地區
1330430,2021,1,男性,NA,5,50-59歲,age_group,5,專科以上,4,魯凱族,北部地區,北部地區
1331330,2021,0,非男性,NA,4,40-49歲,age_group,2,國小,96,非原住民族,北部地區,北部地區
1331666,2021,0,非男性,NA,4,40-49歲,age_group,4,高中職,96,非原住民族,北部地區,北部地區
1331918,2021,0,非男性,NA,4,40-49歲,age_group,5,專科以上,1,阿美族,北部地區,北部地區
1332986,2021,1,男性,NA,5,50-59歲,age_group,4,高中職,96,非原住民族,北部地區,北部地區
1333152,2021,0,非男性,NA,3,30-39歲,age_group,5,專科以上,1,阿美族,北部地區,北部地區
1333618,2021,1,男性,NA,2,20-29歲,age_group,4,高中職,1,阿美族,北部地區,北部地區
1334313,2021,1,男性,NA,6,60歲以上,age_group,5,專科以上,96,非原住民族,北部地區,北部地區
1334386,2021,0,非男性,NA,6,60歲以上,age_group,5,專科以上,8,卑南族,北部地區,北部地區
1334454,2021,1,男性,NA,5,50-59歲,age_group,3,國(初)中,96,非原住民族,北部地區,北部地區
1334470,2021,0,非男性,NA,4,40-49歲,age_group,5,專科以上,3,排灣族,北部地區,北部地區
