ID,DATA_Y,N_FAMILY,N_INDI,HOUSE_BELONG,RENT
1329203,2021,2,1,自有/家人所有/自建,NA
1329349,2021,2,1,自有/家人所有/自建,NA
1329558,2021,4,3,租賃,"10,000-19,999元"
1329674,2021,2,1,自有/家人所有/自建,NA
1330056,2021,2,2,自有/家人所有/自建,NA
1330277,2021,4,3,自有/家人所有/自建,NA
1330404,2021,4,1,自有/家人所有/自建,NA
1330422,2021,3,3,自有/家人所有/自建,NA
1330430,2021,3,2,自有/家人所有/自建,NA
1331330,2021,3,2,自有/家人所有/自建,NA
1331666,2021,3,1,自有/家人所有/自建,NA
1331918,2021,7,1,自有/家人所有/自建,NA
1332986,2021,4,2,租賃,"10,000-19,999元"
1333152,2021,5,1,自有/家人所有/自建,NA
1333618,2021,4,3,租賃,"10,000-19,999元"
1334313,2021,4,1,自有/家人所有/自建,NA
1334386,2021,2,1,自有/家人所有/自建,NA
1334454,2021,6,1,自有/家人所有/自建,NA
1334470,2021,4,3,自有/家人所有/自建,NA
1334678,2021,4,1,自有/家人所有/自建,NA
1335720,2021,5,4,租賃,"10,000-19,999元"
1335949,2021,3,1,租賃,"10,000-19,999元"
1336082,2021,6,1,租賃,"10,000-19,999元"
1336115,2021,3,2,自有/家人所有/自建,NA
1336125,2021,1,1,租賃,"7,000-9,999元"
1336138,2021,5,1,自有/家人所有/自建,NA
1336278,2021,3,2,自有/家人所有/自建,NA
1336444,2021,4,1,自有/家人所有/自建,NA
1336861,2021,3,3,自有/家人所有/自建,NA
1336894,2021,4,3,租賃,"10,000-19,999元"
1336982,2021,5,4,自有/家人所有/自建,NA
1337074,2021,2,2,租賃,"10,000-19,999元"
1337463,2021,3,2,自有/家人所有/自建,NA
1337876,2021,3,2,自有/家人所有/自建,NA
1337985,2021,3,2,租賃,"10,000-19,999元"
1338096,2021,7,4,自有/家人所有/自建,NA
1338909,2021,3,2,租賃,"10,000-19,999元"
1340346,2021,7,3,自有/家人所有/自建,NA
1340397,2021,4,3,自有/家人所有/自建,NA
1340724,2021,3,3,租賃,"10,000-19,999元"
1340742,2021,2,2,自有/家人所有/自建,NA
1340836,2021,3,2,租賃,"10,000-19,999元"
1341190,2021,3,3,租賃,"7,000-9,999元"
1341596,2021,6,3,租賃,"10,000-19,999元"
1342093,2021,3,1,租賃,"10,000-19,999元"
1342633,2021,2,2,租賃,"10,000-19,999元"
1342932,2021,4,3,自有/家人所有/自建,NA
1343425,2021,5,5,租賃,"3,000-4,999元"
1343787,2021,6,2,自有/家人所有/自建,NA
1344570,2021,2,2,自有/家人所有/自建,NA
1344943,2021,5,3,自有/家人所有/自建,NA
1345735,2021,13,13,租賃,"10,000-19,999元"
1345979,2021,4,3,租賃,"3,000-4,999元"
1346209,2021,8,2,租賃,"10,000-19,999元"
1346301,2021,2,2,租賃,"7,000-9,999元"
1346338,2021,3,1,自有/家人所有/自建,NA
1347827,2021,4,4,租賃,"10,000-19,999元"
1348132,2021,3,3,自有/家人所有/自建,NA
1349375,2021,2,2,租賃,"10,000-19,999元"
1349584,2021,3,2,租賃,"10,000-19,999元"
1350025,2021,4,4,自有/家人所有/自建,NA
1350232,2021,7,2,租賃,"7,000-9,999元"
1350300,2021,5,3,自有/家人所有/自建,NA
1350538,2021,4,2,自有/家人所有/自建,NA
1350707,2021,6,5,自有/家人所有/自建,NA
1350836,2021,1,1,自有/家人所有/自建,NA
1350855,2021,3,2,自有/家人所有/自建,NA
1351204,2021,2,2,自有/家人所有/自建,NA
1351294,2021,6,1,自有/家人所有/自建,NA
1351524,2021,4,4,自有/家人所有/自建,NA
1351944,2021,5,1,自有/家人所有/自建,NA
1352152,2021,4,2,租賃,"10,000-19,999元"
1352283,2021,3,3,租賃,"7,000-9,999元"
1352536,2021,6,5,配住,"1,000-2,999元"
1353601,2021,3,1,自有/家人所有/自建,NA
1354054,2021,5,4,租賃,"5,000-6,999元"
1354137,2021,5,5,租賃,"7,000-9,999元"
1354442,2021,4,2,自有/家人所有/自建,NA
1354521,2021,4,3,租賃,"10,000-19,999元"
1354672,2021,4,4,自有/家人所有/自建,NA
1354769,2021,4,3,自有/家人所有/自建,NA
1355148,2021,3,2,自有/家人所有/自建,NA
1355179,2021,1,1,自有/家人所有/自建,NA
1355320,2021,3,3,自有/家人所有/自建,NA
1355351,2021,1,1,租賃,"7,000-9,999元"
1355541,2021,6,5,自有/家人所有/自建,NA
1355580,2021,2,1,租賃,"10,000-19,999元"
1355724,2021,3,1,自有/家人所有/自建,NA
1356194,2021,3,2,自有/家人所有/自建,NA
1356243,2021,3,3,自有/家人所有/自建,NA
1357151,2021,4,1,租賃,"10,000-19,999元"
1357720,2021,4,4,自有/家人所有/自建,NA
1357804,2021,3,3,自有/家人所有/自建,NA
1358221,2021,3,3,自有/家人所有/自建,NA
1358319,2021,4,3,租賃,"10,000-19,999元"
1358402,2021,5,5,租賃,"3,000-4,999元"
1358604,2021,3,2,自有/家人所有/自建,NA
1358812,2021,6,6,自有/家人所有/自建,NA
1359694,2021,5,5,借用,NA
1361158,2021,5,4,自有/家人所有/自建,NA
1362184,2021,2,2,租賃,"20,000元以上"
1362185,2021,4,3,租賃,"7,000-9,999元"
1362358,2021,3,1,自有/家人所有/自建,NA
1362479,2021,5,5,租賃,"20,000元以上"
1362528,2021,4,3,自有/家人所有/自建,NA
1362766,2021,3,2,租賃,"10,000-19,999元"
1363135,2021,3,1,自有/家人所有/自建,NA
