sample_definition,Variable,Survey Year,Present,Eligible N,Structural Missing N,Response Missing N,Response Missing %,Structural Missing %,Structural Missing,presence_status,Valid N,coverage_basis,structural_missing_status
full_sample,EDU,2002,1,13113,0,0,0,0,FALSE,present,NA,harmonized_label,NA
full_sample,EDU,2006,1,6013,0,0,0,0,FALSE,present,NA,harmonized_label,NA
full_sample,EDU,2010,1,5027,0,2,3.9785160135269546e-4,0,FALSE,present,NA,harmonized_label,NA
full_sample,EDU,2014,1,5214,0,690,0.1323360184119678,0,FALSE,present,NA,harmonized_label,NA
full_sample,EDU,2017,1,5302,0,0,0,0,FALSE,present,NA,harmonized_label,NA
full_sample,EDU,2021,NA,5409,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,EXP_ALCOHOL_EXPENDITURE,2002,1,13113,NA,5277,0.4024250743536948,NA,NA,NA,7836,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_ALCOHOL_EXPENDITURE,2006,1,6013,NA,351,0.05837352403126559,NA,NA,NA,5662,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_ALCOHOL_EXPENDITURE,2010,1,5027,NA,7,0.0013924806047344342,NA,NA,NA,5020,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_ALCOHOL_EXPENDITURE,2014,1,5214,NA,0,0,NA,NA,NA,5214,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_ALCOHOL_EXPENDITURE,2017,1,5302,NA,0,0,NA,NA,NA,5302,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_ALCOHOL_EXPENDITURE,2021,1,5409,NA,0,0,NA,NA,NA,5409,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_BOOKS_EXPENDITURE,2002,NA,13113,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,EXP_BOOKS_EXPENDITURE,2006,NA,6013,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,EXP_BOOKS_EXPENDITURE,2010,NA,5027,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,EXP_BOOKS_EXPENDITURE,2014,1,5214,NA,0,0,NA,NA,NA,5214,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_BOOKS_EXPENDITURE,2017,1,5302,NA,3757,0.7086005281026028,NA,NA,NA,1545,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_BOOKS_EXPENDITURE,2021,1,5409,NA,0,0,NA,NA,NA,5409,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_CARE_EXPENDITURE,2002,NA,13113,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,EXP_CARE_EXPENDITURE,2006,1,6013,NA,71,0.011807749875270248,NA,NA,NA,5942,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_CARE_EXPENDITURE,2010,1,5027,NA,5,9.946290033817386e-4,NA,NA,NA,5022,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_CARE_EXPENDITURE,2014,1,5214,NA,0,0,NA,NA,NA,5214,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_CARE_EXPENDITURE,2017,1,5302,NA,5041,0.9507732930969446,NA,NA,NA,261,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_CARE_EXPENDITURE,2021,1,5409,NA,0,0,NA,NA,NA,5409,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_CLEANING_EXPENDITURE,2002,NA,13113,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
full_sample,EXP_CLEANING_EXPENDITURE,2006,1,6013,NA,50,0.008315316813570598,NA,NA,NA,5963,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_CLEANING_EXPENDITURE,2010,1,5027,NA,7,0.0013924806047344342,NA,NA,NA,5020,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_CLEANING_EXPENDITURE,2014,1,5214,NA,0,0,NA,NA,NA,5214,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_CLEANING_EXPENDITURE,2017,1,5302,NA,5260,0.992078460958129,NA,NA,NA,42,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_CLEANING_EXPENDITURE,2021,1,5409,NA,0,0,NA,NA,NA,5409,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_CLOTHING_EXPENDITURE,2002,NA,13113,NA,NA,NA,NA,NA,review_required,NA,harmonized_label,NA
