sample_definition,Survey Year,County,Sample N
full_sample,2002,三地門,181
full_sample,2002,三峽鎮,52
full_sample,2002,三民鄉,67
full_sample,2002,三重市,52
full_sample,2002,中和市,55
full_sample,2002,中壢市,55
full_sample,2002,五峰鄉,138
full_sample,2002,五結冬山鄉,53
full_sample,2002,五股鄉,50
full_sample,2002,仁愛鄉,337
full_sample,2002,來義鄉,190
full_sample,2002,信義鄉,231
full_sample,2002,光復鄉,213
full_sample,2002,內埔鄉,52
full_sample,2002,八德市,52
full_sample,2002,八里鄉三芝鄉,52
full_sample,2002,六龜鄉美濃鎮,57
full_sample,2002,北區,46
full_sample,2002,北屯區,46
full_sample,2002,卑南鄉,185
full_sample,2002,卓溪鄉,140
full_sample,2002,南區東區,53
full_sample,2002,南屯區,55
full_sample,2002,南庄鄉,63
full_sample,2002,南投市,52
full_sample,2002,南澳鄉,138
full_sample,2002,吉安鄉,380
full_sample,2002,后里鄉外埔鄉,52
full_sample,2002,和平鄉,146
full_sample,2002,土城市,53
full_sample,2002,埔里鎮,55
full_sample,2002,壽豐鄉,179
full_sample,2002,大同鄉,126
full_sample,2002,大園鄉,53
full_sample,2002,大寮鄉,56
full_sample,2002,大樹鄉仁武鄉,53
full_sample,2002,大武鄉,115
full_sample,2002,大溪鎮,57
full_sample,2002,大肚鄉,62
full_sample,2002,大里市,67
full_sample,2002,大雅鄉,59
full_sample,2002,太平市,52
full_sample,2002,太麻里,174
full_sample,2002,宜蘭市,53
full_sample,2002,富里鄉,54
full_sample,2002,尖石鄉,194
full_sample,2002,屏東市,65
full_sample,2002,岡山鎮,54
full_sample,2002,平鎮市,52
full_sample,2002,延平鄉,84
full_sample,2002,彰化市,52
full_sample,2002,復興鄉,265
full_sample,2002,恆春鎮,59
full_sample,2002,成功鎮,272
full_sample,2002,新城鄉,149
full_sample,2002,新埔鎮芎林鄉橫山鄉,52
full_sample,2002,新店市,52
full_sample,2002,新莊市,54
full_sample,2002,春日鄉,113
full_sample,2002,未知地區,967
full_sample,2002,東勢鎮,54
full_sample,2002,東河鄉,162
full_sample,2002,板橋市,52
