station_county,station_township,survey_roc_year,care_station_new_count,care_station_count,care_station_any,care_station_first_year,care_station_years_since_first,care_station_event_time,care_station_exposed_1y,care_station_exposed_3y,care_station_exposed_5y,care_station_source,care_station_source_limitation
南投縣,仁愛鄉,90,1,1,TRUE,90,0,0,FALSE,FALSE,FALSE,114年現存營運清冊依成立年度回推,可能不含114年前已停辦或撤站之歷史站點
南投縣,仁愛鄉,91,0,1,TRUE,90,1,1,TRUE,FALSE,FALSE,114年現存營運清冊依成立年度回推,可能不含114年前已停辦或撤站之歷史站點
南投縣,仁愛鄉,92,0,1,TRUE,90,2,2,TRUE,FALSE,FALSE,114年現存營運清冊依成立年度回推,可能不含114年前已停辦或撤站之歷史站點
南投縣,仁愛鄉,93,0,1,TRUE,90,3,3,TRUE,TRUE,FALSE,114年現存營運清冊依成立年度回推,可能不含114年前已停辦或撤站之歷史站點
南投縣,仁愛鄉,94,0,1,TRUE,90,4,4,TRUE,TRUE,FALSE,114年現存營運清冊依成立年度回推,可能不含114年前已停辦或撤站之歷史站點
南投縣,仁愛鄉,95,1,2,TRUE,90,5,5,TRUE,TRUE,TRUE,114年現存營運清冊依成立年度回推,可能不含114年前已停辦或撤站之歷史站點
南投縣,仁愛鄉,96,1,3,TRUE,90,6,6,TRUE,TRUE,TRUE,114年現存營運清冊依成立年度回推,可能不含114年前已停辦或撤站之歷史站點
南投縣,仁愛鄉,97,0,3,TRUE,90,7,7,TRUE,TRUE,TRUE,114年現存營運清冊依成立年度回推,可能不含114年前已停辦或撤站之歷史站點
南投縣,仁愛鄉,98,0,3,TRUE,90,8,8,TRUE,TRUE,TRUE,114年現存營運清冊依成立年度回推,可能不含114年前已停辦或撤站之歷史站點
南投縣,仁愛鄉,99,0,3,TRUE,90,9,9,TRUE,TRUE,TRUE,114年現存營運清冊依成立年度回推,可能不含114年前已停辦或撤站之歷史站點
南投縣,仁愛鄉,100,0,3,TRUE,90,10,10,TRUE,TRUE,TRUE,114年現存營運清冊依成立年度回推,可能不含114年前已停辦或撤站之歷史站點
南投縣,仁愛鄉,101,1,4,TRUE,90,11,11,TRUE,TRUE,TRUE,114年現存營運清冊依成立年度回推,可能不含114年前已停辦或撤站之歷史站點
南投縣,仁愛鄉,102,1,5,TRUE,90,12,12,TRUE,TRUE,TRUE,114年現存營運清冊依成立年度回推,可能不含114年前已停辦或撤站之歷史站點
南投縣,仁愛鄉,103,0,5,TRUE,90,13,13,TRUE,TRUE,TRUE,114年現存營運清冊依成立年度回推,可能不含114年前已停辦或撤站之歷史站點
南投縣,仁愛鄉,104,0,5,TRUE,90,14,14,TRUE,TRUE,TRUE,114年現存營運清冊依成立年度回推,可能不含114年前已停辦或撤站之歷史站點
南投縣,仁愛鄉,105,0,5,TRUE,90,15,15,TRUE,TRUE,TRUE,114年現存營運清冊依成立年度回推,可能不含114年前已停辦或撤站之歷史站點
南投縣,仁愛鄉,106,3,8,TRUE,90,16,16,TRUE,TRUE,TRUE,114年現存營運清冊依成立年度回推,可能不含114年前已停辦或撤站之歷史站點
南投縣,仁愛鄉,107,3,11,TRUE,90,17,17,TRUE,TRUE,TRUE,114年現存營運清冊依成立年度回推,可能不含114年前已停辦或撤站之歷史站點
南投縣,仁愛鄉,108,2,13,TRUE,90,18,18,TRUE,TRUE,TRUE,114年現存營運清冊依成立年度回推,可能不含114年前已停辦或撤站之歷史站點
南投縣,仁愛鄉,109,6,19,TRUE,90,19,19,TRUE,TRUE,TRUE,114年現存營運清冊依成立年度回推,可能不含114年前已停辦或撤站之歷史站點
南投縣,仁愛鄉,110,0,19,TRUE,90,20,20,TRUE,TRUE,TRUE,114年現存營運清冊依成立年度回推,可能不含114年前已停辦或撤站之歷史站點
南投縣,仁愛鄉,111,2,21,TRUE,90,21,21,TRUE,TRUE,TRUE,114年現存營運清冊依成立年度回推,可能不含114年前已停辦或撤站之歷史站點
南投縣,仁愛鄉,112,0,21,TRUE,90,22,22,TRUE,TRUE,TRUE,114年現存營運清冊依成立年度回推,可能不含114年前已停辦或撤站之歷史站點
南投縣,仁愛鄉,113,0,21,TRUE,90,23,23,TRUE,TRUE,TRUE,114年現存營運清冊依成立年度回推,可能不含114年前已停辦或撤站之歷史站點
南投縣,仁愛鄉,114,0,21,TRUE,90,24,24,TRUE,TRUE,TRUE,114年現存營運清冊依成立年度回推,可能不含114年前已停辦或撤站之歷史站點
