"DATA_Y","CITY","COUNTY","variable","category","n","share"
2002,"南投縣","仁愛鄉","ADMIN_NAME_HARMONIZED","南投縣",337,1
2002,"南投縣","仁愛鄉","ADMIN_NAME_ORIGINAL","南投縣",337,1
2002,"南投縣","仁愛鄉","ADMIN_NAME_YEAR_SPECIFIC","南投縣",337,1
2002,"南投縣","仁愛鄉","AGE_GROUP","15-19歲",5,0.0148367952522255
2002,"南投縣","仁愛鄉","AGE_GROUP","20-29歲",32,0.0949554896142433
2002,"南投縣","仁愛鄉","AGE_GROUP","30-39歲",84,0.249258160237389
2002,"南投縣","仁愛鄉","AGE_GROUP","40-49歲",92,0.27299703264095
2002,"南投縣","仁愛鄉","AGE_GROUP","50-59歲",75,0.222551928783383
2002,"南投縣","仁愛鄉","AGE_GROUP","60歲以上",49,0.14540059347181
2002,"南投縣","仁愛鄉","AGE_GROUP_HARMONIZED","15-19歲",5,0.0148367952522255
2002,"南投縣","仁愛鄉","AGE_GROUP_HARMONIZED","20-29歲",32,0.0949554896142433
2002,"南投縣","仁愛鄉","AGE_GROUP_HARMONIZED","30-39歲",84,0.249258160237389
2002,"南投縣","仁愛鄉","AGE_GROUP_HARMONIZED","40-49歲",92,0.27299703264095
2002,"南投縣","仁愛鄉","AGE_GROUP_HARMONIZED","50-59歲",75,0.222551928783383
2002,"南投縣","仁愛鄉","AGE_GROUP_HARMONIZED","60歲以上",49,0.14540059347181
2002,"南投縣","仁愛鄉","AGE_MEASURE_TYPE","age_group",337,1
2002,"南投縣","仁愛鄉","COUNTY_MAPPING_STATUS","single_township",337,1
2002,"南投縣","仁愛鄉","COUNTY_ORIGINAL","仁愛鄉",337,1
2002,"南投縣","仁愛鄉","EDU","不識字/自修",18,0.0534124629080119
2002,"南投縣","仁愛鄉","EDU","國(初)中",58,0.172106824925816
2002,"南投縣","仁愛鄉","EDU","國小",139,0.412462908011869
2002,"南投縣","仁愛鄉","EDU","專科以上",25,0.0741839762611276
2002,"南投縣","仁愛鄉","EDU","高中職",97,0.287833827893175
2002,"南投縣","仁愛鄉","EXP_ALCOHOL_EXPENDITURE","1,000元至未滿3,000元",90,0.26865671641791
