"DATA_Y","variable","non_missing_n","mean","median","sd","min","max"
2002,"N_FAMILY",13113,4.50171585449554,4,2.28552577772251,1,25
2002,"N_INDI",13113,4.00533821398612,4,2.35962883848636,0,20
2002,"N_INDI_16_54",0,,,,,
2002,"N_INDI_55PLUS",0,,,,,
2002,"N_INDI_55_64",0,,,,,
2002,"N_INDI_65PLUS",0,,,,,
2002,"N_INDI_7_15",0,,,,,
2002,"N_INDI_UNDER6",0,,,,,
2006,"N_FAMILY",6013,4.27423914851156,4,2.37812649707256,1,22
2006,"N_INDI",6013,4.0011641443539,4,2.38462975261377,1,21
2006,"N_INDI_16_54",6008,2.08139147802929,2,1.55981667570322,0,10
2006,"N_INDI_55PLUS",6007,0.775761611453304,1,0.893882611037723,0,7
2006,"N_INDI_55_64",6007,0.364241717995672,0,0.645824612987281,0,6
2006,"N_INDI_65PLUS",6009,0.411549342652688,0,0.665794289968439,0,4
2006,"N_INDI_7_15",6010,0.70432612312812,0,1.05936201633057,0,9
2006,"N_INDI_UNDER6",6010,0.437271214642263,0,0.871971734592238,0,10
2010,"N_FAMILY",5027,3.48736821165705,3,1.92714229203155,1,18
2010,"N_INDI",5027,2.87169285856376,3,1.79701314582674,1,18
2010,"N_INDI_16_54",5027,1.70857370200915,1,1.32652246609426,0,15
2010,"N_INDI_55PLUS",5027,0.48040580863338,0,0.70369667582696,0,5
2010,"N_INDI_55_64",5027,0.260592798886015,0,0.537237231313852,0,5
2010,"N_INDI_65PLUS",5027,0.219813009747364,0,0.489057871134873,0,3
2010,"N_INDI_7_15",5027,0.447583051521782,0,0.842671425959212,0,6
2010,"N_INDI_UNDER6",5027,0.235130296399443,0,0.590762554562012,0,4
2014,"N_FAMILY",5214,4.08151131568853,4,2.0000171537166,1,19
2014,"N_INDI",5214,3.48657460682777,3,2.01274284171589,0,19
2014,"N_INDI_16_54",5214,2.10797851937092,2,1.4948089788634,0,10
2014,"N_INDI_55PLUS",5214,0.703107019562716,0,0.848872788912343,0,8
2014,"N_INDI_55_64",5214,0.37686996547756,0,0.641078980563452,0,7
2014,"N_INDI_65PLUS",5214,0.326237054085155,0,0.597660053071346,0,4
2014,"N_INDI_7_15",5214,0.432873034138857,0,0.862724857824657,0,9
2014,"N_INDI_UNDER6",5214,0.242616033755274,0,0.613188813706247,0,6
2017,"N_FAMILY",5302,3.491135420596,3,1.93319298540051,1,22
2017,"N_INDI",5302,2.90550735571482,3,1.8138029112323,1,16
2017,"N_INDI_16_54",5302,1.61806865333836,1,1.35922713365709,0,9
2017,"N_INDI_55PLUS",5302,0.726706903055451,1,0.801220336748102,0,6
2017,"N_INDI_55_64",5302,0.402301018483591,0,0.63163354652947,0,6
2017,"N_INDI_65PLUS",5302,0.32440588457186,0,0.589479206156525,0,4
2017,"N_INDI_7_15",5302,0.335910976989815,0,0.753379176099781,0,12
2017,"N_INDI_UNDER6",5302,0.224820822331196,0,0.600259891487875,0,5
2021,"N_FAMILY",5409,3.55481604732853,3,2.04724148010891,1,21
2021,"N_INDI",5409,2.78166019596968,2,1.89054897416413,1,20
2021,"N_INDI_16_54",5409,1.4165280088741,1,1.26810573653182,0,10
2021,"N_INDI_55PLUS",5409,0.806433721575152,1,0.846627501443181,0,7
2021,"N_INDI_55_64",5409,0.395821778517286,0,0.648100543422914,0,7
2021,"N_INDI_65PLUS",5409,0.410611943057867,0,0.632723122126114,0,5
2021,"N_INDI_7_15",5409,0.346829358476613,0,0.757768949108232,0,7
2021,"N_INDI_UNDER6",5409,0.211869107043816,0,0.575189382776779,0,5
