"DATA_Y","CITY","COUNTY","variable","non_missing_n","mean","median","sd","min","max"
2002,"南投縣","仁愛鄉","N_FAMILY",337,4.56676557863501,5,2.32145003848728,1,14
2002,"南投縣","仁愛鄉","N_INDI",337,4.43916913946587,5,2.30875853529183,0,14
2002,"南投縣","仁愛鄉","N_INDI_16_54",0,,,,,
2002,"南投縣","仁愛鄉","N_INDI_55PLUS",0,,,,,
2002,"南投縣","仁愛鄉","N_INDI_55_64",0,,,,,
2002,"南投縣","仁愛鄉","N_INDI_65PLUS",0,,,,,
2002,"南投縣","仁愛鄉","N_INDI_7_15",0,,,,,
2002,"南投縣","仁愛鄉","N_INDI_UNDER6",0,,,,,
2002,"南投縣","信義鄉","N_FAMILY",231,5.42424242424242,5,2.41230923320936,1,14
2002,"南投縣","信義鄉","N_INDI",231,5.28571428571429,5,2.43805237410561,1,14
2002,"南投縣","信義鄉","N_INDI_16_54",0,,,,,
2002,"南投縣","信義鄉","N_INDI_55PLUS",0,,,,,
2002,"南投縣","信義鄉","N_INDI_55_64",0,,,,,
2002,"南投縣","信義鄉","N_INDI_65PLUS",0,,,,,
2002,"南投縣","信義鄉","N_INDI_7_15",0,,,,,
2002,"南投縣","信義鄉","N_INDI_UNDER6",0,,,,,
2002,"南投縣","南投市","N_FAMILY",52,4.88461538461539,5,2.10185582007571,1,12
2002,"南投縣","南投市","N_INDI",52,4.11538461538461,4,2.46269297962932,1,12
2002,"南投縣","南投市","N_INDI_16_54",0,,,,,
2002,"南投縣","南投市","N_INDI_55PLUS",0,,,,,
2002,"南投縣","南投市","N_INDI_55_64",0,,,,,
2002,"南投縣","南投市","N_INDI_65PLUS",0,,,,,
2002,"南投縣","南投市","N_INDI_7_15",0,,,,,
2002,"南投縣","南投市","N_INDI_UNDER6",0,,,,,
2002,"南投縣","埔里鎮","N_FAMILY",55,4.54545454545455,4,2.02592623369586,1,9
2002,"南投縣","埔里鎮","N_INDI",55,3.92727272727273,4,1.88418904310803,1,9
2002,"南投縣","埔里鎮","N_INDI_16_54",0,,,,,
2002,"南投縣","埔里鎮","N_INDI_55PLUS",0,,,,,
2002,"南投縣","埔里鎮","N_INDI_55_64",0,,,,,
2002,"南投縣","埔里鎮","N_INDI_65PLUS",0,,,,,
2002,"南投縣","埔里鎮","N_INDI_7_15",0,,,,,
2002,"南投縣","埔里鎮","N_INDI_UNDER6",0,,,,,
2002,"南投縣","水里鄉草屯鎮","N_FAMILY",52,4.51923076923077,4,1.72058340100647,1,10
2002,"南投縣","水里鄉草屯鎮","N_INDI",52,3.07692307692308,3,2.00827849258282,1,10
2002,"南投縣","水里鄉草屯鎮","N_INDI_16_54",0,,,,,
2002,"南投縣","水里鄉草屯鎮","N_INDI_55PLUS",0,,,,,
2002,"南投縣","水里鄉草屯鎮","N_INDI_55_64",0,,,,,
2002,"南投縣","水里鄉草屯鎮","N_INDI_65PLUS",0,,,,,
2002,"南投縣","水里鄉草屯鎮","N_INDI_7_15",0,,,,,
2002,"南投縣","水里鄉草屯鎮","N_INDI_UNDER6",0,,,,,
2002,"南投縣","魚池鄉","N_FAMILY",18,4.66666666666667,4.5,2.35147012838902,2,10
2002,"南投縣","魚池鄉","N_INDI",18,4.16666666666667,3.5,2.43141208064005,1,10
2002,"南投縣","魚池鄉","N_INDI_16_54",0,,,,,
2002,"南投縣","魚池鄉","N_INDI_55PLUS",0,,,,,
2002,"南投縣","魚池鄉","N_INDI_55_64",0,,,,,
2002,"南投縣","魚池鄉","N_INDI_65PLUS",0,,,,,
2002,"南投縣","魚池鄉","N_INDI_7_15",0,,,,,
2002,"南投縣","魚池鄉","N_INDI_UNDER6",0,,,,,
2002,"嘉義市","未知地區","N_FAMILY",52,4.61538461538461,4,2.17069471263118,1,11
2002,"嘉義市","未知地區","N_INDI",52,2.90384615384615,2,2.24271907260191,1,11
2002,"嘉義市","未知地區","N_INDI_16_54",0,,,,,
2002,"嘉義市","未知地區","N_INDI_55PLUS",0,,,,,
2002,"嘉義市","未知地區","N_INDI_55_64",0,,,,,
2002,"嘉義市","未知地區","N_INDI_65PLUS",0,,,,,
2002,"嘉義市","未知地區","N_INDI_7_15",0,,,,,
2002,"嘉義市","未知地區","N_INDI_UNDER6",0,,,,,
2002,"嘉義縣","阿里山","N_FAMILY",105,4.32380952380952,4,2.55514277071841,1,18
2002,"嘉義縣","阿里山","N_INDI",105,4.17142857142857,4,2.60346345816913,1,18
2002,"嘉義縣","阿里山","N_INDI_16_54",0,,,,,
2002,"嘉義縣","阿里山","N_INDI_55PLUS",0,,,,,
2002,"嘉義縣","阿里山","N_INDI_55_64",0,,,,,
2002,"嘉義縣","阿里山","N_INDI_65PLUS",0,,,,,
2002,"嘉義縣","阿里山","N_INDI_7_15",0,,,,,
2002,"嘉義縣","阿里山","N_INDI_UNDER6",0,,,,,
2002,"基隆市","未知地區","N_FAMILY",52,4.36538461538461,4,1.83675807915123,1,12
2002,"基隆市","未知地區","N_INDI",52,4.01923076923077,4,2.07213430384045,1,12
2002,"基隆市","未知地區","N_INDI_16_54",0,,,,,
2002,"基隆市","未知地區","N_INDI_55PLUS",0,,,,,
2002,"基隆市","未知地區","N_INDI_55_64",0,,,,,
2002,"基隆市","未知地區","N_INDI_65PLUS",0,,,,,
2002,"基隆市","未知地區","N_INDI_7_15",0,,,,,
2002,"基隆市","未知地區","N_INDI_UNDER6",0,,,,,
2002,"宜蘭縣","五結冬山鄉","N_FAMILY",53,4.94339622641509,5,1.76956203120806,1,11
2002,"宜蘭縣","五結冬山鄉","N_INDI",53,3.84905660377358,4,2.21356157856948,1,11
2002,"宜蘭縣","五結冬山鄉","N_INDI_16_54",0,,,,,
2002,"宜蘭縣","五結冬山鄉","N_INDI_55PLUS",0,,,,,
2002,"宜蘭縣","五結冬山鄉","N_INDI_55_64",0,,,,,
2002,"宜蘭縣","五結冬山鄉","N_INDI_65PLUS",0,,,,,
2002,"宜蘭縣","五結冬山鄉","N_INDI_7_15",0,,,,,
2002,"宜蘭縣","五結冬山鄉","N_INDI_UNDER6",0,,,,,
