DATA_Y,variable,valid_n
2002,EXP_BOOKS_EXPENDITURE,0
2002,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,12884
2002,EXP_EDU_TUITION_EXPENDITURE,0
2006,EXP_BOOKS_EXPENDITURE,0
2006,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,11490
2006,EXP_EDU_TUITION_EXPENDITURE,0
2010,EXP_BOOKS_EXPENDITURE,0
2010,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,10048
2010,EXP_EDU_TUITION_EXPENDITURE,0
2014,EXP_BOOKS_EXPENDITURE,9785
2014,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,0
2014,EXP_EDU_TUITION_EXPENDITURE,9785
2017,EXP_BOOKS_EXPENDITURE,9796
2017,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,0
2017,EXP_EDU_TUITION_EXPENDITURE,9796
2021,EXP_BOOKS_EXPENDITURE,9801
2021,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,0
2021,EXP_EDU_TUITION_EXPENDITURE,9801
