data_year,integrated_var,harmonized_code,harmonized_label,frequency
2002,EXP_ALCOHOL,1,"未滿1,000元",2550
2002,EXP_ALCOHOL,2,"1,000元至未滿3,000元",3403
2002,EXP_ALCOHOL,3,"3,000元至未滿5,000元",1211
2002,EXP_ALCOHOL,6,1萬元以上（請記錄金額）,96
2002,EXP_ALCOHOL,7,"5,000-6,999 元",404
2002,EXP_ALCOHOL,8,"7,000-9,999 元",172
2002,EXP_ALCOHOL,13,沒有這項支出,5168
2002,EXP_ALCOHOL,NA,NA,109
2002,EXP_BOOKS,NA,NA,13113
2002,EXP_CARE,NA,NA,13113
2002,EXP_CLEANING,NA,NA,13113
2002,EXP_CLOTHING,NA,NA,13113
2002,EXP_DINING_LODGING,NA,NA,13113
2002,EXP_EDU_BOOKS_COMBINED,NA,1千~未滿3千元,1279
2002,EXP_EDU_BOOKS_COMBINED,NA,1萬元以上,233
2002,EXP_EDU_BOOKS_COMBINED,NA,3千~未滿5千元,641
2002,EXP_EDU_BOOKS_COMBINED,NA,5千~未滿7千元,351
2002,EXP_EDU_BOOKS_COMBINED,NA,7千~未滿1萬元,278
2002,EXP_EDU_BOOKS_COMBINED,NA,未滿1千元,1119
2002,EXP_EDU_BOOKS_COMBINED,NA,無此消費,2541
2002,EXP_EDU_BOOKS_COMBINED,NA,NA,6671
2002,EXP_EDU_TUITION,NA,NA,13113
2002,EXP_FOOD,2,"3,000-4,999 元",1425
2002,EXP_FOOD,3,"5,000元至未滿1萬元",2477
2002,EXP_FOOD,4,1萬元至未滿2萬元,4269
2002,EXP_FOOD,8,"20,000-29,999 元",3812
2002,EXP_FOOD,8,5萬元以上（請記錄金額）,31
2002,EXP_FOOD,9,"30,000-39,999 元",748
2002,EXP_FOOD,10,"40,000-49,999 元",153
2002,EXP_FOOD,NA,NA,198
2002,EXP_FURNITURE,NA,NA,13113
2002,EXP_HOUSING_UTIL,NA,NA,13113
2002,EXP_LOAN_INTEREST,NA,NA,13113
2002,EXP_MEDICAL,1,"未滿1,000元",3790
2002,EXP_MEDICAL,2,"1,000元至未滿3,000元",4228
2002,EXP_MEDICAL,3,"3,000元至未滿5,000元",1805
2002,EXP_MEDICAL,6,1萬元以上（請記錄金額）,511
2002,EXP_MEDICAL,7,"5,000-6,999 元",813
2002,EXP_MEDICAL,8,"7,000-9,999 元",541
2002,EXP_MEDICAL,13,沒有這項支出,1186
2002,EXP_MEDICAL,NA,NA,239
2002,EXP_OTHER,NA,NA,13113
2002,EXP_TAX_INS_GIFT,NA,NA,13113
2002,EXP_TOTAL_REPORTED,1,未滿2萬元,4439
2002,EXP_TOTAL_REPORTED,2,2萬元至未滿3萬元,3904
2002,EXP_TOTAL_REPORTED,3,3萬元至未滿4萬元,2269
2002,EXP_TOTAL_REPORTED,4,4萬元至未滿5萬元,1198
2002,EXP_TOTAL_REPORTED,5,5萬元至未滿6萬元,660
2002,EXP_TOTAL_REPORTED,6,6萬元至未滿7萬元,291
2002,EXP_TOTAL_REPORTED,7,7萬元至未滿8萬元,168
2002,EXP_TOTAL_REPORTED,8,8萬元以上（請記錄金額）,168
2002,EXP_TOTAL_REPORTED,NA,NA,16
2002,EXP_TRANSPORT_COMM,1,999 元及以下,2038
2002,EXP_TRANSPORT_COMM,2,"1,000元至未滿3,000元",4478
2002,EXP_TRANSPORT_COMM,3,"3,000元至未滿5,000元",3186
2002,EXP_TRANSPORT_COMM,6,1萬元以上（請記錄金額）,579
2002,EXP_TRANSPORT_COMM,6,"5,000-6,999 元",1665
2002,EXP_TRANSPORT_COMM,7,"7,000-9,999 元",992
2002,EXP_TRANSPORT_COMM,12,沒有這項支出,46
2002,EXP_TRANSPORT_COMM,NA,NA,129
2002,EXP_TRAVEL,NA,1千~未滿3千元,829
2002,EXP_TRAVEL,NA,1萬元以上,44
2002,EXP_TRAVEL,NA,3千~未滿5千元,365
2002,EXP_TRAVEL,NA,5千~未滿7千元,119
2002,EXP_TRAVEL,NA,7千~未滿1萬元,62
2002,EXP_TRAVEL,NA,未滿1千元,837
2002,EXP_TRAVEL,NA,無此消費,4216
2002,EXP_TRAVEL,NA,NA,6641
2006,EXP_ALCOHOL,1,999元及以下,972
2006,EXP_ALCOHOL,3,"1,000-1,999 元",961
2006,EXP_ALCOHOL,4,"2,000-2,999 元",1140
2006,EXP_ALCOHOL,5,"3,000-3,999 元",36
2006,EXP_ALCOHOL,6,"4,000-4,999 元",217
2006,EXP_ALCOHOL,7,"5,000-6,999 元",132
2006,EXP_ALCOHOL,8,"7,000-9,999 元",29
2006,EXP_ALCOHOL,9,"10,000-14,999 元",2
2006,EXP_ALCOHOL,10,"15,000-19,999 元",3
2006,EXP_ALCOHOL,11,"20,000-29,999 元",4
2006,EXP_ALCOHOL,13,沒有這項支出,2166
2006,EXP_ALCOHOL,NA,NA,351
2006,EXP_BOOKS,NA,NA,6013
