data_year,survey_tag,integrated_var,expected_raw_var,variable_exists,non_missing_n,similar_dataset_vars
2002,91_1,N_FAMILY,q7a,TRUE,6615,q7a
2002,91_1,N_INDI,q7b,TRUE,6615,q7b
2002,91_2,N_FAMILY,q7a,TRUE,6498,q7a
2002,91_2,N_INDI,q7b,TRUE,6498,q7b
2006,95,N_FAMILY,c5,TRUE,6013,c5;c51;c51_1;c51_2;c51_3;c51_4;c51_5
2006,95,N_INDI,c51,TRUE,6013,c51;c51_1;c51_2;c51_3;c51_4;c51_5
2010,99,N_FAMILY,f2,TRUE,5027,f2;f2_1;f2_1_1;f2_1_2;f2_1_3;f2_1_4;f2_1_5
2010,99,N_INDI,f2_1,TRUE,5027,f2;f2_1;f2_1_1;f2_1_2;f2_1_3;f2_1_4;f2_1_5
2014,103,N_FAMILY,f1,TRUE,5214,f1;f1_1;f1_1_1;f1_1_2;f1_1_3;f1_1_4;f1_1_5
2014,103,N_INDI,f1_1,TRUE,5214,f1;f1_1;f1_1_1;f1_1_2;f1_1_3;f1_1_4;f1_1_5
2017,106,N_FAMILY,f1,TRUE,5302,f1;f1_1_1;f1_1_2;f1_1_3;f1_1_4;f1_1_5;f1_1_6;f1_1_7;f1_1_8;f1_1_9;f1_1_10;f1_1_11;f1_1_12
2017,106,N_INDI,f1_1_6,TRUE,5302,f1_1_1;f1_1_2;f1_1_3;f1_1_4;f1_1_5;f1_1_6;f1_1_7;f1_1_8;f1_1_9;f1_1_10;f1_1_11;f1_1_12
2021,110,N_FAMILY,a2,TRUE,5409,a2;a2_1_1;a2_1_2;a2_1_3;a2_1_4;a2_1_5;a2_1_6;a2_1_7;a2_1_8;a2_1_9;a2_1_10;a2_1_11;a2_1_12
2021,110,N_INDI,a2_1_6,TRUE,5409,a2_1_1;a2_1_2;a2_1_3;a2_1_4;a2_1_5;a2_1_6;a2_1_7;a2_1_8;a2_1_9;a2_1_10;a2_1_11;a2_1_12
