survey_year,variable,original_value,original_label,recoded_midpoint,recode_note,needs_manual_review
2002,INC_FAM_ANALYSIS_ELIGIBILITY_REASON,NA,該年度無I1跳答排除規則,NA,manual_review_unrecognized_label,TRUE
2002,INC_FAM_ANALYSIS_ELIGIBLE,NA,TRUE,NA,manual_review_unrecognized_label,TRUE
2006,INC_FAM_ANALYSIS_ELIGIBILITY_REASON,NA,該年度無I1跳答排除規則,NA,manual_review_unrecognized_label,TRUE
2006,INC_FAM_ANALYSIS_ELIGIBLE,NA,TRUE,NA,manual_review_unrecognized_label,TRUE
2006,RENT,NA,自有住宅,NA,manual_review_unrecognized_label,TRUE
2010,INC_FAM_ANALYSIS_ELIGIBILITY_REASON,NA,該年度無I1跳答排除規則,NA,manual_review_unrecognized_label,TRUE
2010,INC_FAM_ANALYSIS_ELIGIBLE,NA,TRUE,NA,manual_review_unrecognized_label,TRUE
2014,INC_FAM_ANALYSIS_ELIGIBILITY_REASON,NA,I1有其他家人固定收入；I3-I8有詢問,NA,manual_review_unparsed_closed_range,TRUE
2014,INC_FAM_ANALYSIS_ELIGIBILITY_REASON,NA,I1沒有其他家人固定收入；問卷跳答I9,NA,manual_review_unrecognized_label,TRUE
2014,INC_FAM_ANALYSIS_ELIGIBLE,NA,FALSE,NA,manual_review_unrecognized_label,TRUE
2014,INC_FAM_ANALYSIS_ELIGIBLE,NA,TRUE,NA,manual_review_unrecognized_label,TRUE
2017,INC_FAM_ANALYSIS_ELIGIBILITY_REASON,NA,該年度無I1跳答排除規則,NA,manual_review_unrecognized_label,TRUE
2017,INC_FAM_ANALYSIS_ELIGIBLE,NA,TRUE,NA,manual_review_unrecognized_label,TRUE
2021,INC_FAM_ANALYSIS_ELIGIBILITY_REASON,NA,該年度無I1跳答排除規則,NA,manual_review_unrecognized_label,TRUE
2021,INC_FAM_ANALYSIS_ELIGIBLE,NA,TRUE,NA,manual_review_unrecognized_label,TRUE
