data_year,survey_tag,integrated_var,expected_raw_var,resolved_dataset_var,status
2002,91_1,INC_FAM_GOV,22-2,q22b,ok
2002,91_1,INC_FAM_INTEREST,NA,NA,missing_in_metadata
2002,91_1,INC_FAM_OTHER,22-3,q22c,ok
2002,91_1,INC_FAM_RENT,NA,NA,missing_in_metadata
2002,91_1,INC_FAM_TOTAL,21,q21,ok
2002,91_1,INC_FAM_TRANSFER,NA,NA,missing_in_metadata
2002,91_1,INC_FAM_WORK,22-1,q22a,ok
2002,91_1,INC_PERS_GOV,NA,NA,missing_in_metadata
2002,91_1,INC_PERS_INTEREST,NA,NA,missing_in_metadata
2002,91_1,INC_PERS_OTHER,NA,NA,missing_in_metadata
2002,91_1,INC_PERS_RENT,NA,NA,missing_in_metadata
2002,91_1,INC_PERS_TRANSFER,NA,NA,missing_in_metadata
2002,91_1,INC_PERS_WORK,NA,NA,missing_in_metadata
2002,91_2,INC_FAM_GOV,22-2,q22b,ok
2002,91_2,INC_FAM_INTEREST,NA,NA,missing_in_metadata
2002,91_2,INC_FAM_OTHER,22-3,q22c,ok
2002,91_2,INC_FAM_RENT,NA,NA,missing_in_metadata
2002,91_2,INC_FAM_TOTAL,21,q21,ok
2002,91_2,INC_FAM_TRANSFER,NA,NA,missing_in_metadata
2002,91_2,INC_FAM_WORK,22-1,q22a,ok
2002,91_2,INC_PERS_GOV,NA,NA,missing_in_metadata
2002,91_2,INC_PERS_INTEREST,NA,NA,missing_in_metadata
2002,91_2,INC_PERS_OTHER,NA,NA,missing_in_metadata
2002,91_2,INC_PERS_RENT,NA,NA,missing_in_metadata
2002,91_2,INC_PERS_TRANSFER,NA,NA,missing_in_metadata
2002,91_2,INC_PERS_WORK,NA,NA,missing_in_metadata
2006,95,INC_FAM_GOV,Q11-2,q112,ok
2006,95,INC_FAM_INTEREST,Q11-3,q113,ok
2006,95,INC_FAM_OTHER,Q11-5,q115,ok
2006,95,INC_FAM_RENT,Q11-4,q114,ok
2006,95,INC_FAM_TOTAL,NA,NA,missing_in_metadata
2006,95,INC_FAM_TRANSFER,NA,NA,missing_in_metadata
2006,95,INC_FAM_WORK,Q11-1,q111,ok
2006,95,INC_PERS_GOV,Q10-2,q102,ok
2006,95,INC_PERS_INTEREST,Q10-3,q103,ok
2006,95,INC_PERS_OTHER,Q10-5,q105,ok
2006,95,INC_PERS_RENT,Q10-4,q104,ok
2006,95,INC_PERS_TRANSFER,NA,NA,missing_in_metadata
2006,95,INC_PERS_WORK,Q10-1,q101,ok
2010,99,INC_FAM_GOV,I3,i3,ok
2010,99,INC_FAM_INTEREST,I4,i4,ok
2010,99,INC_FAM_OTHER,I6,i7,ok_override
2010,99,INC_FAM_RENT,I5,i5,ok
2010,99,INC_FAM_TOTAL,NA,NA,missing_in_metadata
2010,99,INC_FAM_TRANSFER,NA,NA,missing_in_metadata
2010,99,INC_FAM_WORK,I2,i2,ok
2010,99,INC_PERS_GOV,H2,h2,ok
2010,99,INC_PERS_INTEREST,H3,h3,ok
2010,99,INC_PERS_OTHER,H5,h5,ok
2010,99,INC_PERS_RENT,H4,h4,ok
2010,99,INC_PERS_TRANSFER,NA,NA,missing_in_metadata
2010,99,INC_PERS_WORK,H1,h1,ok
2014,103,INC_FAM_GOV,I4,i4,ok
2014,103,INC_FAM_INTEREST,I6,i6,ok
2014,103,INC_FAM_OTHER,I8,i8,ok
2014,103,INC_FAM_RENT,I7,i7,ok
2014,103,INC_FAM_TOTAL,NA,NA,missing_in_metadata
2014,103,INC_FAM_TRANSFER,I5,i5,ok
2014,103,INC_FAM_WORK,I3,i3,ok
2014,103,INC_PERS_GOV,H2,h2,ok
2014,103,INC_PERS_INTEREST,H4,h4,ok
2014,103,INC_PERS_OTHER,H6,h6,ok
2014,103,INC_PERS_RENT,H5,h5,ok
2014,103,INC_PERS_TRANSFER,H3,h3,ok
2014,103,INC_PERS_WORK,H1,h1,ok
2017,106,INC_FAM_GOV,L4,l4,ok
2017,106,INC_FAM_INTEREST,L6,l6,ok
2017,106,INC_FAM_OTHER,L8,l8,ok
2017,106,INC_FAM_RENT,L7,l7,ok
2017,106,INC_FAM_TOTAL,NA,NA,missing_in_metadata
2017,106,INC_FAM_TRANSFER,L5,l5,ok
2017,106,INC_FAM_WORK,L3,l3,ok
2017,106,INC_PERS_GOV,J2,j2,ok
2017,106,INC_PERS_INTEREST,J4,j4,ok
2017,106,INC_PERS_OTHER,J6,j6,ok
2017,106,INC_PERS_RENT,J5,j5,ok
2017,106,INC_PERS_TRANSFER,J3,j3,ok
2017,106,INC_PERS_WORK,J1,j1,ok
2021,110,INC_FAM_GOV,G4,g4,ok
2021,110,INC_FAM_INTEREST,G6,g6,ok
2021,110,INC_FAM_OTHER,G8,g8,ok
2021,110,INC_FAM_RENT,G7,g7,ok
2021,110,INC_FAM_TOTAL,NA,NA,missing_in_metadata
2021,110,INC_FAM_TRANSFER,G5,g5,ok
2021,110,INC_FAM_WORK,G3,g3,ok
2021,110,INC_PERS_GOV,E2,e2,ok
2021,110,INC_PERS_INTEREST,E4,e4,ok
2021,110,INC_PERS_OTHER,E6,e6,ok
2021,110,INC_PERS_RENT,E5,e5,ok
2021,110,INC_PERS_TRANSFER,E3,e3,ok
2021,110,INC_PERS_WORK,E1,e1,ok
