data_year,survey_tag,integrated_var,expected_raw_var,resolved_dataset_var,status
2002,91_1,MALE,q1,q1,ok
2002,91_1,AGE,q2,q2,ok
2002,91_1,EDU,q3,q3,ok
2002,91_1,RACE,q4,q4,ok
2002,91_2,MALE,q1,q1,ok
2002,91_2,AGE,q2,q2,ok
2002,91_2,EDU,q3,q3,ok
2002,91_2,RACE,q4,q4,ok
2006,95,MALE,c10,c10,ok
2006,95,AGE,c2,c2,ok
2006,95,EDU,c3,c3,ok
2006,95,RACE,c1,c1,ok
2010,99,MALE,sex,sex,ok
2010,99,AGE,m3,m3,ok
2010,99,EDU,m4,m4,ok
2010,99,RACE,m2,m2,ok
2014,103,MALE,gender,gender,ok
2014,103,AGE,n3,n3,ok
2014,103,EDU,n4,n4,ok
2014,103,RACE,n2,n2,ok
2017,106,MALE,g1,g1,ok
2017,106,AGE,g2,g2,ok
2017,106,EDU,g3,g3,ok
2017,106,RACE,g5,g5,ok
2021,110,MALE,b1,b1,ok
2021,110,AGE,b2,b2,ok
2021,110,EDU,b3,b3,ok
2021,110,RACE,b5r,b5r,ok
2002,91_1,HOUSE_BELONG,q18,q18,ok
2002,91_1,RENT,q19,q19,ok
2002,91_2,HOUSE_BELONG,q18,q18,ok
2002,91_2,RENT,q19,q19,ok
2006,95,HOUSE_BELONG,q3,q3,ok
2006,95,RENT,q4,q4,ok
2010,99,HOUSE_BELONG,g1,g1,ok
2010,99,RENT,g2,g2,ok
2014,103,HOUSE_BELONG,g1,g1,ok
2014,103,RENT,g2,g2,ok
2017,106,HOUSE_BELONG,h1,h1,ok
2017,106,RENT,h2,h2,ok
2021,110,HOUSE_BELONG,c1,c1,ok
2021,110,RENT,c2,c2,ok
