survey_tag,question_id,option_code,option_text_n,option_texts
91_1,19,6,2,1萬元至未滿2萬元 | 2萬元以上（請記錄金額）
91_2,19,6,2,1萬元至未滿2萬元 | 2萬元以上（請記錄金額）
95,C2,6,2,60-64歲 | 65歲及以上
95,Q10-3,9,2,"50,000-59,999 元 | 70,000-79,999 元"
95,Q10-4,9,2,"50,000-59,999 元 | 70,000-79,999 元"
95,Q10-5,9,2,"50,000-59,999 元 | 70,000-79,999 元"
95,Q11-3,9,2,"50,000-59,999 元 | 70,000-79,999 元"
95,Q11-4,9,2,"50,000-59,999 元 | 70,000-79,999 元"
95,Q11-5,9,2,"50,000-59,999 元 | 70,000-79,999 元"
95,Q5,1,2,您家中有幾部自用汽車？ 部 | 有
95,Q5,2,3,您家中有幾部冷暖氣機？ 部 | 沒有 | 沒有 3
103,F2-1,15,2,拉阿魯哇族 | 其他_______
