data_year,survey_tag,main_var,supplement_var,rent_before_main,rent_before_supplement,rent_after_imputation,rent_source,rent_harmonized,frequency
2002,91_1,q19,NA,1千~未滿3千元,NA,1千~未滿3千元,main,"1,000-2,999元",75
2002,91_1,q19,NA,1萬~未滿2萬元,NA,1萬~未滿2萬元,main,"10,000-19,999元",243
2002,91_1,q19,NA,2萬元以上,NA,2萬元以上,main,"20,000元以上",24
2002,91_1,q19,NA,3千~未滿5千元,NA,3千~未滿5千元,main,"3,000-4,999元",183
2002,91_1,q19,NA,5千~未滿7千元,NA,5千~未滿7千元,main,"5,000-6,999元",240
2002,91_1,q19,NA,7千~未滿1萬元,NA,7千~未滿1萬元,main,"7,000-9,999元",244
2002,91_1,q19,NA,拒答,NA,拒答,main,拒答,31
2002,91_1,q19,NA,未滿1千元,NA,未滿1千元,main,"未滿1,000元",64
2002,91_1,q19,NA,沒有租金,NA,沒有租金,main,不需要支付租金,51
2002,91_1,q19,NA,NA,NA,NA,missing,NA,5460
2002,91_2,q19,NA,1千~未滿3千元,NA,1千~未滿3千元,main,"1,000-2,999元",74
2002,91_2,q19,NA,1萬~未滿2萬元,NA,1萬~未滿2萬元,main,"10,000-19,999元",246
2002,91_2,q19,NA,2萬元以上,NA,2萬元以上,main,"20,000元以上",19
2002,91_2,q19,NA,3千~未滿5千元,NA,3千~未滿5千元,main,"3,000-4,999元",172
2002,91_2,q19,NA,5千~未滿7千元,NA,5千~未滿7千元,main,"5,000-6,999元",244
2002,91_2,q19,NA,7千~未滿1萬元,NA,7千~未滿1萬元,main,"7,000-9,999元",253
2002,91_2,q19,NA,拒答,NA,拒答,main,拒答,12
2002,91_2,q19,NA,未滿1千元,NA,未滿1千元,main,"未滿1,000元",43
2002,91_2,q19,NA,沒有租金,NA,沒有租金,main,不需要支付租金,75
2002,91_2,q19,NA,NA,NA,NA,missing,NA,5360
2006,95,q4,NA,"1,000-2,999元",NA,"1,000-2,999元",main,"1,000-2,999元",60
2006,95,q4,NA,"10,000-19,999元",NA,"10,000-19,999元",main,"10,000-19,999元",175
2006,95,q4,NA,"20,000元及以上，請記錄_____元",NA,"20,000元及以上，請記錄_____元",main,"20,000元以上",22
2006,95,q4,NA,"3,000-4,999元",NA,"3,000-4,999元",main,"3,000-4,999元",162
2006,95,q4,NA,"5,000-6,999元",NA,"5,000-6,999元",main,"5,000-6,999元",237
2006,95,q4,NA,"7,000-9,999元",NA,"7,000-9,999元",main,"7,000-9,999元",215
2006,95,q4,NA,999元及以下,NA,999元及以下,main,"未滿1,000元",31
2006,95,q4,NA,不用付租金,NA,不用付租金,main,不需要支付租金,279
2006,95,q4,NA,不知道/拒答,NA,不知道/拒答,main,不知道/拒答,35
2006,95,q4,NA,自有住宅,NA,自有住宅,main,自有住宅,4797
2010,99,g2,NA,1000 - 2999元,NA,1000 - 2999元,main,"1,000-2,999元",56
2010,99,g2,NA,10000 - 14999元,NA,10000 - 14999元,main,"10,000-19,999元",201
2010,99,g2,NA,15000 - 19999元,NA,15000 - 19999元,main,"10,000-19,999元",51
2010,99,g2,NA,20000元及以上,NA,20000元及以上,main,"20,000元以上",27
2010,99,g2,NA,3000 - 4999元,NA,3000 - 4999元,main,"3,000-4,999元",132
2010,99,g2,NA,5000 - 6999元,NA,5000 - 6999元,main,"5,000-6,999元",298
2010,99,g2,NA,7000 - 9999元,NA,7000 - 9999元,main,"7,000-9,999元",303
2010,99,g2,NA,999 元及以下,NA,999 元及以下,main,"未滿1,000元",35
2010,99,g2,NA,不需要支付租金,NA,不需要支付租金,main,不需要支付租金,29
2010,99,g2,NA,未回答,NA,未回答,main,未回答,14
2010,99,g2,NA,NA,NA,NA,missing,NA,3881
2014,103,g2,g2o,"1,000-2,999元",NA,"1,000-2,999元",main,"1,000-2,999元",42
2014,103,g2,g2o,"10,000-14,999元",NA,"10,000-14,999元",main,"10,000-19,999元",286
2014,103,g2,g2o,"15,000-19,999元",NA,"15,000-19,999元",main,"10,000-19,999元",57
2014,103,g2,g2o,"20,000元及以上，請記錄___元",20000,20000,supplement_open_top,20000,5
2014,103,g2,g2o,"20,000元及以上，請記錄___元",22000,22000,supplement_open_top,22000,3
2014,103,g2,g2o,"20,000元及以上，請記錄___元",23000,23000,supplement_open_top,23000,4
2014,103,g2,g2o,"20,000元及以上，請記錄___元",24000,24000,supplement_open_top,24000,3
2014,103,g2,g2o,"20,000元及以上，請記錄___元",25000,25000,supplement_open_top,25000,12
2014,103,g2,g2o,"20,000元及以上，請記錄___元",25400,25400,supplement_open_top,25400,1
2014,103,g2,g2o,"20,000元及以上，請記錄___元",28000,28000,supplement_open_top,28000,1
2014,103,g2,g2o,"20,000元及以上，請記錄___元",30000,30000,supplement_open_top,30000,6
2014,103,g2,g2o,"20,000元及以上，請記錄___元",35000,35000,supplement_open_top,35000,1
2014,103,g2,g2o,"20,000元及以上，請記錄___元",40000,40000,supplement_open_top,40000,1
2014,103,g2,g2o,"3,000-4,999元",NA,"3,000-4,999元",main,"3,000-4,999元",120
2014,103,g2,g2o,"5,000-5,999元",NA,"5,000-5,999元",main,"5,000-6,999元",132
2014,103,g2,g2o,"6,000-6,999元",NA,"6,000-6,999元",main,"5,000-6,999元",111
2014,103,g2,g2o,"7,000-7,999元",NA,"7,000-7,999元",main,"7,000-9,999元",160
2014,103,g2,g2o,"8,000-8,999元",NA,"8,000-8,999元",main,"7,000-9,999元",167
2014,103,g2,g2o,"9,000-9,999元",NA,"9,000-9,999元",main,"7,000-9,999元",69
2014,103,g2,g2o,999元及以下,NA,999元及以下,main,"未滿1,000元",23
2014,103,g2,g2o,不需要支付租金,NA,不需要支付租金,main,不需要支付租金,60
2014,103,g2,g2o,NA,NA,NA,missing,NA,3950
2017,106,h2,h2o,"1,000元~未滿3,000元",,"1,000元~未滿3,000元",main,"1,000-2,999元",47
2017,106,h2,h2o,"10,000元~未滿15,000元",,"10,000元~未滿15,000元",main,"10,000-19,999元",284
2017,106,h2,h2o,"15,000元~未滿20,000元",,"15,000元~未滿20,000元",main,"10,000-19,999元",94
2017,106,h2,h2o,"20,000元以上",,"20,000元以上",main,"20,000元以上",1
2017,106,h2,h2o,"20,000元以上",20000,20000,supplement_open_top,20000,9
