sample_definition,DATA_Y,variable,valid_n,mean,complete_n
full_sample,2002,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,6265,26501.436552274543,6265
full_sample,2002,EXP_TOTAL_DERIVED_EXPENDITURE,13104,25574.977106227107,6265
full_sample,2002,EXP_TOTAL_REPORTED_EXPENDITURE,13097,27289.455600519203,0
full_sample,2002,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,13113,38877.14481811942,13113
full_sample,2002,INC_FAM_TOTAL_DERIVED_INCOME,13113,38877.14481811942,13113
full_sample,2002,INC_FAM_TOTAL_REPORTED_INCOME,13113,36515.290170060245,0
full_sample,2006,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,3720,35455.109811827955,3720
full_sample,2006,EXP_TOTAL_DERIVED_EXPENDITURE,6012,31557.980788423152,3720
full_sample,2006,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,4930,37905.18397565923,4930
full_sample,2006,INC_FAM_TOTAL_DERIVED_INCOME,6006,34090.768731268734,4930
full_sample,2010,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,4962,31782.911527609835,4962
full_sample,2010,EXP_TOTAL_DERIVED_EXPENDITURE,5027,31890.309926397455,4962
full_sample,2010,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,5009,36288.04442004392,5009
full_sample,2010,INC_FAM_TOTAL_DERIVED_INCOME,5027,36277.56186592401,5009
full_sample,2014,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,5214,40511.07211354047,5214
full_sample,2014,EXP_TOTAL_DERIVED_EXPENDITURE,5214,40511.07211354047,5214
full_sample,2014,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,3345,67222.8134529148,3345
full_sample,2014,INC_FAM_TOTAL_DERIVED_INCOME,3345,67222.8134529148,3345
full_sample,2017,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,5302,45469.24311580536,5302
full_sample,2017,EXP_TOTAL_DERIVED_EXPENDITURE,5302,45469.24311580536,5302
full_sample,2017,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,5302,58170.030177291585,5302
full_sample,2017,INC_FAM_TOTAL_DERIVED_INCOME,5302,58170.030177291585,5302
full_sample,2021,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,5409,46294.915880939174,5409
full_sample,2021,EXP_TOTAL_DERIVED_EXPENDITURE,5409,46294.915880939174,5409
full_sample,2021,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,5409,62706.507672397856,5409
full_sample,2021,INC_FAM_TOTAL_DERIVED_INCOME,5409,62706.507672397856,5409
indigenous_analysis_sample,2002,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,6265,26501.436552274543,6265
indigenous_analysis_sample,2002,EXP_TOTAL_DERIVED_EXPENDITURE,13104,25574.977106227107,6265
indigenous_analysis_sample,2002,EXP_TOTAL_REPORTED_EXPENDITURE,13097,27289.455600519203,0
indigenous_analysis_sample,2002,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,13113,38877.14481811942,13113
indigenous_analysis_sample,2002,INC_FAM_TOTAL_DERIVED_INCOME,13113,38877.14481811942,13113
indigenous_analysis_sample,2002,INC_FAM_TOTAL_REPORTED_INCOME,13113,36515.290170060245,0
indigenous_analysis_sample,2006,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,3720,35455.109811827955,3720
indigenous_analysis_sample,2006,EXP_TOTAL_DERIVED_EXPENDITURE,6012,31557.980788423152,3720
indigenous_analysis_sample,2006,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,4930,37905.18397565923,4930
indigenous_analysis_sample,2006,INC_FAM_TOTAL_DERIVED_INCOME,6006,34090.768731268734,4930
indigenous_analysis_sample,2010,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,4962,31782.911527609835,4962
indigenous_analysis_sample,2010,EXP_TOTAL_DERIVED_EXPENDITURE,5027,31890.309926397455,4962
indigenous_analysis_sample,2010,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,5009,36288.04442004392,5009
indigenous_analysis_sample,2010,INC_FAM_TOTAL_DERIVED_INCOME,5027,36277.56186592401,5009
indigenous_analysis_sample,2014,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,4571,39369.69142419602,4571
indigenous_analysis_sample,2014,EXP_TOTAL_DERIVED_EXPENDITURE,4571,39369.69142419602,4571
indigenous_analysis_sample,2014,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,2952,67042.38075880759,2952
indigenous_analysis_sample,2014,INC_FAM_TOTAL_DERIVED_INCOME,2952,67042.38075880759,2952
indigenous_analysis_sample,2017,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,4494,43901.51668891856,4494
indigenous_analysis_sample,2017,EXP_TOTAL_DERIVED_EXPENDITURE,4494,43901.51668891856,4494
indigenous_analysis_sample,2017,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,4494,56234.64619492657,4494
indigenous_analysis_sample,2017,INC_FAM_TOTAL_DERIVED_INCOME,4494,56234.64619492657,4494
indigenous_analysis_sample,2021,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,4392,43227.10610200364,4392
indigenous_analysis_sample,2021,EXP_TOTAL_DERIVED_EXPENDITURE,4392,43227.10610200364,4392
indigenous_analysis_sample,2021,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,4392,59409.83606557377,4392
indigenous_analysis_sample,2021,INC_FAM_TOTAL_DERIVED_INCOME,4392,59409.83606557377,4392
