data_year,survey_tag,integrated_var,dataset_var,indicator_var,indicator_label_set,explicit_no_n,indicator_missing_n,usable_amount_n,indicator_missing_amount_missing_n,conflict_n,eligible_n,conflict_pct,example_amount_values
2010,99,EXP_CARE,j7_7_2,j7_7_1,1=沒有;2=有;99=未回答,4134,5,888,5,0,5027,0,
2010,99,EXP_CLEANING,j7_1_2,j7_1_1,1=沒有;2=有;99=未回答,4446,2,574,2,0,5027,0,
2010,99,EXP_CLOTHING,j7_5_2,j7_5_1,1=沒有;2=有;99=未回答,1663,3,3359,3,0,5027,0,
2010,99,EXP_EDU_BOOKS_COMBINED,j7_2_2,j7_2_1,1=沒有;2=有;99=未回答,2846,3,2178,3,0,5027,0,
2010,99,EXP_FURNITURE,j7_6_2,j7_6_1,1=沒有;2=有;99=未回答,3458,8,1561,8,0,5027,0,
2010,99,EXP_LOAN_INTEREST,j7_4_2,j7_4_1,1=沒有;2=有;99=未回答,4416,8,603,8,0,5027,0,
2010,99,EXP_OTHER,j7_8_2,j7_8_1,1=沒有;2=有;99=未回答,4507,5,513,5,0,5027,0,
2010,99,EXP_TRAVEL,j7_3_2,j7_3_1,1=沒有;2=有;99=未回答,4208,1,816,1,0,5027,0,
2014,103,EXP_BOOKS,j7_3_2,j7_3_1,1=有;2=無,3288,0,1926,0,0,5214,0,
2014,103,EXP_CARE,j7_9_2,j7_9_1,1=有;2=無,4395,0,819,0,0,5214,0,
2014,103,EXP_CLEANING,j7_1_2,j7_1_1,1=有;2=無,4777,0,437,0,0,5214,0,
2014,103,EXP_CLOTHING,j7_7_2,j7_7_1,1=有;2=無,823,0,4391,0,0,5214,0,
2014,103,EXP_DINING_LODGING,j7_6_2,j7_6_1,1=有;2=無,2221,0,2993,0,0,5214,0,
2014,103,EXP_EDU_TUITION,j7_2_2,j7_2_1,1=有;2=無,3053,0,2161,0,0,5214,0,
2014,103,EXP_FURNITURE,j7_8_2,j7_8_1,1=有;2=無,3171,0,2043,0,0,5214,0,
2014,103,EXP_LOAN_INTEREST,j7_5_2,j7_5_1,1=有;2=無,3925,0,1289,0,0,5214,0,
2014,103,EXP_OTHER,j7_10_2,j7_10_1,1=有;2=無,870,0,4344,0,0,5214,0,
2014,103,EXP_TRAVEL,j7_4_2,j7_4_1,1=有;2=無,3851,0,1363,0,0,5214,0,
2017,106,EXP_BOOKS,m7_3_2,m7_3_1,1=有;2=沒有,3757,0,1545,0,0,5302,0,
2017,106,EXP_CARE,m7_9_2,m7_9_1,1=有;2=沒有,5041,0,261,0,0,5302,0,
2017,106,EXP_CLEANING,m7_1_2,m7_1_1,1=有;2=沒有,5260,0,42,0,0,5302,0,
2017,106,EXP_CLOTHING,m7_7_2,m7_7_1,1=有,0,0,5302,0,0,5302,0,
2017,106,EXP_DINING_LODGING,m7_6_2,m7_6_1,1=有;2=沒有,1837,0,3465,0,0,5302,0,
2017,106,EXP_EDU_TUITION,m7_2_2,m7_2_1,1=有;2=沒有,3068,0,2234,0,0,5302,0,
2017,106,EXP_FURNITURE,m7_8_2,m7_8_1,1=有,0,0,5302,0,0,5302,0,
2017,106,EXP_LOAN_INTEREST,m7_5_2,m7_5_1,1=有;2=沒有,3811,0,1491,0,0,5302,0,
2017,106,EXP_OTHER,m7_10_2,m7_10_1,1=有,0,0,5302,0,0,5302,0,
2017,106,EXP_TRAVEL,m7_4_2,m7_4_1,1=有;2=沒有,3748,0,1554,0,0,5302,0,
2021,110,EXP_BOOKS,h7_3_2,h7_3_1,1=有;2=沒有,3722,0,1687,0,0,5409,0,
2021,110,EXP_CARE,h7_9_2,h7_9_1,1=有;2=沒有,5104,0,305,0,0,5409,0,
2021,110,EXP_CLEANING,h7_1_2,h7_1_1,1=有;2=沒有,5319,0,90,0,0,5409,0,
2021,110,EXP_CLOTHING,h7_7_2,h7_7_1,1=有;2=沒有,759,0,4650,0,0,5409,0,
2021,110,EXP_DINING_LODGING,h7_6_2,h7_6_1,1=有;2=沒有,1752,0,3657,0,0,5409,0,
2021,110,EXP_EDU_TUITION,h7_2_2,h7_2_1,1=有;2=沒有,3487,0,1922,0,0,5409,0,
2021,110,EXP_FURNITURE,h7_8_2,h7_8_1,1=有;2=沒有,2682,0,2727,0,0,5409,0,
2021,110,EXP_LOAN_INTEREST,h7_5_2,h7_5_1,1=有;2=沒有,4103,0,1306,0,0,5409,0,
2021,110,EXP_OTHER,h7_10_2,h7_10_1,1=有;2=沒有,2988,0,2421,0,0,5409,0,
2021,110,EXP_TRAVEL,h7_4_2,h7_4_1,1=有;2=沒有,4005,0,1404,0,0,5409,0,
