variable,survey_year,raw_var
EXP_BOOKS_EXPENDITURE,2002,NA
EXP_BOOKS_EXPENDITURE,2006,NA
EXP_BOOKS_EXPENDITURE,2010,NA
EXP_CARE_EXPENDITURE,2002,NA
EXP_CLEANING_EXPENDITURE,2002,NA
EXP_CLOTHING_EXPENDITURE,2002,NA
EXP_DINING_LODGING_EXPENDITURE,2002,NA
EXP_DINING_LODGING_EXPENDITURE,2006,NA
EXP_DINING_LODGING_EXPENDITURE,2010,NA
EXP_EDU_BOOKS_COMBINED_EXPENDITURE,2014,NA
EXP_EDU_BOOKS_COMBINED_EXPENDITURE,2017,NA
EXP_EDU_BOOKS_COMBINED_EXPENDITURE,2021,NA
EXP_EDU_TUITION_EXPENDITURE,2002,NA
EXP_EDU_TUITION_EXPENDITURE,2006,NA
EXP_EDU_TUITION_EXPENDITURE,2010,NA
EXP_FURNITURE_EXPENDITURE,2002,NA
EXP_HOUSING_UTIL_EXPENDITURE,2002,NA
EXP_LOAN_INTEREST_EXPENDITURE,2002,NA
EXP_OTHER_EXPENDITURE,2002,NA
EXP_TAX_INS_GIFT_EXPENDITURE,2002,NA
EXP_TOTAL_REPORTED_EXPENDITURE,2006,NA
EXP_TOTAL_REPORTED_EXPENDITURE,2010,NA
EXP_TOTAL_REPORTED_EXPENDITURE,2014,NA
EXP_TOTAL_REPORTED_EXPENDITURE,2017,NA
EXP_TOTAL_REPORTED_EXPENDITURE,2021,NA
INC_FAM_INTEREST_INCOME,2002,NA
INC_FAM_RENT_INCOME,2002,NA
INC_FAM_TOTAL_INCOME,2006,NA
INC_FAM_TOTAL_INCOME,2010,NA
INC_FAM_TOTAL_INCOME,2014,NA
INC_FAM_TOTAL_INCOME,2017,NA
INC_FAM_TOTAL_INCOME,2021,NA
INC_FAM_TRANSFER_INCOME,2002,NA
INC_FAM_TRANSFER_INCOME,2006,NA
INC_FAM_TRANSFER_INCOME,2010,NA
INC_PERS_GOV_INCOME,2002,NA
INC_PERS_INTEREST_INCOME,2002,NA
INC_PERS_OTHER_INCOME,2002,NA
INC_PERS_RENT_INCOME,2002,NA
INC_PERS_TRANSFER_INCOME,2002,NA
INC_PERS_TRANSFER_INCOME,2006,NA
INC_PERS_TRANSFER_INCOME,2010,NA
INC_PERS_WORK_INCOME,2002,NA
N_INDI_16_54,2002,NA
N_INDI_55_64,2002,NA
N_INDI_65PLUS,2002,NA
N_INDI_7_15,2002,NA
N_INDI_UNDER6,2002,NA
