data_year,survey_tag,integrated_var,raw_value,frequency
2002,91_2,EXP_EDU_BOOKS_COMBINED,1千~未滿3千元,1279
2002,91_2,EXP_EDU_BOOKS_COMBINED,1萬元以上,233
2002,91_2,EXP_EDU_BOOKS_COMBINED,3千~未滿5千元,641
2002,91_2,EXP_EDU_BOOKS_COMBINED,5千~未滿7千元,351
2002,91_2,EXP_EDU_BOOKS_COMBINED,7千~未滿1萬元,278
2002,91_2,EXP_EDU_BOOKS_COMBINED,未滿1千元,1119
2002,91_2,EXP_EDU_BOOKS_COMBINED,無此消費,2541
2002,91_2,EXP_TRAVEL,1千~未滿3千元,829
2002,91_2,EXP_TRAVEL,1萬元以上,44
2002,91_2,EXP_TRAVEL,3千~未滿5千元,365
2002,91_2,EXP_TRAVEL,5千~未滿7千元,119
2002,91_2,EXP_TRAVEL,7千~未滿1萬元,62
2002,91_2,EXP_TRAVEL,未滿1千元,837
2002,91_2,EXP_TRAVEL,無此消費,4216
2006,95,EXP_ALCOHOL,不知道/拒答,351
2006,95,EXP_CARE,"1,000-1,999元",108
2006,95,EXP_CARE,"10,000-14,999元",29
2006,95,EXP_CARE,"15,000-19,999元",7
2006,95,EXP_CARE,"2,000-2,999元",84
2006,95,EXP_CARE,"20,000-29,999元",4
2006,95,EXP_CARE,"3,000-3,999元",178
2006,95,EXP_CARE,"30,000元及以上，請記錄____元",1
2006,95,EXP_CARE,"4,000-4,999元",63
2006,95,EXP_CARE,"5,000-6,999元",34
2006,95,EXP_CARE,"7,000-9,999元",33
2006,95,EXP_CARE,999元及以下,115
2006,95,EXP_CARE,不知道/拒答,71
2006,95,EXP_CARE,沒有這項支出,5286
2006,95,EXP_CLEANING,不知道/拒答,50
2006,95,EXP_CLOTHING,"1,000-1,999元",874
2006,95,EXP_CLOTHING,"10,000-14,999元",1
2006,95,EXP_CLOTHING,"15,000-19,999元",3
2006,95,EXP_CLOTHING,"2,000-2,999元",472
2006,95,EXP_CLOTHING,"3,000-3,999元",406
2006,95,EXP_CLOTHING,"4,000-4,999元",113
2006,95,EXP_CLOTHING,"5,000-6,999元",18
2006,95,EXP_CLOTHING,"7,000-9,999元",38
