Survey Year,sample_definition,Variable,Category,Count,Percentage,Missing N,Missing %
2002,full_sample,AGE_GROUP,15-19歲,122,0.009303744375810264,0,0
2002,full_sample,AGE_GROUP,20-29歲,1100,0.08388621978189582,0,0
2002,full_sample,AGE_GROUP,30-39歲,3216,0.24525280256234272,0,0
2002,full_sample,AGE_GROUP,40-49歲,4038,0.30793868679935943,0,0
2002,full_sample,AGE_GROUP,50-59歲,2478,0.18897277510867078,0,0
2002,full_sample,AGE_GROUP,60歲以上,2159,0.164645771371921,0,0
2002,full_sample,AGE_GROUP_HARMONIZED,15-19歲,122,0.009303744375810264,0,0
2002,full_sample,AGE_GROUP_HARMONIZED,20-29歲,1100,0.08388621978189582,0,0
2002,full_sample,AGE_GROUP_HARMONIZED,30-39歲,3216,0.24525280256234272,0,0
2002,full_sample,AGE_GROUP_HARMONIZED,40-49歲,4038,0.30793868679935943,0,0
2002,full_sample,AGE_GROUP_HARMONIZED,50-59歲,2478,0.18897277510867078,0,0
2002,full_sample,AGE_GROUP_HARMONIZED,60歲以上,2159,0.164645771371921,0,0
2002,full_sample,AGE_MEASURE_TYPE,age_group,13113,1,0,0
2002,full_sample,EDU,不識字/自修,1098,0.08373369938229239,0,0
2002,full_sample,EDU,國(初)中,2644,0.20163196827575688,0,0
2002,full_sample,EDU,國小,4619,0.35224586288416077,0,0
2002,full_sample,EDU,專科以上,1234,0.09410508655532678,0,0
2002,full_sample,EDU,高中職,3518,0.26828338290246323,0,0
2002,full_sample,EXP_ALCOHOL_EXPENDITURE,"1,000元至未滿3,000元",3403,0.2616887111657951,109,0.00831236177838786
2002,full_sample,EXP_ALCOHOL_EXPENDITURE,1萬元以上（請記錄金額）,96,0.007382343894186404,109,0.00831236177838786
2002,full_sample,EXP_ALCOHOL_EXPENDITURE,"3,000元至未滿5,000元",1211,0.09312519224853891,109,0.00831236177838786
2002,full_sample,EXP_ALCOHOL_EXPENDITURE,"5,000-6,999 元",404,0.031067363888034452,109,0.00831236177838786
2002,full_sample,EXP_ALCOHOL_EXPENDITURE,"7,000-9,999 元",172,0.013226699477083975,109,0.00831236177838786
2002,full_sample,EXP_ALCOHOL_EXPENDITURE,"未滿1,000元",2550,0.19609350968932637,109,0.00831236177838786
2002,full_sample,EXP_ALCOHOL_EXPENDITURE,沒有這項支出,5168,0.39741617963703474,109,0.00831236177838786
2002,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,1千~未滿3千元,1279,0.19854082583048743,6671,0.5087317928772973
2002,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,1萬元以上,233,0.03616889164855635,6671,0.5087317928772973
2002,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,3千~未滿5千元,641,0.0995032598571872,6671,0.5087317928772973
2002,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,5千~未滿7千元,351,0.05448618441477802,6671,0.5087317928772973
2002,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,7千~未滿1萬元,278,0.043154299906861225,6671,0.5087317928772973
2002,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,未滿1千元,1119,0.17370381868984788,6671,0.5087317928772973
2002,full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,無此消費,2541,0.3944427196522819,6671,0.5087317928772973
2002,full_sample,EXP_FOOD_EXPENDITURE,1萬元至未滿2萬元,4269,0.33054587688734033,198,0.015099519560741249
2002,full_sample,EXP_FOOD_EXPENDITURE,"20,000-29,999 元",3812,0.2951606658923732,198,0.015099519560741249
2002,full_sample,EXP_FOOD_EXPENDITURE,"3,000-4,999 元",1425,0.11033681765389082,198,0.015099519560741249
2002,full_sample,EXP_FOOD_EXPENDITURE,"30,000-39,999 元",748,0.05791715060007743,198,0.015099519560741249
2002,full_sample,EXP_FOOD_EXPENDITURE,"40,000-49,999 元",153,0.011846689895470384,198,0.015099519560741249
2002,full_sample,EXP_FOOD_EXPENDITURE,"5,000元至未滿1萬元",2477,0.19179248935346496,198,0.015099519560741249
2002,full_sample,EXP_FOOD_EXPENDITURE,5萬元以上（請記錄金額）,31,0.002400309717382888,198,0.015099519560741249
2002,full_sample,EXP_MEDICAL_EXPENDITURE,"1,000元至未滿3,000元",4228,0.32841385738698153,239,0.01822618775261191
2002,full_sample,EXP_MEDICAL_EXPENDITURE,1萬元以上（請記錄金額）,511,0.03969240329345969,239,0.01822618775261191
2002,full_sample,EXP_MEDICAL_EXPENDITURE,"3,000元至未滿5,000元",1805,0.14020506447102687,239,0.01822618775261191
2002,full_sample,EXP_MEDICAL_EXPENDITURE,"5,000-6,999 元",813,0.06315053596395837,239,0.01822618775261191
2002,full_sample,EXP_MEDICAL_EXPENDITURE,"7,000-9,999 元",541,0.04202268137331055,239,0.01822618775261191
2002,full_sample,EXP_MEDICAL_EXPENDITURE,"未滿1,000元",3790,0.29439179742115895,239,0.01822618775261191
2002,full_sample,EXP_MEDICAL_EXPENDITURE,沒有這項支出,1186,0.09212366009010409,239,0.01822618775261191
2002,full_sample,EXP_TOTAL_REPORTED_EXPENDITURE,2萬元至未滿3萬元,3904,0.298083530579522,16,0.0012201631968275757
2002,full_sample,EXP_TOTAL_REPORTED_EXPENDITURE,3萬元至未滿4萬元,2269,0.17324578147667405,16,0.0012201631968275757
2002,full_sample,EXP_TOTAL_REPORTED_EXPENDITURE,4萬元至未滿5萬元,1198,0.09147132931205619,16,0.0012201631968275757
2002,full_sample,EXP_TOTAL_REPORTED_EXPENDITURE,5萬元至未滿6萬元,660,0.05039321982133313,16,0.0012201631968275757
2002,full_sample,EXP_TOTAL_REPORTED_EXPENDITURE,6萬元至未滿7萬元,291,0.02221882873940597,16,0.0012201631968275757
2002,full_sample,EXP_TOTAL_REPORTED_EXPENDITURE,7萬元至未滿8萬元,168,0.012827365045430252,16,0.0012201631968275757
2002,full_sample,EXP_TOTAL_REPORTED_EXPENDITURE,8萬元以上（請記錄金額）,168,0.012827365045430252,16,0.0012201631968275757
2002,full_sample,EXP_TOTAL_REPORTED_EXPENDITURE,未滿2萬元,4439,0.33893257998014814,16,0.0012201631968275757
2002,full_sample,EXP_TRANSPORT_COMM_EXPENDITURE,"1,000元至未滿3,000元",4478,0.3448860135551448,129,0.00983756577442233
2002,full_sample,EXP_TRANSPORT_COMM_EXPENDITURE,1萬元以上（請記錄金額）,579,0.04459334565619224,129,0.00983756577442233
2002,full_sample,EXP_TRANSPORT_COMM_EXPENDITURE,"3,000元至未滿5,000元",3186,0.2453789279112754,129,0.00983756577442233
2002,full_sample,EXP_TRANSPORT_COMM_EXPENDITURE,"5,000-6,999 元",1665,0.12823475046210722,129,0.00983756577442233
2002,full_sample,EXP_TRANSPORT_COMM_EXPENDITURE,"7,000-9,999 元",992,0.07640172520024646,129,0.00983756577442233
2002,full_sample,EXP_TRANSPORT_COMM_EXPENDITURE,999 元及以下,2038,0.15696241528034505,129,0.00983756577442233
2002,full_sample,EXP_TRANSPORT_COMM_EXPENDITURE,沒有這項支出,46,0.003542821934688848,129,0.00983756577442233
2002,full_sample,EXP_TRAVEL_EXPENDITURE,1千~未滿3千元,829,0.1280902348578492,6641,0.5064439868832457
2002,full_sample,EXP_TRAVEL_EXPENDITURE,1萬元以上,44,0.006798516687268232,6641,0.5064439868832457
2002,full_sample,EXP_TRAVEL_EXPENDITURE,3千~未滿5千元,365,0.056396786155747836,6641,0.5064439868832457
2002,full_sample,EXP_TRAVEL_EXPENDITURE,5千~未滿7千元,119,0.01838689740420272,6641,0.5064439868832457
2002,full_sample,EXP_TRAVEL_EXPENDITURE,7千~未滿1萬元,62,0.009579728059332509,6641,0.5064439868832457
2002,full_sample,EXP_TRAVEL_EXPENDITURE,未滿1千元,837,0.12932632880098888,6641,0.5064439868832457
2002,full_sample,EXP_TRAVEL_EXPENDITURE,無此消費,4216,0.6514215080346106,6641,0.5064439868832457
2002,full_sample,HOUSE_BELONG,借用,354,0.027016713729680227,10,7.626019980172348e-4
2002,full_sample,HOUSE_BELONG,租賃,2072,0.1581317255590323,10,7.626019980172348e-4
2002,full_sample,HOUSE_BELONG,自有/家人所有/自建,10456,0.797985194230329,10,7.626019980172348e-4
2002,full_sample,HOUSE_BELONG,配住,221,0.01686636648095856,10,7.626019980172348e-4
2002,full_sample,INC_FAM_GOV_INCOME,"10,000-14,999 元",166,0.012659193167086098,0,0
2002,full_sample,INC_FAM_GOV_INCOME,"15,000-19,999 元",61,0.004651872187905132,0,0
2002,full_sample,INC_FAM_GOV_INCOME,"2,000元至未滿4,000元",2701,0.20597879966445512,0,0
2002,full_sample,INC_FAM_GOV_INCOME,"20,000-29,999 元",33,0.0025165865934568747,0,0
2002,full_sample,INC_FAM_GOV_INCOME,"30,000 元及以上，請記錄________元",11,8.388621978189583e-4,0,0
2002,full_sample,INC_FAM_GOV_INCOME,"4,000元至未滿6,000元",643,0.0490353084725082,0,0
2002,full_sample,INC_FAM_GOV_INCOME,"6,000元至未滿1萬元",1115,0.08503012277892168,0,0
2002,full_sample,INC_FAM_GOV_INCOME,"未滿2,000元",8383,0.6392892549378479,0,0
2002,full_sample,INC_FAM_OTHER_INCOME,1萬~未滿2萬元,798,0.060855639441775335,0,0
2002,full_sample,INC_FAM_OTHER_INCOME,5千~未滿1萬元,838,0.06390604743384427,0,0
2002,full_sample,INC_FAM_OTHER_INCOME,5萬~未滿6萬元,357,0.02722489132921528,0,0
2002,full_sample,INC_FAM_OTHER_INCOME,6萬元以上,261,0.01990391214824983,0,0
2002,full_sample,INC_FAM_OTHER_INCOME,未滿5千元,915,0.06977808281857699,0,0
2002,full_sample,INC_FAM_OTHER_INCOME,無此收入,9944,0.7583314268283383,0,0
2002,full_sample,INC_FAM_TOTAL_INCOME,10萬元至未滿12萬元,249,0.018988789750629148,0,0
2002,full_sample,INC_FAM_TOTAL_INCOME,12萬元至未滿15萬元,128,0.009761305574620606,0,0
2002,full_sample,INC_FAM_TOTAL_INCOME,15萬元以上（請記錄金額）,109,0.00831236177838786,0,0
2002,full_sample,INC_FAM_TOTAL_INCOME,2萬元至未滿4萬元,4499,0.34309463890795394,0,0
2002,full_sample,INC_FAM_TOTAL_INCOME,4萬元至未滿6萬元,2538,0.1935483870967742,0,0
2002,full_sample,INC_FAM_TOTAL_INCOME,6萬元至未滿8萬元,1036,0.07900556699458552,0,0
2002,full_sample,INC_FAM_TOTAL_INCOME,8萬元至未滿10萬元,453,0.03454587051018074,0,0
2002,full_sample,INC_FAM_TOTAL_INCOME,未滿2萬元,4101,0.312743079386868,0,0
2002,full_sample,INC_FAM_WORK_INCOME,"100,000-129,999元",209,0.015938381758560206,0,0
2002,full_sample,INC_FAM_WORK_INCOME,12萬元至未滿15萬元,102,0.007778540379775795,0,0
2002,full_sample,INC_FAM_WORK_INCOME,15萬元以上（請記錄金額）,84,0.006405856783344772,0,0
2002,full_sample,INC_FAM_WORK_INCOME,2萬元至未滿4萬元,4303,0.32814763974681616,0,0
2002,full_sample,INC_FAM_WORK_INCOME,4萬元至未滿6萬元,2338,0.1782963471364295,0,0
2002,full_sample,INC_FAM_WORK_INCOME,6萬元至未滿8萬元,894,0.0681766186227408,0,0
2002,full_sample,INC_FAM_WORK_INCOME,8萬元至未滿10萬元,390,0.029741477922672156,0,0
2002,full_sample,INC_FAM_WORK_INCOME,未滿2萬元,4793,0.36551513764966065,0,0
2002,full_sample,MALE,男性,7901,0.6025318386334172,0,0
2002,full_sample,MALE,非男性,5212,0.3974681613665828,0,0
2002,full_sample,RACE,卑南族,401,0.030580340120491115,0,0
2002,full_sample,RACE,噶瑪蘭族,5,3.813009990086174e-4,0,0
2002,full_sample,RACE,布農族,1336,0.10188362693510257,0,0
2002,full_sample,RACE,排灣族,2511,0.19148936170212766,0,0
2002,full_sample,RACE,泰雅族,3069,0.23404255319148937,0,0
2002,full_sample,RACE,賽夏族,185,0.014108136963318843,0,0
2002,full_sample,RACE,邵族,28,0.0021352855944482573,0,0
