sample_definition,Variable,Survey Year,Present,Eligible N,Structural Missing N,Response Missing N,Response Missing %,Structural Missing %,Structural Missing,Valid N,presence_status,coverage_basis,structural_missing_status
full_sample,AGE_GROUP,2002,1,13113,0,0,0,0,FALSE,13113,present,harmonized_label,NA
full_sample,AGE_GROUP,2006,1,6013,0,0,0,0,FALSE,6013,present,harmonized_label,NA
full_sample,AGE_GROUP,2010,1,5027,0,1,1.9892580067634773e-4,0,FALSE,5026,present,harmonized_label,NA
full_sample,AGE_GROUP,2014,1,5214,0,0,0,0,FALSE,5214,present,harmonized_label,NA
full_sample,AGE_GROUP,2017,1,5302,0,0,0,0,FALSE,5302,present,harmonized_label,NA
full_sample,AGE_GROUP,2021,1,5409,0,0,0,0,FALSE,5409,present,harmonized_label,NA
full_sample,AGE_GROUP_HARMONIZED,2002,1,13113,0,0,0,0,FALSE,13113,present,harmonized_label,NA
full_sample,AGE_GROUP_HARMONIZED,2006,1,6013,0,0,0,0,FALSE,6013,present,harmonized_label,NA
full_sample,AGE_GROUP_HARMONIZED,2010,1,5027,0,1,1.9892580067634773e-4,0,FALSE,5026,present,harmonized_label,NA
full_sample,AGE_GROUP_HARMONIZED,2014,1,5214,0,0,0,0,FALSE,5214,present,harmonized_label,NA
full_sample,AGE_GROUP_HARMONIZED,2017,1,5302,0,0,0,0,FALSE,5302,present,harmonized_label,NA
full_sample,AGE_GROUP_HARMONIZED,2021,1,5409,0,0,0,0,FALSE,5409,present,harmonized_label,NA
full_sample,AGE_MEASURE_TYPE,2002,1,13113,0,0,0,0,FALSE,13113,present,harmonized_label,NA
full_sample,AGE_MEASURE_TYPE,2006,1,6013,0,0,0,0,FALSE,6013,present,harmonized_label,NA
full_sample,AGE_MEASURE_TYPE,2010,1,5027,0,0,0,0,FALSE,5027,present,harmonized_label,NA
full_sample,AGE_MEASURE_TYPE,2014,1,5214,0,0,0,0,FALSE,5214,present,harmonized_label,NA
full_sample,AGE_MEASURE_TYPE,2017,1,5302,0,0,0,0,FALSE,5302,present,harmonized_label,NA
full_sample,AGE_MEASURE_TYPE,2021,1,5409,0,0,0,0,FALSE,5409,present,harmonized_label,NA
full_sample,EDU,2002,1,13113,0,0,0,0,FALSE,13113,present,harmonized_label,NA
full_sample,EDU,2006,1,6013,0,0,0,0,FALSE,6013,present,harmonized_label,NA
full_sample,EDU,2010,1,5027,0,2,3.9785160135269546e-4,0,FALSE,5025,present,harmonized_label,NA
full_sample,EDU,2014,1,5214,0,0,0,0,FALSE,5214,present,harmonized_label,NA
full_sample,EDU,2017,1,5302,0,0,0,0,FALSE,5302,present,harmonized_label,NA
full_sample,EDU,2021,1,5409,0,0,0,0,FALSE,5409,present,harmonized_label,NA
full_sample,EXP_ALCOHOL_EXPENDITURE,2002,1,13113,0,109,0.00831236177838786,0,FALSE,13004,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_ALCOHOL_EXPENDITURE,2006,1,6013,0,351,0.05837352403126559,0,FALSE,5662,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_ALCOHOL_EXPENDITURE,2010,1,5027,0,7,0.0013924806047344342,0,FALSE,5020,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_ALCOHOL_EXPENDITURE,2014,1,5214,0,0,0,0,FALSE,5214,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_ALCOHOL_EXPENDITURE,2017,1,5302,0,0,0,0,FALSE,5302,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_ALCOHOL_EXPENDITURE,2021,1,5409,0,0,0,0,FALSE,5409,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_BOOKS_EXPENDITURE,2002,NA,13113,NA,NA,NA,NA,NA,NA,review_required,harmonized_label,NA
full_sample,EXP_BOOKS_EXPENDITURE,2006,NA,6013,NA,NA,NA,NA,NA,NA,review_required,harmonized_label,NA
full_sample,EXP_BOOKS_EXPENDITURE,2010,NA,5027,NA,NA,NA,NA,NA,NA,review_required,harmonized_label,NA
full_sample,EXP_BOOKS_EXPENDITURE,2014,1,5214,0,0,0,0,FALSE,5214,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_BOOKS_EXPENDITURE,2017,1,5302,0,0,0,0,FALSE,5302,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_BOOKS_EXPENDITURE,2021,1,5409,0,0,0,0,FALSE,5409,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_CARE_EXPENDITURE,2002,NA,13113,NA,NA,NA,NA,NA,NA,review_required,harmonized_label,NA
full_sample,EXP_CARE_EXPENDITURE,2006,1,6013,0,71,0.011807749875270248,0,FALSE,5942,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_CARE_EXPENDITURE,2010,1,5027,0,5,9.946290033817386e-4,0,FALSE,5022,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_CARE_EXPENDITURE,2014,1,5214,0,0,0,0,FALSE,5214,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_CARE_EXPENDITURE,2017,1,5302,0,0,0,0,FALSE,5302,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_CARE_EXPENDITURE,2021,1,5409,0,0,0,0,FALSE,5409,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_CLEANING_EXPENDITURE,2002,NA,13113,NA,NA,NA,NA,NA,NA,review_required,harmonized_label,NA
full_sample,EXP_CLEANING_EXPENDITURE,2006,1,6013,0,50,0.008315316813570598,0,FALSE,5963,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_CLEANING_EXPENDITURE,2010,1,5027,0,7,0.0013924806047344342,0,FALSE,5020,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_CLEANING_EXPENDITURE,2014,1,5214,0,0,0,0,FALSE,5214,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_CLEANING_EXPENDITURE,2017,1,5302,0,0,0,0,FALSE,5302,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_CLEANING_EXPENDITURE,2021,1,5409,0,0,0,0,FALSE,5409,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_CLOTHING_EXPENDITURE,2002,NA,13113,NA,NA,NA,NA,NA,NA,review_required,harmonized_label,NA
full_sample,EXP_CLOTHING_EXPENDITURE,2006,1,6013,0,404,0.06718775985365043,0,FALSE,5609,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_CLOTHING_EXPENDITURE,2010,1,5027,0,5,9.946290033817386e-4,0,FALSE,5022,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_CLOTHING_EXPENDITURE,2014,1,5214,0,0,0,0,FALSE,5214,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_CLOTHING_EXPENDITURE,2017,1,5302,0,0,0,0,FALSE,5302,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_CLOTHING_EXPENDITURE,2021,1,5409,0,0,0,0,FALSE,5409,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_DINING_LODGING_EXPENDITURE,2002,NA,13113,NA,NA,NA,NA,NA,NA,review_required,harmonized_label,NA
full_sample,EXP_DINING_LODGING_EXPENDITURE,2006,NA,6013,NA,NA,NA,NA,NA,NA,review_required,harmonized_label,NA
full_sample,EXP_DINING_LODGING_EXPENDITURE,2010,NA,5027,NA,NA,NA,NA,NA,NA,review_required,harmonized_label,NA
full_sample,EXP_DINING_LODGING_EXPENDITURE,2014,1,5214,0,0,0,0,FALSE,5214,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_DINING_LODGING_EXPENDITURE,2017,1,5302,0,0,0,0,FALSE,5302,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_DINING_LODGING_EXPENDITURE,2021,1,5409,0,0,0,0,FALSE,5409,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,2002,1,13113,6615,56,0.004270571188896515,0.5044612216884008,TRUE,6442,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,2006,1,6013,0,268,0.0445700981207384,0,FALSE,5745,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,2010,1,5027,0,3,5.967774020290431e-4,0,FALSE,5024,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,2014,NA,5214,NA,NA,NA,NA,NA,NA,review_required,harmonized_label,NA
full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,2017,NA,5302,NA,NA,NA,NA,NA,NA,review_required,harmonized_label,NA
full_sample,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,2021,NA,5409,NA,NA,NA,NA,NA,NA,review_required,harmonized_label,NA
full_sample,EXP_EDU_TUITION_EXPENDITURE,2002,NA,13113,NA,NA,NA,NA,NA,NA,review_required,harmonized_label,NA
full_sample,EXP_EDU_TUITION_EXPENDITURE,2006,NA,6013,NA,NA,NA,NA,NA,NA,review_required,harmonized_label,NA
full_sample,EXP_EDU_TUITION_EXPENDITURE,2010,NA,5027,NA,NA,NA,NA,NA,NA,review_required,harmonized_label,NA
full_sample,EXP_EDU_TUITION_EXPENDITURE,2014,1,5214,0,0,0,0,FALSE,5214,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_EDU_TUITION_EXPENDITURE,2017,1,5302,0,0,0,0,FALSE,5302,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_EDU_TUITION_EXPENDITURE,2021,1,5409,0,0,0,0,FALSE,5409,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_FOOD_EXPENDITURE,2002,1,13113,0,198,0.015099519560741249,0,FALSE,12915,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_FOOD_EXPENDITURE,2006,1,6013,0,672,0.11175785797438882,0,FALSE,5341,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_FOOD_EXPENDITURE,2010,1,5027,0,4,7.957032027053909e-4,0,FALSE,5023,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_FOOD_EXPENDITURE,2014,1,5214,0,0,0,0,FALSE,5214,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_FOOD_EXPENDITURE,2017,1,5302,0,0,0,0,FALSE,5302,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_FOOD_EXPENDITURE,2021,1,5409,0,0,0,0,FALSE,5409,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_FURNITURE_EXPENDITURE,2002,NA,13113,NA,NA,NA,NA,NA,NA,review_required,harmonized_label,NA
full_sample,EXP_FURNITURE_EXPENDITURE,2006,1,6013,0,323,0.053716946615666054,0,FALSE,5690,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_FURNITURE_EXPENDITURE,2010,1,5027,0,8,0.0015914064054107818,0,FALSE,5019,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_FURNITURE_EXPENDITURE,2014,1,5214,0,0,0,0,FALSE,5214,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_FURNITURE_EXPENDITURE,2017,1,5302,0,0,0,0,FALSE,5302,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_FURNITURE_EXPENDITURE,2021,1,5409,0,0,0,0,FALSE,5409,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_HOUSING_UTIL_EXPENDITURE,2002,NA,13113,NA,NA,NA,NA,NA,NA,review_required,harmonized_label,NA
full_sample,EXP_HOUSING_UTIL_EXPENDITURE,2006,1,6013,0,412,0.06851821054382172,0,FALSE,5601,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_HOUSING_UTIL_EXPENDITURE,2010,1,5027,0,2,3.9785160135269546e-4,0,FALSE,5025,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_HOUSING_UTIL_EXPENDITURE,2014,1,5214,0,0,0,0,FALSE,5214,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_HOUSING_UTIL_EXPENDITURE,2017,1,5302,0,0,0,0,FALSE,5302,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_HOUSING_UTIL_EXPENDITURE,2021,1,5409,0,0,0,0,FALSE,5409,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_LOAN_INTEREST_EXPENDITURE,2002,NA,13113,NA,NA,NA,NA,NA,NA,review_required,harmonized_label,NA
full_sample,EXP_LOAN_INTEREST_EXPENDITURE,2006,1,6013,0,206,0.03425910527191086,0,FALSE,5807,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_LOAN_INTEREST_EXPENDITURE,2010,1,5027,0,8,0.0015914064054107818,0,FALSE,5019,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_LOAN_INTEREST_EXPENDITURE,2014,1,5214,0,0,0,0,FALSE,5214,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_LOAN_INTEREST_EXPENDITURE,2017,1,5302,0,0,0,0,FALSE,5302,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_LOAN_INTEREST_EXPENDITURE,2021,1,5409,0,0,0,0,FALSE,5409,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_MEDICAL_EXPENDITURE,2002,1,13113,0,239,0.01822618775261191,0,FALSE,12874,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_MEDICAL_EXPENDITURE,2006,1,6013,0,731,0.12156993181440214,0,FALSE,5282,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_MEDICAL_EXPENDITURE,2010,1,5027,0,8,0.0015914064054107818,0,FALSE,5019,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_MEDICAL_EXPENDITURE,2014,1,5214,0,0,0,0,FALSE,5214,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_MEDICAL_EXPENDITURE,2017,1,5302,0,0,0,0,FALSE,5302,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_MEDICAL_EXPENDITURE,2021,1,5409,0,0,0,0,FALSE,5409,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_OTHER_EXPENDITURE,2002,NA,13113,NA,NA,NA,NA,NA,NA,review_required,harmonized_label,NA
full_sample,EXP_OTHER_EXPENDITURE,2006,1,6013,0,168,0.027939464493597205,0,FALSE,5845,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_OTHER_EXPENDITURE,2010,1,5027,0,7,0.0013924806047344342,0,FALSE,5020,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_OTHER_EXPENDITURE,2014,1,5214,0,0,0,0,FALSE,5214,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_OTHER_EXPENDITURE,2017,1,5302,0,0,0,0,FALSE,5302,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_OTHER_EXPENDITURE,2021,1,5409,0,0,0,0,FALSE,5409,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_TAX_INS_GIFT_EXPENDITURE,2002,NA,13113,NA,NA,NA,NA,NA,NA,review_required,harmonized_label,NA
full_sample,EXP_TAX_INS_GIFT_EXPENDITURE,2006,1,6013,0,1223,0.2033926492599368,0,FALSE,4790,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_TAX_INS_GIFT_EXPENDITURE,2010,1,5027,0,8,0.0015914064054107818,0,FALSE,5019,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_TAX_INS_GIFT_EXPENDITURE,2014,1,5214,0,0,0,0,FALSE,5214,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_TAX_INS_GIFT_EXPENDITURE,2017,1,5302,0,0,0,0,FALSE,5302,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_TAX_INS_GIFT_EXPENDITURE,2021,1,5409,0,0,0,0,FALSE,5409,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_TOTAL_COMMON5_EXPENDITURE,2002,1,13113,0,6818,0.5199420422481507,0,FALSE,6295,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_TOTAL_COMMON5_EXPENDITURE,2006,1,6013,0,1489,0.2476301347081324,0,FALSE,4524,NA,recoded_midpoint,evaluated_from_structural_eligibility
full_sample,EXP_TOTAL_COMMON5_EXPENDITURE,2010,1,5027,0,21,0.0041774418142033025,0,FALSE,5006,NA,recoded_midpoint,evaluated_from_structural_eligibility
