sample_definition,Survey Year,Variable,Present,Eligible N,Valid N,Response Missing N,Response Missing %,Structural Missing N,Structural Missing %,Structural Missing,structural_missing_status,coverage_basis
full_sample,2002,EXP_ALCOHOL_EXPENDITURE,1,13113,13004,109,0.00831236177838786,0,0,FALSE,evaluated_from_structural_eligibility,recoded_midpoint
full_sample,2002,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,1,13113,6442,56,0.004270571188896515,6615,0.5044612216884008,TRUE,evaluated_from_structural_eligibility,recoded_midpoint
full_sample,2002,EXP_FOOD_EXPENDITURE,1,13113,12915,198,0.015099519560741249,0,0,FALSE,evaluated_from_structural_eligibility,recoded_midpoint
full_sample,2002,EXP_MEDICAL_EXPENDITURE,1,13113,12874,239,0.01822618775261191,0,0,FALSE,evaluated_from_structural_eligibility,recoded_midpoint
full_sample,2002,EXP_TOTAL_COMMON5_EXPENDITURE,1,13113,6295,6818,0.5199420422481507,0,0,FALSE,evaluated_from_structural_eligibility,recoded_midpoint
full_sample,2002,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,1,13113,6265,6848,0.5222298482422024,0,0,FALSE,evaluated_from_structural_eligibility,recoded_midpoint
full_sample,2002,EXP_TOTAL_DERIVED_EXPENDITURE,1,13113,13104,9,6.863417982155113e-4,0,0,FALSE,evaluated_from_structural_eligibility,recoded_midpoint
full_sample,2002,EXP_TOTAL_REPORTED_EXPENDITURE,1,13113,13097,16,0.0012201631968275757,0,0,FALSE,evaluated_from_structural_eligibility,recoded_midpoint
full_sample,2002,EXP_TRANSPORT_COMM_EXPENDITURE,1,13113,12984,129,0.00983756577442233,0,0,FALSE,evaluated_from_structural_eligibility,recoded_midpoint
full_sample,2002,EXP_TRAVEL_EXPENDITURE,1,13113,6472,26,0.0019827651948448105,6615,0.5044612216884008,TRUE,evaluated_from_structural_eligibility,recoded_midpoint
full_sample,2002,INC_FAM_ANALYSIS_ELIGIBILITY_REASON,0,13113,0,13113,1,0,0,FALSE,evaluated_from_structural_eligibility,recoded_midpoint
full_sample,2002,INC_FAM_ANALYSIS_ELIGIBLE,0,13113,0,13113,1,0,0,FALSE,evaluated_from_structural_eligibility,recoded_midpoint
full_sample,2002,INC_FAM_GOV_INCOME,1,13113,13113,0,0,0,0,FALSE,evaluated_from_structural_eligibility,recoded_midpoint
full_sample,2002,INC_FAM_OTHER_INCOME,1,13113,13113,0,0,0,0,FALSE,evaluated_from_structural_eligibility,recoded_midpoint
full_sample,2002,INC_FAM_TOTAL_COMMON3_INCOME,1,13113,13113,0,0,0,0,FALSE,evaluated_from_structural_eligibility,recoded_midpoint
full_sample,2002,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,1,13113,13113,0,0,0,0,FALSE,evaluated_from_structural_eligibility,recoded_midpoint
full_sample,2002,INC_FAM_TOTAL_DERIVED_INCOME,1,13113,13113,0,0,0,0,FALSE,evaluated_from_structural_eligibility,recoded_midpoint
full_sample,2002,INC_FAM_TOTAL_REPORTED_INCOME,1,13113,13113,0,0,0,0,FALSE,evaluated_from_structural_eligibility,recoded_midpoint
full_sample,2002,INC_FAM_WORK_INCOME,1,13113,13113,0,0,0,0,FALSE,evaluated_from_structural_eligibility,recoded_midpoint
full_sample,2002,RENT,1,13113,2250,53,0.004041790589491345,10810,0.8243727598566308,TRUE,evaluated_from_structural_eligibility,recoded_midpoint
full_sample,2006,EXP_ALCOHOL_EXPENDITURE,1,6013,5662,351,0.05837352403126559,0,0,FALSE,evaluated_from_structural_eligibility,recoded_midpoint
full_sample,2006,EXP_CARE_EXPENDITURE,1,6013,5942,71,0.011807749875270248,0,0,FALSE,evaluated_from_structural_eligibility,recoded_midpoint
