sample_definition,Survey Year,Variable,Valid N,Mean,Median,SD,Min,Max,Missing N,Missing %
full_sample,2002,N_FAMILY,13113,4.501715854495539,4,2.2855257777225058,1,25,0,0
full_sample,2002,N_INDI,13113,4.0053382139861204,4,2.3596288384863597,0,20,0,0
full_sample,2002,N_INDI_16_54,0,NA,NA,NA,NA,NA,13113,1
full_sample,2002,N_INDI_55PLUS,0,NA,NA,NA,NA,NA,13113,1
full_sample,2002,N_INDI_55_64,0,NA,NA,NA,NA,NA,13113,1
full_sample,2002,N_INDI_65PLUS,0,NA,NA,NA,NA,NA,13113,1
full_sample,2002,N_INDI_7_15,0,NA,NA,NA,NA,NA,13113,1
full_sample,2002,N_INDI_UNDER6,0,NA,NA,NA,NA,NA,13113,1
full_sample,2006,N_FAMILY,6013,4.274239148511558,4,2.3781264970725555,1,22,0,0
full_sample,2006,N_INDI,6013,4.0011641443539,4,2.3846297526137716,1,21,0,0
full_sample,2006,N_INDI_16_54,6008,2.0813914780292944,2,1.55981667570322,0,10,5,8.315316813570597e-4
full_sample,2006,N_INDI_55PLUS,6007,0.7757616114533045,1,0.8938826110377234,0,7,6,9.978380176284716e-4
full_sample,2006,N_INDI_55_64,6007,0.36424171799567173,0,0.6458246129872812,0,6,6,9.978380176284716e-4
full_sample,2006,N_INDI_65PLUS,6009,0.4115493426526876,0,0.665794289968439,0,4,4,6.652253450856477e-4
full_sample,2006,N_INDI_7_15,6010,0.7043261231281198,0,1.059362016330574,0,9,3,4.989190088142358e-4
full_sample,2006,N_INDI_UNDER6,6010,0.4372712146422629,0,0.8719717345922384,0,10,3,4.989190088142358e-4
full_sample,2010,N_FAMILY,5027,3.487368211657052,3,1.9271422920315495,1,18,0,0
full_sample,2010,N_INDI,5027,2.8716928585637556,3,1.7970131458267353,1,18,0,0
full_sample,2010,N_INDI_16_54,5027,1.7085737020091505,1,1.3265224660942636,0,15,0,0
full_sample,2010,N_INDI_55PLUS,5027,0.4804058086333797,0,0.7036966758269603,0,5,0,0
full_sample,2010,N_INDI_55_64,5027,0.2605927988860155,0,0.5372372313138518,0,5,0,0
full_sample,2010,N_INDI_65PLUS,5027,0.21981300974736423,0,0.4890578711348728,0,3,0,0
full_sample,2010,N_INDI_7_15,5027,0.44758305152178235,0,0.842671425959212,0,6,0,0
full_sample,2010,N_INDI_UNDER6,5027,0.235130296399443,0,0.5907625545620118,0,4,0,0
full_sample,2014,N_FAMILY,5214,4.081511315688531,4,2.0000171537165956,1,19,0,0
full_sample,2014,N_INDI,5214,3.486574606827771,3,2.0127428417158915,0,19,0,0
full_sample,2014,N_INDI_16_54,5214,2.1079785193709246,2,1.494808978863404,0,10,0,0
full_sample,2014,N_INDI_55PLUS,5214,0.7031070195627158,0,0.8488727889123429,0,8,0,0
full_sample,2014,N_INDI_55_64,5214,0.3768699654775604,0,0.6410789805634521,0,7,0,0
full_sample,2014,N_INDI_65PLUS,5214,0.32623705408515535,0,0.5976600530713455,0,4,0,0
full_sample,2014,N_INDI_7_15,5214,0.4328730341388569,0,0.862724857824657,0,9,0,0
full_sample,2014,N_INDI_UNDER6,5214,0.24261603375527427,0,0.6131888137062474,0,6,0,0
full_sample,2017,N_FAMILY,5302,3.4911354205960015,3,1.9331929854005103,1,22,0,0
full_sample,2017,N_INDI,5302,2.9055073557148248,3,1.8138029112323035,1,16,0,0
full_sample,2017,N_INDI_16_54,5302,1.6180686533383628,1,1.359227133657095,0,9,0,0
full_sample,2017,N_INDI_55PLUS,5302,0.7267069030554508,1,0.8012203367481017,0,6,0,0
full_sample,2017,N_INDI_55_64,5302,0.4023010184835911,0,0.6316335465294699,0,6,0,0
full_sample,2017,N_INDI_65PLUS,5302,0.32440588457185965,0,0.5894792061565247,0,4,0,0
full_sample,2017,N_INDI_7_15,5302,0.33591097698981515,0,0.7533791760997809,0,12,0,0
full_sample,2017,N_INDI_UNDER6,5302,0.22482082233119577,0,0.6002598914878746,0,5,0,0
full_sample,2021,N_FAMILY,5409,3.5548160473285266,3,2.0472414801089123,1,21,0,0
full_sample,2021,N_INDI,5409,2.78166019596968,2,1.8905489741641324,1,20,0,0
full_sample,2021,N_INDI_16_54,5409,1.4165280088740988,1,1.268105736531816,0,10,0,0
full_sample,2021,N_INDI_55PLUS,5409,0.8064337215751525,1,0.8466275014431809,0,7,0,0
full_sample,2021,N_INDI_55_64,5409,0.395821778517286,0,0.6481005434229136,0,7,0,0
full_sample,2021,N_INDI_65PLUS,5409,0.4106119430578665,0,0.632723122126114,0,5,0,0
full_sample,2021,N_INDI_7_15,5409,0.34682935847661306,0,0.7577689491082324,0,7,0,0
full_sample,2021,N_INDI_UNDER6,5409,0.21186910704381587,0,0.5751893827767792,0,5,0,0
indigenous_analysis_sample,2002,N_FAMILY,13113,4.501715854495539,4,2.2855257777225058,1,25,0,0
indigenous_analysis_sample,2002,N_INDI,13113,4.0053382139861204,4,2.3596288384863597,0,20,0,0
indigenous_analysis_sample,2002,N_INDI_16_54,0,NA,NA,NA,NA,NA,13113,1
indigenous_analysis_sample,2002,N_INDI_55PLUS,0,NA,NA,NA,NA,NA,13113,1
indigenous_analysis_sample,2002,N_INDI_55_64,0,NA,NA,NA,NA,NA,13113,1
indigenous_analysis_sample,2002,N_INDI_65PLUS,0,NA,NA,NA,NA,NA,13113,1
indigenous_analysis_sample,2002,N_INDI_7_15,0,NA,NA,NA,NA,NA,13113,1
indigenous_analysis_sample,2002,N_INDI_UNDER6,0,NA,NA,NA,NA,NA,13113,1
indigenous_analysis_sample,2006,N_FAMILY,6013,4.274239148511558,4,2.3781264970725555,1,22,0,0
indigenous_analysis_sample,2006,N_INDI,6013,4.0011641443539,4,2.3846297526137716,1,21,0,0
indigenous_analysis_sample,2006,N_INDI_16_54,6008,2.0813914780292944,2,1.55981667570322,0,10,5,8.315316813570597e-4
indigenous_analysis_sample,2006,N_INDI_55PLUS,6007,0.7757616114533045,1,0.8938826110377234,0,7,6,9.978380176284716e-4
indigenous_analysis_sample,2006,N_INDI_55_64,6007,0.36424171799567173,0,0.6458246129872812,0,6,6,9.978380176284716e-4
indigenous_analysis_sample,2006,N_INDI_65PLUS,6009,0.4115493426526876,0,0.665794289968439,0,4,4,6.652253450856477e-4
indigenous_analysis_sample,2006,N_INDI_7_15,6010,0.7043261231281198,0,1.059362016330574,0,9,3,4.989190088142358e-4
indigenous_analysis_sample,2006,N_INDI_UNDER6,6010,0.4372712146422629,0,0.8719717345922384,0,10,3,4.989190088142358e-4
indigenous_analysis_sample,2010,N_FAMILY,5027,3.487368211657052,3,1.9271422920315495,1,18,0,0
indigenous_analysis_sample,2010,N_INDI,5027,2.8716928585637556,3,1.7970131458267353,1,18,0,0
indigenous_analysis_sample,2010,N_INDI_16_54,5027,1.7085737020091505,1,1.3265224660942636,0,15,0,0
indigenous_analysis_sample,2010,N_INDI_55PLUS,5027,0.4804058086333797,0,0.7036966758269603,0,5,0,0
indigenous_analysis_sample,2010,N_INDI_55_64,5027,0.2605927988860155,0,0.5372372313138518,0,5,0,0
indigenous_analysis_sample,2010,N_INDI_65PLUS,5027,0.21981300974736423,0,0.4890578711348728,0,3,0,0
indigenous_analysis_sample,2010,N_INDI_7_15,5027,0.44758305152178235,0,0.842671425959212,0,6,0,0
indigenous_analysis_sample,2010,N_INDI_UNDER6,5027,0.235130296399443,0,0.5907625545620118,0,4,0,0
indigenous_analysis_sample,2014,N_FAMILY,4571,4.0330343469700285,4,2.009823348846457,1,19,0,0
indigenous_analysis_sample,2014,N_INDI,4571,3.6512798074819512,3,2.011897871276709,1,19,0,0
indigenous_analysis_sample,2014,N_INDI_16_54,4571,2.185079851236053,2,1.510678434246277,0,10,0,0
indigenous_analysis_sample,2014,N_INDI_55PLUS,4571,0.7547582585867425,1,0.870132162284281,0,8,0,0
indigenous_analysis_sample,2014,N_INDI_55_64,4571,0.40253773791292935,0,0.6627524600084942,0,7,0,0
indigenous_analysis_sample,2014,N_INDI_65PLUS,4571,0.35222052067381315,0,0.6164990734756342,0,4,0,0
indigenous_analysis_sample,2014,N_INDI_7_15,4571,0.4508860205644279,0,0.8838106166159381,0,9,0,0
indigenous_analysis_sample,2014,N_INDI_UNDER6,4571,0.26055567709472766,0,0.6315342348934775,0,6,0,0
indigenous_analysis_sample,2017,N_FAMILY,4494,3.3782821539830885,3,1.9096507942157435,1,16,0,0
indigenous_analysis_sample,2017,N_INDI,4494,3.0700934579439254,3,1.8474494157052066,1,16,0,0
indigenous_analysis_sample,2017,N_INDI_16_54,4494,1.6795727636849132,1,1.3946086119186383,0,9,0,0
indigenous_analysis_sample,2017,N_INDI_55PLUS,4494,0.7928348909657321,1,0.8228499062900662,0,6,0,0
indigenous_analysis_sample,2017,N_INDI_55_64,4494,0.4319092122830441,0,0.6538189646868281,0,6,0,0
indigenous_analysis_sample,2017,N_INDI_65PLUS,4494,0.36092567868268804,0,0.61666495113462,0,4,0,0
indigenous_analysis_sample,2017,N_INDI_7_15,4494,0.35781041388518026,0,0.7821513322480634,0,12,0,0
indigenous_analysis_sample,2017,N_INDI_UNDER6,4494,0.2398753894080997,0,0.6204136114207686,0,5,0,0
indigenous_analysis_sample,2021,N_FAMILY,4392,3.3768214936247722,3,2.042330467633294,1,21,0,0
indigenous_analysis_sample,2021,N_INDI,4392,2.987021857923497,3,1.9649780530026213,1,20,0,0
indigenous_analysis_sample,2021,N_INDI_16_54,4392,1.47632058287796,1,1.3383893742848745,0,10,0,0
indigenous_analysis_sample,2021,N_INDI_55PLUS,4392,0.9150728597449909,1,0.8655088001802475,0,7,0,0
indigenous_analysis_sample,2021,N_INDI_55_64,4392,0.44581056466302366,0,0.6807873378041497,0,7,0,0
indigenous_analysis_sample,2021,N_INDI_65PLUS,4392,0.4692622950819672,0,0.6629489768432655,0,5,0,0
indigenous_analysis_sample,2021,N_INDI_7_15,4392,0.3731785063752277,0,0.7904232681603177,0,7,0,0
indigenous_analysis_sample,2021,N_INDI_UNDER6,4392,0.22244990892531877,0,0.5929185154566322,0,5,0,0
