sample_definition,Survey Year,City,County,Sample N
full_sample,2002,南投縣,仁愛鄉,337
full_sample,2002,南投縣,信義鄉,231
full_sample,2002,南投縣,南投市,52
full_sample,2002,南投縣,埔里鎮,55
full_sample,2002,南投縣,水里鄉草屯鎮,52
full_sample,2002,南投縣,魚池鄉,18
full_sample,2002,嘉義市,未知地區,52
full_sample,2002,嘉義縣,阿里山,105
full_sample,2002,基隆市,未知地區,52
full_sample,2002,宜蘭縣,五結冬山鄉,53
full_sample,2002,宜蘭縣,南澳鄉,138
full_sample,2002,宜蘭縣,大同鄉,126
full_sample,2002,宜蘭縣,宜蘭市,53
full_sample,2002,宜蘭縣,羅東鎮,51
full_sample,2002,宜蘭縣,蘇澳鎮,52
full_sample,2002,宜蘭縣,頭城礁溪員山鄉,44
full_sample,2002,屏東縣,三地門,181
full_sample,2002,屏東縣,來義鄉,190
full_sample,2002,屏東縣,內埔鄉,52
full_sample,2002,屏東縣,屏東市,65
full_sample,2002,屏東縣,恆春鎮,59
full_sample,2002,屏東縣,春日鄉,113
full_sample,2002,屏東縣,枋寮鄉,54
full_sample,2002,屏東縣,泰武鄉,91
full_sample,2002,屏東縣,滿州鄉,70
full_sample,2002,屏東縣,潮州鎮,52
full_sample,2002,屏東縣,牡丹鄉,155
full_sample,2002,屏東縣,獅子鄉,128
full_sample,2002,屏東縣,瑪家鄉,164
full_sample,2002,屏東縣,萬巒鄉,60
full_sample,2002,屏東縣,霧臺鄉,79
full_sample,2002,彰化縣,彰化市,52
full_sample,2002,新竹市,未知地區,53
full_sample,2002,新竹縣,五峰鄉,138
full_sample,2002,新竹縣,尖石鄉,194
full_sample,2002,新竹縣,新埔鎮芎林鄉橫山鄉,52
full_sample,2002,新竹縣,湖口鄉,49
full_sample,2002,新竹縣,竹北市新豐鄉,57
full_sample,2002,新竹縣,竹東鎮,52
full_sample,2002,新竹縣,關西鎮,26
full_sample,2002,桃園縣,中壢市,55
full_sample,2002,桃園縣,八德市,52
full_sample,2002,桃園縣,大園鄉,53
full_sample,2002,桃園縣,大溪鎮,57
full_sample,2002,桃園縣,平鎮市,52
full_sample,2002,桃園縣,復興鄉,265
full_sample,2002,桃園縣,桃園市,53
full_sample,2002,桃園縣,楊梅鎮,53
full_sample,2002,桃園縣,蘆竹鄉,52
full_sample,2002,桃園縣,觀音鄉,51
full_sample,2002,桃園縣,龍潭鄉,55
full_sample,2002,桃園縣,龜山鄉,52
full_sample,2002,臺中市,北區,46
full_sample,2002,臺中市,北屯區,46
full_sample,2002,臺中市,南區東區,53
full_sample,2002,臺中市,南屯區,55
full_sample,2002,臺中市,西屯區,52
full_sample,2002,臺中縣,后里鄉外埔鄉,52
full_sample,2002,臺中縣,和平鄉,146
full_sample,2002,臺中縣,大肚鄉,62
full_sample,2002,臺中縣,大里市,67
full_sample,2002,臺中縣,大雅鄉,59
full_sample,2002,臺中縣,太平市,52
full_sample,2002,臺中縣,東勢鎮,54
full_sample,2002,臺中縣,梧棲鎮,63
full_sample,2002,臺中縣,清水鎮沙鹿鎮,53
full_sample,2002,臺中縣,潭子鄉,51
full_sample,2002,臺中縣,烏日鄉霧峰鄉,40
full_sample,2002,臺中縣,神岡鄉,51
full_sample,2002,臺中縣,豐原市,52
full_sample,2002,臺中縣,龍井鄉,26
full_sample,2002,臺北市,未知地區,419
full_sample,2002,臺北縣,三峽鎮,52
full_sample,2002,臺北縣,三重市,52
full_sample,2002,臺北縣,中和市,55
full_sample,2002,臺北縣,五股鄉,50
full_sample,2002,臺北縣,八里鄉三芝鄉,52
full_sample,2002,臺北縣,土城市,53
full_sample,2002,臺北縣,新店市,52
full_sample,2002,臺北縣,新莊市,54
full_sample,2002,臺北縣,板橋市,52
full_sample,2002,臺北縣,林口鄉,52
full_sample,2002,臺北縣,樹林市,52
full_sample,2002,臺北縣,永和市,43
full_sample,2002,臺北縣,汐止市,52
full_sample,2002,臺北縣,泰山鄉,52
full_sample,2002,臺北縣,淡水鎮,52
full_sample,2002,臺北縣,烏來鄉,60
full_sample,2002,臺北縣,瑞芳鎮,52
full_sample,2002,臺北縣,蘆洲市,52
full_sample,2002,臺北縣,鶯歌鎮,53
full_sample,2002,臺南市,未知地區,53
full_sample,2002,臺南縣,永康市,59
full_sample,2002,臺東縣,卑南鄉,185
full_sample,2002,臺東縣,大武鄉,115
full_sample,2002,臺東縣,太麻里,174
full_sample,2002,臺東縣,延平鄉,84
full_sample,2002,臺東縣,成功鎮,272
full_sample,2002,臺東縣,東河鄉,162
full_sample,2002,臺東縣,池上鄉,67
full_sample,2002,臺東縣,海端鄉,97
full_sample,2002,臺東縣,臺東市,542
