ID,SOURCE_ID,SURVEY_TAG,DATA_Y
110::1329203,1329203,110,2021
110::1329349,1329349,110,2021
110::1329558,1329558,110,2021
110::1329674,1329674,110,2021
110::1330056,1330056,110,2021
110::1330277,1330277,110,2021
110::1330404,1330404,110,2021
110::1330422,1330422,110,2021
110::1330430,1330430,110,2021
110::1331330,1331330,110,2021
110::1331666,1331666,110,2021
110::1331918,1331918,110,2021
110::1332986,1332986,110,2021
110::1333152,1333152,110,2021
110::1333618,1333618,110,2021
110::1334313,1334313,110,2021
110::1334386,1334386,110,2021
110::1334454,1334454,110,2021
110::1334470,1334470,110,2021
110::1334678,1334678,110,2021
110::1335720,1335720,110,2021
110::1335949,1335949,110,2021
110::1336082,1336082,110,2021
110::1336115,1336115,110,2021
110::1336125,1336125,110,2021
110::1336138,1336138,110,2021
110::1336278,1336278,110,2021
110::1336444,1336444,110,2021
110::1336861,1336861,110,2021
110::1336894,1336894,110,2021
110::1336982,1336982,110,2021
110::1337074,1337074,110,2021
110::1337463,1337463,110,2021
110::1337876,1337876,110,2021
110::1337985,1337985,110,2021
110::1338096,1338096,110,2021
110::1338909,1338909,110,2021
110::1340346,1340346,110,2021
110::1340397,1340397,110,2021
110::1340724,1340724,110,2021
110::1340742,1340742,110,2021
110::1340836,1340836,110,2021
110::1341190,1341190,110,2021
110::1341596,1341596,110,2021
110::1342093,1342093,110,2021
110::1342633,1342633,110,2021
110::1342932,1342932,110,2021
110::1343425,1343425,110,2021
110::1343787,1343787,110,2021
110::1344570,1344570,110,2021
110::1344943,1344943,110,2021
110::1345735,1345735,110,2021
110::1345979,1345979,110,2021
110::1346209,1346209,110,2021
110::1346301,1346301,110,2021
110::1346338,1346338,110,2021
110::1347827,1347827,110,2021
110::1348132,1348132,110,2021
110::1349375,1349375,110,2021
110::1349584,1349584,110,2021
110::1350025,1350025,110,2021
110::1350232,1350232,110,2021
110::1350300,1350300,110,2021
110::1350538,1350538,110,2021
110::1350707,1350707,110,2021
110::1350836,1350836,110,2021
110::1350855,1350855,110,2021
110::1351204,1351204,110,2021
110::1351294,1351294,110,2021
110::1351524,1351524,110,2021
110::1351944,1351944,110,2021
110::1352152,1352152,110,2021
110::1352283,1352283,110,2021
110::1352536,1352536,110,2021
110::1353601,1353601,110,2021
110::1354054,1354054,110,2021
110::1354137,1354137,110,2021
110::1354442,1354442,110,2021
110::1354521,1354521,110,2021
110::1354672,1354672,110,2021
110::1354769,1354769,110,2021
110::1355148,1355148,110,2021
110::1355179,1355179,110,2021
110::1355320,1355320,110,2021
110::1355351,1355351,110,2021
110::1355541,1355541,110,2021
110::1355580,1355580,110,2021
110::1355724,1355724,110,2021
110::1356194,1356194,110,2021
110::1356243,1356243,110,2021
110::1357151,1357151,110,2021
110::1357720,1357720,110,2021
110::1357804,1357804,110,2021
110::1358221,1358221,110,2021
110::1358319,1358319,110,2021
110::1358402,1358402,110,2021
110::1358604,1358604,110,2021
110::1358812,1358812,110,2021
110::1359694,1359694,110,2021
110::1361158,1361158,110,2021
110::1362184,1362184,110,2021
110::1362185,1362185,110,2021
110::1362358,1362358,110,2021
110::1362479,1362479,110,2021
110::1362528,1362528,110,2021
110::1362766,1362766,110,2021
110::1363135,1363135,110,2021
110::1363403,1363403,110,2021
110::1363808,1363808,110,2021
110::1364010,1364010,110,2021
110::1364199,1364199,110,2021
110::1364318,1364318,110,2021
110::1365682,1365682,110,2021
110::1365763,1365763,110,2021
110::1366182,1366182,110,2021
110::1366211,1366211,110,2021
110::1366654,1366654,110,2021
110::1366859,1366859,110,2021
110::1366883,1366883,110,2021
110::1367057,1367057,110,2021
110::1367185,1367185,110,2021
110::1367389,1367389,110,2021
110::1367644,1367644,110,2021
110::1367687,1367687,110,2021
110::1367904,1367904,110,2021
110::1367979,1367979,110,2021
110::1368010,1368010,110,2021
110::1368126,1368126,110,2021
110::1368312,1368312,110,2021
110::1368357,1368357,110,2021
110::1368538,1368538,110,2021
110::1368732,1368732,110,2021
110::1369671,1369671,110,2021
110::1369786,1369786,110,2021
110::1369956,1369956,110,2021
110::1370264,1370264,110,2021
110::1370317,1370317,110,2021
110::1370338,1370338,110,2021
110::1370380,1370380,110,2021
110::1372529,1372529,110,2021
110::1372637,1372637,110,2021
110::1372706,1372706,110,2021
110::1373405,1373405,110,2021
110::1373678,1373678,110,2021
110::1374146,1374146,110,2021
110::1374528,1374528,110,2021
110::2329196,2329196,110,2021
110::2329432,2329432,110,2021
110::2329596,2329596,110,2021
110::2329715,2329715,110,2021
110::2330047,2330047,110,2021
110::2330140,2330140,110,2021
110::2330279,2330279,110,2021
110::2330325,2330325,110,2021
110::2330472,2330472,110,2021
110::2330486,2330486,110,2021
110::2330517,2330517,110,2021
110::2330669,2330669,110,2021
110::2330898,2330898,110,2021
110::2330991,2330991,110,2021
110::2331406,2331406,110,2021
110::2331854,2331854,110,2021
110::2331872,2331872,110,2021
110::2332213,2332213,110,2021
110::2333725,2333725,110,2021
110::2333922,2333922,110,2021
110::2334464,2334464,110,2021
110::2334629,2334629,110,2021
110::2334707,2334707,110,2021
110::2335235,2335235,110,2021
110::2335302,2335302,110,2021
110::2335468,2335468,110,2021
110::2335681,2335681,110,2021
110::2336688,2336688,110,2021
110::2337059,2337059,110,2021
110::2337147,2337147,110,2021
110::2337513,2337513,110,2021
110::2337561,2337561,110,2021
110::2337866,2337866,110,2021
110::2338044,2338044,110,2021
110::2339525,2339525,110,2021
110::2340109,2340109,110,2021
110::2340277,2340277,110,2021
110::2340483,2340483,110,2021
110::2341112,2341112,110,2021
110::2341258,2341258,110,2021
