data_year,survey_tag,integrated_var,dataset_var,value_source,frequency,example_values
2002,91_1,EXP_ALCOHOL,q23b,missing,67,
2002,91_2,EXP_ALCOHOL,q23b,missing,42,
2002,91_1,EXP_ALCOHOL,q23b,source_question,6548,1千~未滿3千元;1萬元以上;3千~未滿5千元;5千~未滿7千元;7千~未滿1萬元
2002,91_2,EXP_ALCOHOL,q23b,source_question,6456,1千~未滿3千元;1萬元以上;3千~未滿5千元;5千~未滿7千元;7千~未滿1萬元
2002,91_2,EXP_EDU_BOOKS_COMBINED,q23e,missing,56,
2002,91_2,EXP_EDU_BOOKS_COMBINED,q23e,source_question,6442,1千~未滿3千元;1萬元以上;3千~未滿5千元;5千~未滿7千元;7千~未滿1萬元
2002,91_1,EXP_FOOD,q23a,missing,139,
2002,91_2,EXP_FOOD,q23a,missing,59,
2002,91_1,EXP_FOOD,q23a,source_question,6476,1萬~未滿2萬元;2萬~未滿3萬元;3千~未滿5千元;3萬~未滿4萬元;4萬~未滿5萬元
2002,91_2,EXP_FOOD,q23a,source_question,6439,1萬~未滿2萬元;2萬~未滿3萬元;3千~未滿5千元;3萬~未滿4萬元;4萬~未滿5萬元
2002,91_1,EXP_MEDICAL,q23c,missing,162,
2002,91_2,EXP_MEDICAL,q23c,missing,77,
2002,91_1,EXP_MEDICAL,q23c,source_question,6453,1千~未滿3千元;1萬元以上;3千~未滿5千元;5千~未滿7千元;7千~未滿1萬元
2002,91_2,EXP_MEDICAL,q23c,source_question,6421,1千~未滿3千元;1萬元以上;3千~未滿5千元;5千~未滿7千元;7千~未滿1萬元
2002,91_1,EXP_TOTAL_SYN,q23,missing,9,
2002,91_2,EXP_TOTAL_SYN,q23,missing,7,
2002,91_1,EXP_TOTAL_SYN,q23,source_question,6606,2萬~未滿3萬元;3萬~未滿4萬元;4萬~未滿5萬元;5萬~未滿6萬元;6萬~未滿7萬元
2002,91_2,EXP_TOTAL_SYN,q23,source_question,6491,2萬~未滿3萬元;3萬~未滿4萬元;4萬~未滿5萬元;5萬~未滿6萬元;6萬~未滿7萬元
2002,91_1,EXP_TRANSPORT_COMM,q23d,missing,89,
2002,91_2,EXP_TRANSPORT_COMM,q23d,missing,40,
2002,91_1,EXP_TRANSPORT_COMM,q23d,source_question,6526,1千~未滿3千元;1萬元以上;3千~未滿5千元;5千~未滿7千元;7千~未滿1萬元
2002,91_2,EXP_TRANSPORT_COMM,q23d,source_question,6458,1千~未滿3千元;1萬元以上;3千~未滿5千元;5千~未滿7千元;7千~未滿1萬元
2002,91_2,EXP_TRAVEL,q23f,missing,26,
2002,91_2,EXP_TRAVEL,q23f,source_question,6472,1千~未滿3千元;1萬元以上;3千~未滿5千元;5千~未滿7千元;7千~未滿1萬元
2006,95,EXP_ALCOHOL,q125,source_question,6013,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,999元;20,000-29,999元"
2006,95,EXP_CARE,q1213,source_question,6013,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,999元;20,000-29,999元"
2006,95,EXP_CLEANING,q127,source_question,6013,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,999元;20,000-29,999元"
2006,95,EXP_CLOTHING,q1211,source_question,6013,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,999元;3,000-3,999元"
2006,95,EXP_EDU_BOOKS_COMBINED,q128,source_question,6010,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,999元;20,000-29,999元"
2006,95,EXP_EDU_BOOKS_COMBINED,q128,unlabelled_numeric_exact_amount,3,100000;34166;35000
2006,95,EXP_FOOD,q121,source_question,6013,"10,000-14,999元;15,000-19,999元;2,999元及以下;20,000-29,999元;3,000-4,999元"
2006,95,EXP_FURNITURE,q1212,source_question,6012,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,999元;20,000-29,999元"
2006,95,EXP_FURNITURE,q1212,unlabelled_numeric_exact_amount,1,33000
2006,95,EXP_HOUSING_UTIL,q122,source_question,6013,"10,000-14,999元;15,000-19,999元;2,999元及以下;20,000-29,999元;3,000-4,999元"
2006,95,EXP_LOAN_INTEREST,q1210,source_question,6009,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,999元;20,000-29,999元"
2006,95,EXP_LOAN_INTEREST,q1210,unlabelled_numeric_exact_amount,4,30000
2006,95,EXP_MEDICAL,q124,source_question,6013,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,999元;20,000-29,999元"
2006,95,EXP_OTHER,q1214,source_question,6013,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,999元;20,000-29,999元"
2006,95,EXP_TAX_INS_GIFT,q126,source_question,6013,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,999元;20,000-29,999元"
2006,95,EXP_TRANSPORT_COMM,q123,source_question,6013,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,999元;20,000-29,999元"
2006,95,EXP_TRAVEL,q129,source_question,6010,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,999元;20,000-29,999元"
2006,95,EXP_TRAVEL,q129,unlabelled_numeric_exact_amount,3,50000;60000
2010,99,EXP_ALCOHOL,j5,source_question,5027,1000 - 1999元;10000 - 14999元;15000 - 19999元;2000 - 2999元;20000 - 29999元
2010,99,EXP_CARE,j7_7_2,indicator_no_zero,5022,沒有這項支出
2010,99,EXP_CARE,j7_7_2,source_question,5,未回答
2010,99,EXP_CLEANING,j7_1_2,indicator_no_zero,5025,沒有這項支出
2010,99,EXP_CLEANING,j7_1_2,source_question,2,未回答
2010,99,EXP_CLOTHING,j7_5_2,indicator_no_zero,5024,沒有這項支出
2010,99,EXP_CLOTHING,j7_5_2,source_question,3,未回答
2010,99,EXP_EDU_BOOKS_COMBINED,j7_2_2,indicator_no_zero,5024,沒有這項支出
2010,99,EXP_EDU_BOOKS_COMBINED,j7_2_2,source_question,3,未回答
2010,99,EXP_FOOD,j1,source_question,5027,10000 - 14999元;15000 - 19999元;20000 - 29999元;2999 元及以下;3000 - 4999元
2010,99,EXP_FURNITURE,j7_6_2,indicator_no_zero,5019,沒有這項支出
2010,99,EXP_FURNITURE,j7_6_2,source_question,8,未回答
2010,99,EXP_HOUSING_UTIL,j2,source_question,5027,1000 - 1999元;10000 -14999元;15000 - 19999元;2000 - 2999元;20000 - 29999元
2010,99,EXP_LOAN_INTEREST,j7_4_2,indicator_no_zero,5019,沒有這項支出
2010,99,EXP_LOAN_INTEREST,j7_4_2,source_question,8,未回答
2010,99,EXP_MEDICAL,j4,source_question,5027,1000 - 1999元;10000 - 14999元;15000 - 19999元;2000 - 2999元;20000 - 29999元
2010,99,EXP_OTHER,j7_8_2,indicator_no_zero,5022,沒有這項支出
2010,99,EXP_OTHER,j7_8_2,source_question,5,未回答
2010,99,EXP_TAX_INS_GIFT,j6,source_question,5027,1000 - 1999元;10000 - 14999元;15000 - 19999元;2000 - 2999元;20000 - 29999元
2010,99,EXP_TRANSPORT_COMM,j3,source_question,5027,1000 - 1999元;10000 - 14999元;15000 - 19999元;2000 - 2999元;20000 - 29999元
2010,99,EXP_TRAVEL,j7_3_2,indicator_no_zero,5026,沒有這項支出
2010,99,EXP_TRAVEL,j7_3_2,source_question,1,未回答
2014,103,EXP_ALCOHOL,j5,source_question,5214,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,999元;20,000-29,999元"
2014,103,EXP_BOOKS,j7_3_2,indicator_no_zero,3288,沒有這項支出
2014,103,EXP_BOOKS,j7_3_2,source_question,1926,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,999元;20,000-29,999元"
2014,103,EXP_CARE,j7_9_2,indicator_no_zero,4395,沒有這項支出
2014,103,EXP_CARE,j7_9_2,open_amount,5,35000;36000;60000
2014,103,EXP_CARE,j7_9_2,source_question,814,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,999元;20,000-29,999元"
2014,103,EXP_CLEANING,j7_1_2,indicator_no_zero,4777,沒有這項支出
2014,103,EXP_CLEANING,j7_1_2,source_question,437,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,999元;20,000-29,999元"
2014,103,EXP_CLOTHING,j7_7_2,indicator_no_zero,823,沒有這項支出
2014,103,EXP_CLOTHING,j7_7_2,open_amount,6,35000;50000
2014,103,EXP_CLOTHING,j7_7_2,source_question,4385,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,999元;20,000-29,999元"
2014,103,EXP_DINING_LODGING,j7_6_2,indicator_no_zero,2221,沒有這項支出
2014,103,EXP_DINING_LODGING,j7_6_2,open_amount,16,100000;30000;33000;35000;36000
2014,103,EXP_DINING_LODGING,j7_6_2,source_question,2977,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,999元;20,000-29,999元"
2014,103,EXP_EDU_TUITION,j7_2_2,indicator_no_zero,3053,沒有這項支出
2014,103,EXP_EDU_TUITION,j7_2_2,open_amount,13,30000;35000;40000;50000;55000
2014,103,EXP_EDU_TUITION,j7_2_2,source_question,2148,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,999元;20,000-29,999元"
2014,103,EXP_FOOD,j1,source_question,5214,"10,000-11,999元;12,000-14,999元;15,000-19,999元;2,999元及以下;20,000-29,999元"
2014,103,EXP_FURNITURE,j7_8_2,indicator_no_zero,3171,沒有這項支出
2014,103,EXP_FURNITURE,j7_8_2,open_amount,11,100000;30000;3333;35000;40000
