data_year,integrated_var,harmonized_code,harmonized_label,frequency
2002,INC_FAM_GOV,1,"未滿2,000元",8383
2002,INC_FAM_GOV,2,"2,000元至未滿4,000元",2701
2002,INC_FAM_GOV,3,"4,000元至未滿6,000元",643
2002,INC_FAM_GOV,4,"6,000元至未滿1萬元",1115
2002,INC_FAM_GOV,9,"10,000-14,999 元",166
2002,INC_FAM_GOV,10,"15,000-19,999 元",61
2002,INC_FAM_GOV,11,"20,000-29,999 元",33
2002,INC_FAM_GOV,12,"30,000 元及以上，請記錄________元",11
2002,INC_FAM_INTEREST,NA,NA,13113
2002,INC_FAM_OTHER,NA,1萬~未滿2萬元,798
2002,INC_FAM_OTHER,NA,5千~未滿1萬元,838
2002,INC_FAM_OTHER,NA,5萬~未滿6萬元,357
2002,INC_FAM_OTHER,NA,6萬元以上,261
2002,INC_FAM_OTHER,NA,未滿5千元,915
2002,INC_FAM_OTHER,NA,無此收入,9944
2002,INC_FAM_RENT,NA,NA,13113
2002,INC_FAM_TOTAL,1,未滿2萬元,4101
2002,INC_FAM_TOTAL,2,2萬元至未滿4萬元,4499
2002,INC_FAM_TOTAL,3,4萬元至未滿6萬元,2538
2002,INC_FAM_TOTAL,4,6萬元至未滿8萬元,1036
2002,INC_FAM_TOTAL,5,8萬元至未滿10萬元,453
2002,INC_FAM_TOTAL,6,10萬元至未滿12萬元,249
2002,INC_FAM_TOTAL,7,12萬元至未滿15萬元,128
2002,INC_FAM_TOTAL,8,15萬元以上（請記錄金額）,109
2002,INC_FAM_TRANSFER,NA,NA,13113
2002,INC_FAM_WORK,1,未滿2萬元,4793
2002,INC_FAM_WORK,2,2萬元至未滿4萬元,4303
2002,INC_FAM_WORK,3,4萬元至未滿6萬元,2338
2002,INC_FAM_WORK,4,6萬元至未滿8萬元,894
2002,INC_FAM_WORK,5,8萬元至未滿10萬元,390
2002,INC_FAM_WORK,7,12萬元至未滿15萬元,102
2002,INC_FAM_WORK,8,15萬元以上（請記錄金額）,84
2002,INC_FAM_WORK,11,"100,000-129,999元",209
2002,INC_PERS_GOV,NA,NA,13113
2002,INC_PERS_INTEREST,NA,NA,13113
2002,INC_PERS_OTHER,NA,NA,13113
2002,INC_PERS_RENT,NA,NA,13113
2002,INC_PERS_TRANSFER,NA,NA,13113
2002,INC_PERS_WORK,NA,NA,13113
2006,INC_FAM_GOV,1,999 元及以下,51
2006,INC_FAM_GOV,2,"1,000-1,999 元",52
2006,INC_FAM_GOV,3,"2,000-3,999 元",1022
2006,INC_FAM_GOV,4,"4,000-5,999元",425
2006,INC_FAM_GOV,7,"6,000-7,999 元",359
2006,INC_FAM_GOV,8,"8,000-9,999 元",112
2006,INC_FAM_GOV,9,"10,000-14,999 元",166
2006,INC_FAM_GOV,10,"15,000-19,999 元",34
2006,INC_FAM_GOV,11,"20,000-29,999 元",22
2006,INC_FAM_GOV,12,"30,000 元及以上，請記錄________元",8
2006,INC_FAM_GOV,13,沒有這項收入,3555
2006,INC_FAM_GOV,NA,NA,207
2006,INC_FAM_INTEREST,1,"4,999元及以下",105
2006,INC_FAM_INTEREST,2,"5,000-9,999元",80
2006,INC_FAM_INTEREST,9,"10,000-14,999 元",30
2006,INC_FAM_INTEREST,10,"15,000-19,999 元",19
2006,INC_FAM_INTEREST,11,"20,000-29,999 元",16
2006,INC_FAM_INTEREST,12,"30,000 元及以上，請記錄________元",14
2006,INC_FAM_INTEREST,13,沒有這項收入,5588
2006,INC_FAM_INTEREST,NA,NA,161
2006,INC_FAM_OTHER,NA,"10,000-14,999元",96
2006,INC_FAM_OTHER,NA,"15,000-19,999元",84
2006,INC_FAM_OTHER,NA,"20,000-24,999元",34
2006,INC_FAM_OTHER,NA,"25,000-29,999元",15
2006,INC_FAM_OTHER,NA,"30,000-39,999元",6
2006,INC_FAM_OTHER,NA,"4,999元及以下",353
2006,INC_FAM_OTHER,NA,"40,000-49,999元",2
2006,INC_FAM_OTHER,NA,"5,000-9,999元",173
2006,INC_FAM_OTHER,NA,"50,000-59,999元",2
2006,INC_FAM_OTHER,NA,不知道/拒答,105
2006,INC_FAM_OTHER,NA,沒有這項收入,5143
2006,INC_FAM_RENT,1,"4,999 元及以下",62
2006,INC_FAM_RENT,2,"5,000-9,999 元",41
2006,INC_FAM_RENT,3,"10,000-14,999 元",21
2006,INC_FAM_RENT,4,"15,000-19,999 元",17
2006,INC_FAM_RENT,5,"20,000-24,999 元",7
2006,INC_FAM_RENT,6,"25,000-29,999 元",9
2006,INC_FAM_RENT,12,"80,000 元及以上，請記錄_________________元",1
2006,INC_FAM_RENT,13,沒有這項收入,5771
2006,INC_FAM_RENT,NA,NA,84
2006,INC_FAM_TOTAL,NA,NA,6013
2006,INC_FAM_TRANSFER,NA,NA,6013
2006,INC_FAM_WORK,1,"9,999 元及以下",618
2006,INC_FAM_WORK,2,"10,000-19,999 元",763
2006,INC_FAM_WORK,3,"20,000-29,999 元",736
2006,INC_FAM_WORK,4,"30,000-39,999 元",676
2006,INC_FAM_WORK,5,"40,000-49,999 元",345
2006,INC_FAM_WORK,6,"50,000-59,999 元",445
2006,INC_FAM_WORK,7,"60,000-69,999 元",286
2006,INC_FAM_WORK,8,"70,000-79,999 元",197
2006,INC_FAM_WORK,9,"80,000-89,999 元",124
2006,INC_FAM_WORK,10,"90,000-99,999 元",100
2006,INC_FAM_WORK,11,"100,000-129,999元",132
2006,INC_FAM_WORK,12,"130,000-159,999元",52
2006,INC_FAM_WORK,14,沒有這項收入,613
2006,INC_FAM_WORK,90,"140,000元及以上，請記錄 元",69
2006,INC_FAM_WORK,NA,1,2
2006,INC_FAM_WORK,NA,3,25
2006,INC_FAM_WORK,NA,4,9
2006,INC_FAM_WORK,NA,NA,821
2006,INC_PERS_GOV,1,999 元及以下,26
2006,INC_PERS_GOV,2,"1,000-1,999 元",36
2006,INC_PERS_GOV,3,"2,000-3,999 元",960
2006,INC_PERS_GOV,4,"4,000-5,999元",352
2006,INC_PERS_GOV,7,"6,000-7,999 元",85
2006,INC_PERS_GOV,8,"8,000-9,999 元",26
2006,INC_PERS_GOV,9,"10,000-14,999 元",46
2006,INC_PERS_GOV,10,"15,000-19,999 元",14
2006,INC_PERS_GOV,11,"20,000-29,999 元",11
2006,INC_PERS_GOV,12,"30,000 元及以上，請記錄________元",1
2006,INC_PERS_GOV,13,沒有這項收入,4383
2006,INC_PERS_GOV,NA,NA,73
2006,INC_PERS_INTEREST,1,"4,999元及以下",94
2006,INC_PERS_INTEREST,2,"5,000-9,999元",42
2006,INC_PERS_INTEREST,9,"10,000-14,999 元",55
2006,INC_PERS_INTEREST,10,"15,000-19,999 元",6
2006,INC_PERS_INTEREST,11,"20,000-29,999 元",13
2006,INC_PERS_INTEREST,12,"30,000 元及以上，請記錄________元",13
2006,INC_PERS_INTEREST,13,沒有這項收入,5734
2006,INC_PERS_INTEREST,NA,NA,56
2006,INC_PERS_OTHER,1,"4,999 元及以下",326
2006,INC_PERS_OTHER,2,"5,000-9,999 元",159
2006,INC_PERS_OTHER,3,"10,000-14,999 元",86
2006,INC_PERS_OTHER,4,"15,000-19,999 元",33
2006,INC_PERS_OTHER,5,"20,000-24,999 元",29
2006,INC_PERS_OTHER,6,"25,000-29,999 元",12
2006,INC_PERS_OTHER,7,"30,000-39,999 元",12
2006,INC_PERS_OTHER,8,"40,000-49,999 元",10
2006,INC_PERS_OTHER,9,"50,000-59,999 元",5
2006,INC_PERS_OTHER,10,"60,000-69,999 元",1
2006,INC_PERS_OTHER,11,"70,000-79,999 元",1
2006,INC_PERS_OTHER,12,"80,000 元及以上，請記錄_________________元",5
2006,INC_PERS_OTHER,13,沒有這項收入,5284
2006,INC_PERS_OTHER,NA,NA,50
2006,INC_PERS_RENT,1,"4,999 元及以下",48
2006,INC_PERS_RENT,2,"5,000-9,999 元",32
2006,INC_PERS_RENT,3,"10,000-14,999 元",13
2006,INC_PERS_RENT,4,"15,000-19,999 元",8
2006,INC_PERS_RENT,5,"20,000-24,999 元",6
2006,INC_PERS_RENT,6,"25,000-29,999 元",3
2006,INC_PERS_RENT,7,"30,000-39,999 元",2
2006,INC_PERS_RENT,8,"40,000-49,999 元",3
2006,INC_PERS_RENT,9,"50,000-59,999 元",1
2006,INC_PERS_RENT,10,"60,000-69,999 元",1
2006,INC_PERS_RENT,13,沒有這項收入,5855
2006,INC_PERS_RENT,NA,NA,41
2006,INC_PERS_TRANSFER,NA,NA,6013
2006,INC_PERS_WORK,1,"9,999 元及以下",830
2006,INC_PERS_WORK,2,"10,000-19,999元",1048
2006,INC_PERS_WORK,3,"20,000-29,999 元",881
2006,INC_PERS_WORK,6,"30,000-39,999 元",575
2006,INC_PERS_WORK,7,"40,000-49,999 元",210
2006,INC_PERS_WORK,8,"50,000-59,999 元",196
2006,INC_PERS_WORK,9,"60,000-69,999 元",110
2006,INC_PERS_WORK,10,"70,000-79,999 元",44
2006,INC_PERS_WORK,11,"80,000-89,999 元",22
2006,INC_PERS_WORK,12,"90,000-99,999 元",9
2006,INC_PERS_WORK,13,"100,000-129,999元",16
2006,INC_PERS_WORK,14,"130,000-159,999元",2
2006,INC_PERS_WORK,16,沒有這項收入,1808
2006,INC_PERS_WORK,90,"140,000元及以上，請記錄 元",6
2006,INC_PERS_WORK,NA,150000,1
2006,INC_PERS_WORK,NA,NA,255
2010,INC_FAM_GOV,1,999 元及以下,35
2010,INC_FAM_GOV,2,"1,000-1,999 元",57
2010,INC_FAM_GOV,3,"2,000-2,999 元",51
2010,INC_FAM_GOV,4,"3,000-3,999 元",718
2010,INC_FAM_GOV,5,"4,000-4,999 元",105
2010,INC_FAM_GOV,6,"5,000-5,999 元",41
2010,INC_FAM_GOV,7,"6,000-7,999 元",351
2010,INC_FAM_GOV,8,"8,000-9,999 元",52
2010,INC_FAM_GOV,9,"10,000-14,999 元",99
2010,INC_FAM_GOV,10,"15,000-19,999 元",36
2010,INC_FAM_GOV,11,"20,000-29,999 元",22
2010,INC_FAM_GOV,12,"30,000 元及以上，請記錄________元",6
2010,INC_FAM_GOV,13,沒有這項收入,3454
2010,INC_FAM_INTEREST,1,999 元及以下,22
2010,INC_FAM_INTEREST,2,"1,000-1,999 元",9
2010,INC_FAM_INTEREST,3,"2,000-2,999 元",9
2010,INC_FAM_INTEREST,4,"3,000-3,999 元",22
2010,INC_FAM_INTEREST,5,"4,000-4,999 元",1
2010,INC_FAM_INTEREST,6,"5,000-5,999 元",33
2010,INC_FAM_INTEREST,7,"6,000-7,999 元",2
2010,INC_FAM_INTEREST,8,"8,000-9,999 元",5
2010,INC_FAM_INTEREST,9,"10,000-14,999 元",29
2010,INC_FAM_INTEREST,10,"15,000-19,999 元",3
2010,INC_FAM_INTEREST,11,"20,000-29,999 元",3
2010,INC_FAM_INTEREST,12,"30,000 元及以上，請記錄________元",6
2010,INC_FAM_INTEREST,13,沒有這項收入,4873
2010,INC_FAM_INTEREST,NA,NA,10
2010,INC_FAM_OTHER,NA,NA,5027
2010,INC_FAM_RENT,1,"4,999 元及以下",17
2010,INC_FAM_RENT,2,"5,000-9,999 元",15
2010,INC_FAM_RENT,3,"10,000-14,999 元",4
2010,INC_FAM_RENT,4,"15,000-19,999 元",3
2010,INC_FAM_RENT,5,"20,000-24,999 元",5
2010,INC_FAM_RENT,6,"25,000-29,999 元",2
2010,INC_FAM_RENT,13,沒有這項收入,4970
2010,INC_FAM_RENT,NA,NA,11
2010,INC_FAM_TOTAL,NA,NA,5027
2010,INC_FAM_TRANSFER,NA,NA,5027
2010,INC_FAM_WORK,1,"9,999 元及以下",279
2010,INC_FAM_WORK,2,"10,000-19,999 元",866
2010,INC_FAM_WORK,3,"20,000-29,999 元",970
2010,INC_FAM_WORK,4,"30,000-39,999 元",675
2010,INC_FAM_WORK,5,"40,000-49,999 元",464
2010,INC_FAM_WORK,6,"50,000-59,999 元",377
2010,INC_FAM_WORK,7,"60,000-69,999 元",278
2010,INC_FAM_WORK,8,"70,000-79,999 元",182
2010,INC_FAM_WORK,9,"80,000-89,999 元",105
2010,INC_FAM_WORK,10,"90,000-99,999 元",76
2010,INC_FAM_WORK,11,"100,000-129,999元",98
2010,INC_FAM_WORK,12,"130,000-159,999元",29
2010,INC_FAM_WORK,13,"160,000 元及以上，請記錄____________元",12
2010,INC_FAM_WORK,14,沒有這項收入,616
2010,INC_PERS_GOV,1,999 元及以下,39
2010,INC_PERS_GOV,2,"1,000-1,999 元",46
2010,INC_PERS_GOV,3,"2,000-2,999 元",39
2010,INC_PERS_GOV,4,"3,000-3,999 元",670
2010,INC_PERS_GOV,5,"4,000-4,999 元",84
2010,INC_PERS_GOV,6,"5,000-5,999 元",29
2010,INC_PERS_GOV,7,"6,000-7,999 元",263
