data_year,survey_tag,integrated_var,dataset_var,value_source,frequency,example_values
2002,91_1,INC_FAM_GOV,q22b,source_question,6615,1萬~未滿1萬5千元;1萬5千~未滿2萬元;2千~未滿4千元;2萬~未滿3萬元;3萬元以上
2002,91_2,INC_FAM_GOV,q22b,source_question,6498,1萬~未滿1萬5千元;1萬5千~未滿2萬元;2千~未滿4千元;2萬~未滿3萬元;3萬元以上
2002,91_1,INC_FAM_OTHER,q22c,source_question,6615,1萬~未滿2萬元;5千~未滿1萬元;5萬~未滿6萬元;6萬元以上;未滿5千元
2002,91_2,INC_FAM_OTHER,q22c,source_question,6498,1萬~未滿2萬元;5千~未滿1萬元;5萬~未滿6萬元;6萬元以上;未滿5千元
2002,91_1,INC_FAM_TOTAL,q21,source_question,6615,10萬~未滿12萬元;12萬~未滿15萬元;15萬元以上;2萬~未滿4萬元;4萬~未滿6萬元
2002,91_2,INC_FAM_TOTAL,q21,source_question,6498,10萬~未滿12萬元;12萬~未滿15萬元;15萬元以上;2萬~未滿4萬元;4萬~未滿6萬元
2002,91_1,INC_FAM_WORK,q22a,source_question,6615,10萬~未滿12萬元;12萬~未滿15萬元;15萬元以上;2萬~未滿4萬元;4萬~未滿6萬元
2002,91_2,INC_FAM_WORK,q22a,source_question,6498,10萬~未滿12萬元;12萬~未滿15萬元;15萬元以上;2萬~未滿4萬元;4萬~未滿6萬元
2006,95,INC_FAM_GOV,q112,source_question,6013,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-3,999元;20,000-29,999元"
2006,95,INC_FAM_INTEREST,q113,source_question,6013,"10,000-14,999元;15,000-19,999元;20,000-24,999元;25,000-29,999元;30,000-39,999元"
2006,95,INC_FAM_OTHER,q115,source_question,6013,"10,000-14,999元;15,000-19,999元;20,000-24,999元;25,000-29,999元;30,000-39,999元"
2006,95,INC_FAM_RENT,q114,source_question,6013,"10,000-14,999元;15,000-19,999元;20,000-24,999元;25,000-29,999元;4,999元及以下"
2006,95,INC_FAM_WORK,q111,source_question,5977,"10,000-19,999元;100,000-129,999元;130,000-139,999元;140,000元;20,000-29,999元"
2006,95,INC_FAM_WORK,q111,unlabelled_numeric_exact_amount,36,1;3;4
2006,95,INC_PERS_GOV,q102,source_question,6013,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-3,999元;20,000-29,999元"
2006,95,INC_PERS_INTEREST,q103,source_question,6013,"10,000-14,999元;15,000-19,999元;20,000-24,999元;25,000-29,999元;30,000-39,999元"
2006,95,INC_PERS_OTHER,q105,source_question,6013,"10,000-14,999元;15,000-19,999元;20,000-24,999元;25,000-29,999元;30,000-39,999元"
2006,95,INC_PERS_RENT,q104,source_question,6013,"10,000-14,999元;15,000-19,999元;20,000-24,999元;25,000-29,999元;30,000-39,999元"
2006,95,INC_PERS_WORK,q101,source_question,6012,"10,000-19,999元;100,000-129,999元;130,000-139,999元;140,000元及以上;20,000-29,999元"
2006,95,INC_PERS_WORK,q101,unlabelled_numeric_exact_amount,1,150000
2010,99,INC_FAM_GOV,i3,source_question,5027,1000 - 1999元;10000 - 14999元;15000 - 19999元;2000 - 2999元;20000 - 29999元
2010,99,INC_FAM_INTEREST,i4,source_question,5027,1000 - 1999元;10000 - 14999元;15000 - 19999元;2000 - 2999元;20000 - 29999元
2010,99,INC_FAM_RENT,i5,source_question,5027,10000 - 14999元;15000 - 19999元;20000 - 24999元;25000 - 29999元;4999 元及以下
2010,99,INC_FAM_WORK,i2,source_question,5027,10000 - 19999元;100000 - 129999元;130000 - 159999元;160000元及以上;20000 - 29999元
2010,99,INC_PERS_GOV,h2,source_question,5027,1000 - 1999元;10000 - 14999元;15000 - 19999元;2000 - 2999元;20000 - 29999元
2010,99,INC_PERS_INTEREST,h3,source_question,5027,1000 - 1999元;10000 - 14999元;15000 - 19999元;2000 - 2999元;20000 - 29999元
2010,99,INC_PERS_OTHER,h5,source_question,5027,10000 - 14999元;15000 - 19999元;20000 - 24999元;25000 - 29999元;30000 - 34999元
2010,99,INC_PERS_RENT,h4,source_question,5027,10000 - 14999元;15000 - 19999元;20000 - 24999元;4999 元及以下;5000 - 9999元
2010,99,INC_PERS_WORK,h1,source_question,5027,10000 - 19999元;100000 - 129999元;130000 - 159999元;160000元及以上;20000 - 29999元
2014,103,INC_FAM_GOV,i4,missing,1869,
2014,103,INC_FAM_GOV,i4,source_question,3345,"1,000-1,999元;10,000-14,999元;15,000-19,999元;2,000-2,999元;20,000-29,999元"
2014,103,INC_FAM_INTEREST,i6,missing,1869,
