variable,survey_year,raw_var
EXP_BOOKS_EXPENDITURE,2002,NA
EXP_BOOKS_EXPENDITURE,2006,NA
EXP_BOOKS_EXPENDITURE,2010,NA
EXP_CARE_EXPENDITURE,2002,NA
EXP_CLEANING_EXPENDITURE,2002,NA
EXP_CLOTHING_EXPENDITURE,2002,NA
EXP_DINING_LODGING_EXPENDITURE,2002,NA
EXP_DINING_LODGING_EXPENDITURE,2006,NA
EXP_DINING_LODGING_EXPENDITURE,2010,NA
EXP_EDU_BOOKS_COMBINED_EXPENDITURE,2014,NA
EXP_EDU_BOOKS_COMBINED_EXPENDITURE,2017,NA
EXP_EDU_BOOKS_COMBINED_EXPENDITURE,2021,NA
EXP_EDU_TUITION_EXPENDITURE,2002,NA
EXP_EDU_TUITION_EXPENDITURE,2006,NA
EXP_EDU_TUITION_EXPENDITURE,2010,NA
EXP_FURNITURE_EXPENDITURE,2002,NA
EXP_HOUSING_UTIL_EXPENDITURE,2002,NA
EXP_LOAN_INTEREST_EXPENDITURE,2002,NA
EXP_OTHER_EXPENDITURE,2002,NA
EXP_TAX_INS_GIFT_EXPENDITURE,2002,NA
EXP_TOTAL_SYN_EXPENDITURE,2002,23
EXP_TOTAL_SYN_EXPENDITURE,2006,q12-1;q12-2;q12-3;q12-4;q12-5;q12-6;q12-7;q12-8;q12-9;q12-10;q12-11;q12-12;q12-13;q12-14
EXP_TOTAL_SYN_EXPENDITURE,2010,j1;j2;j3;j4;j5;j6;j7-1;j7-2;j7-3;j7-4;j7-5;j7-6;j7-7;j7-8
EXP_TOTAL_SYN_EXPENDITURE,2014,j1;j2;j3;j4;j5;j6;j7-1;j7-2;j7-3;j7-4;j7-5;j7-6;j7-7;j7-8;j7-9;j7-10
EXP_TOTAL_SYN_EXPENDITURE,2017,m1;m2;m3;m4;m5;m6;m7-1;m7-2;m7-3;m7-4;m7-5;m7-6;m7-7;m7-8;m7-9;m7-10
EXP_TOTAL_SYN_EXPENDITURE,2021,h1;h2;h3;h4;h5;h6;h7-1;h7-2;h7-3;h7-4;h7-5;h7-6;h7-7;h7-8;h7-9;h7-10
INC_FAM_INTEREST_INCOME,2002,NA
INC_FAM_RENT_INCOME,2002,NA
INC_FAM_TOTAL_INCOME,2006,NA
INC_FAM_TOTAL_INCOME,2010,NA
INC_FAM_TOTAL_INCOME,2014,NA
INC_FAM_TOTAL_INCOME,2017,NA
INC_FAM_TOTAL_INCOME,2021,NA
INC_FAM_TRANSFER_INCOME,2002,NA
INC_FAM_TRANSFER_INCOME,2006,NA
INC_FAM_TRANSFER_INCOME,2010,NA
INC_PERS_GOV_INCOME,2002,NA
INC_PERS_INTEREST_INCOME,2002,NA
INC_PERS_OTHER_INCOME,2002,NA
INC_PERS_RENT_INCOME,2002,NA
INC_PERS_TRANSFER_INCOME,2002,NA
INC_PERS_TRANSFER_INCOME,2006,NA
INC_PERS_TRANSFER_INCOME,2010,NA
INC_PERS_WORK_INCOME,2002,NA
