sample_definition,Variable,Survey Year,Present,Eligible N,Structural Missing N,Response Missing N,Response Missing %,Structural Missing %,Structural Missing,Valid N,presence_status,coverage_basis,structural_missing_status
full_sample,EDU,2002,1,13113,0,0,0,0,FALSE,13113,present,harmonized_label,NA
full_sample,EDU,2006,1,6013,0,0,0,0,FALSE,6013,present,harmonized_label,NA
full_sample,EDU,2010,1,5027,0,2,3.9785160135269546e-4,0,FALSE,5025,present,harmonized_label,NA
full_sample,EDU,2014,1,5214,0,0,0,0,FALSE,5214,present,harmonized_label,NA
full_sample,EDU,2017,1,5302,0,0,0,0,FALSE,5302,present,harmonized_label,NA
full_sample,EDU,2021,1,5409,0,0,0,0,FALSE,5409,present,harmonized_label,NA
full_sample,EXP_ALCOHOL_EXPENDITURE,2002,1,13113,NA,109,0.00831236177838786,NA,NA,13004,NA,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_ALCOHOL_EXPENDITURE,2006,1,6013,NA,351,0.05837352403126559,NA,NA,5662,NA,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_ALCOHOL_EXPENDITURE,2010,1,5027,NA,7,0.0013924806047344342,NA,NA,5020,NA,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_ALCOHOL_EXPENDITURE,2014,1,5214,NA,0,0,NA,NA,5214,NA,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_ALCOHOL_EXPENDITURE,2017,1,5302,NA,0,0,NA,NA,5302,NA,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_ALCOHOL_EXPENDITURE,2021,1,5409,NA,0,0,NA,NA,5409,NA,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_BOOKS_EXPENDITURE,2002,NA,13113,NA,NA,NA,NA,NA,NA,review_required,harmonized_label,NA
full_sample,EXP_BOOKS_EXPENDITURE,2006,NA,6013,NA,NA,NA,NA,NA,NA,review_required,harmonized_label,NA
full_sample,EXP_BOOKS_EXPENDITURE,2010,NA,5027,NA,NA,NA,NA,NA,NA,review_required,harmonized_label,NA
full_sample,EXP_BOOKS_EXPENDITURE,2014,1,5214,NA,0,0,NA,NA,5214,NA,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_BOOKS_EXPENDITURE,2017,1,5302,NA,0,0,NA,NA,5302,NA,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_BOOKS_EXPENDITURE,2021,1,5409,NA,0,0,NA,NA,5409,NA,recoded_midpoint,not_evaluated_in_recoded_coverage
full_sample,EXP_CARE_EXPENDITURE,2002,NA,13113,NA,NA,NA,NA,NA,NA,review_required,harmonized_label,NA
