sample_definition,survey_year,variable,valid_n,missing_n,missing_pct,mean,median,sd,min,max
full_sample,2002,EXP_ALCOHOL_EXPENDITURE,13004,109,0.00831236177838786,1377.6530298369732,500,1933.5227006359503,0,11500
full_sample,2002,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,6442,6671,0.5087317928772973,1991.617510090034,500,2885.6767781890626,0,11500
full_sample,2002,EXP_FOOD_EXPENDITURE,12915,198,0.015099519560741249,16909.214092140923,15000,9364.091882399609,4000,55000
full_sample,2002,EXP_MEDICAL_EXPENDITURE,12874,239,0.01822618775261191,2557.402516700326,2000,2765.808983833599,0,11500
full_sample,2002,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,6265,6848,0.5222298482422024,26501.436552274543,24000,14565.065115490946,4500,107000
full_sample,2002,EXP_TOTAL_DERIVED_EXPENDITURE,13104,9,6.863417982155113e-4,25574.977106227107,23500,13777.612433396736,0,107000
full_sample,2002,EXP_TOTAL_REPORTED_EXPENDITURE,13097,16,0.0012201631968275757,27289.455600519203,25000,16855.384193627433,10000,85000
full_sample,2002,EXP_TRANSPORT_COMM_EXPENDITURE,12984,129,0.00983756577442233,3681.4155884165125,2000,2797.60168385448,0,11500
full_sample,2002,EXP_TRAVEL_EXPENDITURE,6472,6641,0.5064439868832457,816.3627935723115,0,1741.9039021043575,0,11500
full_sample,2002,INC_FAM_GOV_INCOME,13113,0,0,1892.2824677800656,0,3310.866413540173,0,35000
full_sample,2002,INC_FAM_OTHER_INCOME,13113,0,0,4357.698467169984,0,12852.849259456569,0,65000
full_sample,2002,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,13113,0,0,38877.14481811942,30000,29307.447614642606,0,233000
full_sample,2002,INC_FAM_TOTAL_DERIVED_INCOME,13113,0,0,38877.14481811942,30000,29307.447614642606,0,233000
full_sample,2002,INC_FAM_TOTAL_REPORTED_INCOME,13113,0,0,36515.290170060245,30000,28134.346029435885,10000,165000
full_sample,2002,INC_FAM_WORK_INCOME,13113,0,0,32627.163883169374,30000,28038.836327566965,0,165000
full_sample,2006,EXP_ALCOHOL_EXPENDITURE,5662,351,0.05837352403126559,1252.9586718474038,499.5,1683.7020384786554,0,24999.5
full_sample,2006,EXP_CARE_EXPENDITURE,5942,71,0.011807749875270248,410.6650959272972,0,1704.312786132404,0,34999.5
