sample_definition,Survey Year,Variable,Valid N,Mean,Median,SD,Min,Max,Missing N,Missing %
full_sample,2002,N_FAMILY,13113,4.501715854495539,4,2.2855257777225058,1,25,0,0
full_sample,2002,N_INDI,13113,4.0053382139861204,4,2.3596288384863597,0,20,0,0
full_sample,2006,N_FAMILY,6013,4.274239148511558,4,2.3781264970725555,1,22,0,0
full_sample,2006,N_INDI,6013,4.0011641443539,4,2.3846297526137716,1,21,0,0
full_sample,2010,N_FAMILY,5027,3.487368211657052,3,1.9271422920315495,1,18,0,0
full_sample,2010,N_INDI,5027,2.8716928585637556,3,1.7970131458267353,1,18,0,0
full_sample,2014,N_FAMILY,5214,4.081511315688531,4,2.0000171537165956,1,19,0,0
full_sample,2014,N_INDI,5214,3.486574606827771,3,2.0127428417158915,0,19,0,0
full_sample,2017,N_FAMILY,5302,3.4911354205960015,3,1.9331929854005103,1,22,0,0
full_sample,2017,N_INDI,5302,2.9055073557148248,3,1.8138029112323035,1,16,0,0
full_sample,2021,N_FAMILY,5409,3.5548160473285266,3,2.0472414801089123,1,21,0,0
full_sample,2021,N_INDI,5409,2.78166019596968,2,1.8905489741641324,1,20,0,0
indigenous_analysis_sample,2002,N_FAMILY,13113,4.501715854495539,4,2.2855257777225058,1,25,0,0
indigenous_analysis_sample,2002,N_INDI,13113,4.0053382139861204,4,2.3596288384863597,0,20,0,0
indigenous_analysis_sample,2006,N_FAMILY,6013,4.274239148511558,4,2.3781264970725555,1,22,0,0
indigenous_analysis_sample,2006,N_INDI,6013,4.0011641443539,4,2.3846297526137716,1,21,0,0
indigenous_analysis_sample,2010,N_FAMILY,5027,3.487368211657052,3,1.9271422920315495,1,18,0,0
indigenous_analysis_sample,2010,N_INDI,5027,2.8716928585637556,3,1.7970131458267353,1,18,0,0
indigenous_analysis_sample,2014,N_FAMILY,4571,4.0330343469700285,4,2.009823348846457,1,19,0,0
indigenous_analysis_sample,2014,N_INDI,4571,3.6512798074819512,3,2.011897871276709,1,19,0,0
indigenous_analysis_sample,2017,N_FAMILY,4494,3.3782821539830885,3,1.9096507942157435,1,16,0,0
indigenous_analysis_sample,2017,N_INDI,4494,3.0700934579439254,3,1.8474494157052066,1,16,0,0
indigenous_analysis_sample,2021,N_FAMILY,4392,3.3768214936247722,3,2.042330467633294,1,21,0,0
indigenous_analysis_sample,2021,N_INDI,4392,2.987021857923497,3,1.9649780530026213,1,20,0,0
