data_year,survey_tag,integrated_var,eligibility_rule,eligibility_variable,rule_detail
2002,91_1,EXP_EDU_BOOKS_COMBINED,not_in_questionnaire,,教育書報文具支出Q23e僅見於91_2分卷；91_1結構性不適用
2002,91_1,EXP_TRAVEL,not_in_questionnaire,,旅遊娛樂消遣支出Q23f僅見於91_2分卷；91_1結構性不適用
2014,103,INC_FAM_WORK,conditional_on_variable,i1,i1符合家庭收入續問題件時才詢問；離線重跑須核對i1標籤與分布
2014,103,INC_FAM_GOV,conditional_on_variable,i1,i1符合家庭收入續問題件時才詢問；離線重跑須核對i1標籤與分布
2014,103,INC_FAM_TRANSFER,conditional_on_variable,i1,i1符合家庭收入續問題件時才詢問；離線重跑須核對i1標籤與分布
2014,103,INC_FAM_INTEREST,conditional_on_variable,i1,i1符合家庭收入續問題件時才詢問；離線重跑須核對i1標籤與分布
2014,103,INC_FAM_RENT,conditional_on_variable,i1,i1符合家庭收入續問題件時才詢問；離線重跑須核對i1標籤與分布
2014,103,INC_FAM_OTHER,conditional_on_variable,i1,i1符合家庭收入續問題件時才詢問；離線重跑須核對i1標籤與分布
2002,91_1,N_INDI_UNDER6,not_in_questionnaire,,91年家戶年齡切點與五波F14定義不相容
2002,91_1,N_INDI_7_15,not_in_questionnaire,,91年家戶年齡切點與五波F14定義不相容
2002,91_1,N_INDI_16_54,not_in_questionnaire,,91年家戶年齡切點與五波F14定義不相容
2002,91_1,N_INDI_55_64,not_in_questionnaire,,91年家戶年齡切點與五波F14定義不相容
2002,91_1,N_INDI_65PLUS,not_in_questionnaire,,91年家戶年齡切點與五波F14定義不相容
2002,91_1,N_INDI_55PLUS,not_in_questionnaire,,91年家戶年齡切點與五波F14定義不相容
2002,91_1,HAS_INDI_55PLUS,not_in_questionnaire,,91年家戶年齡切點與五波F14定義不相容
2002,91_1,HAS_INDI_65PLUS,not_in_questionnaire,,91年家戶年齡切點與五波F14定義不相容
2002,91_2,N_INDI_UNDER6,not_in_questionnaire,,91年家戶年齡切點與五波F14定義不相容
2002,91_2,N_INDI_7_15,not_in_questionnaire,,91年家戶年齡切點與五波F14定義不相容
2002,91_2,N_INDI_16_54,not_in_questionnaire,,91年家戶年齡切點與五波F14定義不相容
2002,91_2,N_INDI_55_64,not_in_questionnaire,,91年家戶年齡切點與五波F14定義不相容
2002,91_2,N_INDI_65PLUS,not_in_questionnaire,,91年家戶年齡切點與五波F14定義不相容
2002,91_2,N_INDI_55PLUS,not_in_questionnaire,,91年家戶年齡切點與五波F14定義不相容
2002,91_2,HAS_INDI_55PLUS,not_in_questionnaire,,91年家戶年齡切點與五波F14定義不相容
2002,91_2,HAS_INDI_65PLUS,not_in_questionnaire,,91年家戶年齡切點與五波F14定義不相容
