category_id,category_name,category_description,concept,importance,category_notes,sequence
1,核心人口學,研究對象的基本特徵,性別,必須,用於描述樣本特徵和分層,1
1,核心人口學,研究對象的基本特徵,年齡,必須,用於描述樣本特徵和分層,2
1,核心人口學,研究對象的基本特徵,族別,必須,用於描述樣本特徵和分層,3
2,結果變數,文健站政策的主要評估指標,自評健康,必須,DID分析的依賴變數(Y),1
2,結果變數,文健站政策的主要評估指標,慢性病,必須,DID分析的依賴變數(Y),2
2,結果變數,文健站政策的主要評估指標,醫療利用,必須,DID分析的依賴變數(Y),3
2,結果變數,文健站政策的主要評估指標,健保使用,必須,DID分析的依賴變數(Y),4
3,控制變數,可能影響結果但非政策直接作用的變數,教育程度,推薦,DID模型中的控制變數,1
3,控制變數,可能影響結果但非政策直接作用的變數,婚姻狀況,推薦,DID模型中的控制變數,2
3,控制變數,可能影響結果但非政策直接作用的變數,職業,推薦,DID模型中的控制變數,3
3,控制變數,可能影響結果但非政策直接作用的變數,就業狀態,推薦,DID模型中的控制變數,4
3,控制變數,可能影響結果但非政策直接作用的變數,個人收入,推薦,DID模型中的控制變數,5
3,控制變數,可能影響結果但非政策直接作用的變數,總家庭收入,推薦,DID模型中的控制變數,6
3,控制變數,可能影響結果但非政策直接作用的變數,住宅所有權,推薦,DID模型中的控制變數,7
3,控制變數,可能影響結果但非政策直接作用的變數,房租,推薦,DID模型中的控制變數,8
3,控制變數,可能影響結果但非政策直接作用的變數,房屋面積,推薦,DID模型中的控制變數,9
4,政策暴露變數,政策實施和使用相關的變數,文健站,必須,識別處理組(treatment group)的依據,1
4,政策暴露變數,政策實施和使用相關的變數,政策認知,必須,識別處理組(treatment group)的依據,2
4,政策暴露變數,政策實施和使用相關的變數,醫療服務使用,必須,識別處理組(treatment group)的依據,3
5,其他生活條件,生活質量相關指標,食品支出,可選,輔助分析,1
5,其他生活條件,生活質量相關指標,交通支出,可選,輔助分析,2
5,其他生活條件,生活質量相關指標,儲蓄,可選,輔助分析,3
5,其他生活條件,生活質量相關指標,投資,可選,輔助分析,4
5,其他生活條件,生活質量相關指標,網際網路,可選,輔助分析,5
