concept_id,concept_name,comparability,years_available,91_1_var,91_1_label,91_2_var,91_2_label,95_var,95_label,99_var,99_label,103_var,103_label,106_var,106_label,110_var,110_label
1000,住宅所有權,Comparable,4,,,,,q3,Q3.請問您現在住的房子是屬於誰的?,g1,G1.請問您現在住的房子是屬於誰的？,g1,G1.請問您現在住的房子是屬於誰的?,h1,H1.您現在住的房子是屬於誰的?,,
1001,婚姻狀況,Comparable,6,q5,5.請問您的婚姻狀況是?,q5,5.請問您的婚姻狀況是?,c6,C6.請問您目前的婚姻狀況是?,f3,F3.請問您的配偶屬於以下那種身分？,f2,F2.請問您的配偶屬於以下那種身分?,g6,G6.經濟戶長的配偶屬於以下那種身分?,,
1002,家庭成員,Comparable,6,q7a,7.請問目前與您住在一起共同生活的(包括您自己)總共有幾個人?,q7a,7.請問目前與您住在一起共同生活的(包括您自己)總共有幾個人?,c5,C5.請問目前與您住在一起共同生活的(包括您自己)有幾個人?____人,f2,F2.請問目前與您住在一起共同生活的【包括自己且不限原住民】有幾個人？,f1,F1.請問目前與您住在一起共同生活的【包括自己且不限原住民】有幾個人?,f1,F1.目前與您「同戶籍」且「共同生活」的有幾個人(包括自己且不限原住民)?,,
1003,年齡,Comparable,6,q2,2.請問您的年齡,q2,2.請問您的年齡,s1,S1.請問您及您同住的家人中，包含您自己，有沒有 15歲 以上具有中華民國國籍身份的原住民,f2_1_1,F2_1_1.6歲以下的原住民有幾位？,f1_1_1,F1-1-1.6歲以下的原住民族有幾位?,f1_1_1,F1-1-1.與您同戶籍且共同生活的人(包括自己且不限原住民)，6歲以下的原住民有幾位?,,
1004,性別,Comparable,6,q1,1.性別,q1,1.性別,c10,C10.受訪者的性別,sex,性別,gender,戶長性別,g1,G1.經濟戶長性別?,,
1005,房屋面積,Comparable,6,q20,20.請問您有沒有房屋貸款?,q20,20.請問您有沒有房屋貸款?,q4,Q4.請問您房屋每個月的租金是多少?,g2,G2.若房子為租賃者（G1回答2、3者），請問您每個月的房屋租金是多少？,g2,G2.請問您每個月的房屋租金是多少?[回答完跳答G6],h2,H2.若房子為租賃/配住者(H1回答3、4、5者)，您每個月的房屋租金是多少?[回答完跳答I部分],,
1006,政府津貼補助,Comparable,6,q22b,22-2.請問全家每個月平均收入中，政府補助及津貼收入是多少?,q22b,22-2.請問全家每個月平均收入中，政府補助及津貼收入是多少?,q102,Q10-2.請問您個人每個月接受「政府津貼補助、各種保險」收入總共是多少?,h2,H2.請問您個人每個月接受「政府津貼補助、各種保險」收入總共是多少？,h2,H2.請問您個人每個月接受「政府津貼補助、各種社會保險、私人保險」收入總共是多少?,j2,J2.經濟戶長個人每個月接受「政府津貼補助、各種社會保險、私人保險受益」收入總共是多,,
1007,教育程度,Comparable,6,q3,3.請問您的教育程度?,q3,3.請問您的教育程度?,c3,C3.請問您的教育程度?,m4,M4.請問您的教育程度？,n4,N4.請問您的教育程度?,g3,G3.經濟戶長教育程度?,,
1008,族別,Comparable,6,q4,4.請問您所屬的族別?,q4,4.請問您所屬的族別?,c1,C1.首先請問您屬於哪一個族別?,f3_1r,F3-1.請問您的先生/太太所屬的族別？,f1_1,F1-1.其中原住民族有幾位?,g5,G5.經濟戶長所屬的族別?,,
1009,職業狀況,Comparable,6,q8,8.請問您的職業是什麼?(以9月15日~9月21日為準),q8,8.請問您的職業是什麼?(以12月15日~12月21日為準),q101,Q10-1.請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己,h1,H1.請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做,h1,H1.請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做,g7,G7.經濟戶長從事的行業?,,
1010,醫療利用,Comparable,6,q23c,23-3.請問每個月家庭平均支出中，醫療保健費用是多少?(包括看病的掛號費或藥費及個人買的,q23c,23-3.請問每個月家庭平均支出中，醫療保健費用是多少?(包括看病的掛號費或藥費及個人買的,q124,Q12-4.請問您全家每個月用在支付「看病就醫、繳保險費、購買醫療設備等」的費用是多少?【,j4,J4.請問您全家每個月用在支付「看病就醫、繳保險費、購買醫療設備等」的費用是多少？【,j4,J4.請問您全家每個月用在支付「看病就醫、繳醫療保險費、購買醫療用品/設備等」的費用是,m4,M4.您全家每個月用在支付「看病就醫、繳醫療保險費、購買醫療用品/設備等」的費用是多少,,
