year1,year2,year1_total,year2_total,common_variables,only_in_year1,only_in_year2,jaccard_similarity,consistency_rate
103,106,171,216,47,124,169,0.13823529411764707,21.8
103,106-,171,216,47,124,169,0.13823529411764707,21.8
103,91-1,171,51,1,170,50,0.004524886877828055,0.6
103,91-2,171,53,1,170,52,0.004484304932735426,0.6
103,95,171,150,1,170,149,0.003125,0.6
103,99,171,127,69,102,58,0.30131004366812225,40.4
106,106-,216,216,216,0,0,1.0,100.0
106,91-1,216,51,1,215,50,0.0037593984962406013,0.5
106,91-2,216,53,2,214,51,0.00749063670411985,0.9
106,95,216,150,1,215,149,0.0027397260273972603,0.5
106,99,216,127,36,180,91,0.11726384364820847,16.7
106-,91-1,216,51,1,215,50,0.0037593984962406013,0.5
106-,91-2,216,53,2,214,51,0.00749063670411985,0.9
106-,95,216,150,1,215,149,0.0027397260273972603,0.5
106-,99,216,127,36,180,91,0.11726384364820847,16.7
91-1,91-2,51,53,49,2,4,0.8909090909090909,92.5
91-1,95,51,150,15,36,135,0.08064516129032258,10.0
91-1,99,51,127,3,48,124,0.017142857142857144,2.4
91-2,95,53,150,15,38,135,0.0797872340425532,10.0
91-2,99,53,127,4,49,123,0.022727272727272728,3.1
95,99,150,127,3,147,124,0.010948905109489052,2.0
