year,source_version,source_pdf,question_id,question_text,option_code,option_text,available_in_91_1,available_in_91_2,integration_note
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,1,性別,1,男,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,1,性別,2,女,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,2,請問您的年齡,1,15至未滿20歲,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,2,請問您的年齡,2,20至未滿30歲,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,2,請問您的年齡,3,30至未滿40歲,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,2,請問您的年齡,4,40至未滿50歲,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,2,請問您的年齡,5,50至未滿60歲,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,2,請問您的年齡,6,60歲以上,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,3,請問您的教育程度?,1,不識字,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,3,請問您的教育程度?,2,自修,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,3,請問您的教育程度?,3,國小,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,3,請問您的教育程度?,4,國（初）中,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,3,請問您的教育程度?,5,高中,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,3,請問您的教育程度?,6,高職（含五專前三年）,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,3,請問您的教育程度?,7,專科,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,3,請問您的教育程度?,8,大學,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,3,請問您的教育程度?,9,研究所或以上,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,4,請問您所屬的族別?,1,阿美族,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,4,請問您所屬的族別?,10,邵族,1,1,shared_in_both_versions
91,91_2,ques91-1.pdf;ques91-2.pdf,4,請問您所屬的族別?,11,噶瑪蘭族,0,1,version_specific_to_91_2
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,4,請問您所屬的族別?,2,泰雅族,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,4,請問您所屬的族別?,3,排灣族,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,4,請問您所屬的族別?,4,魯凱族,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,4,請問您所屬的族別?,5,布農族,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,4,請問您所屬的族別?,6,賽夏族,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,4,請問您所屬的族別?,7,雅美族,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,4,請問您所屬的族別?,8,卑南族,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,4,請問您所屬的族別?,9,鄒族,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,5,請問您的婚姻狀況是?,1,未婚,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,5,請問您的婚姻狀況是?,2,有配偶（含與人同居）,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,5,請問您的婚姻狀況是?,3,離婚、分居,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,5,請問您的婚姻狀況是?,4,喪偶,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,6,請問您的配偶是不是原住民?,1,是,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,6,請問您的配偶是不是原住民?,2,不是,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,6-1,請問他(她)所屬的族別?,1,阿美族,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,6-1,請問他(她)所屬的族別?,10,邵族,1,1,shared_in_both_versions
91,91_2,ques91-1.pdf;ques91-2.pdf,6-1,請問他(她)所屬的族別?,11,噶瑪蘭族,0,1,version_specific_to_91_2
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,6-1,請問他(她)所屬的族別?,2,泰雅族,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,6-1,請問他(她)所屬的族別?,3,排灣族,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,6-1,請問他(她)所屬的族別?,4,魯凱族,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,6-1,請問他(她)所屬的族別?,5,布農族,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,6-1,請問他(她)所屬的族別?,6,賽夏族,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,6-1,請問他(她)所屬的族別?,7,雅美族,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,6-1,請問他(她)所屬的族別?,8,卑南族,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,6-1,請問他(她)所屬的族別?,9,鄒族,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,7,請問目前與您住在一起共同生活的(包括您自己)總共有幾個人?,,,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,8,請問您的職業是什麼?(以9月15日~9月21日為準),1,民意代表、行政主管、企業主管及經理人員,1,1,shared_in_both_versions
91,91_2,ques91-1.pdf;ques91-2.pdf,8,請問您的職業是什麼?(以12月15日~12月21日為準),10,無工作,0,1,version_specific_to_91_2
91,91_1,ques91-1.pdf;ques91-2.pdf,8,請問您的職業是什麼?(以9月15日~9月21日為準),10,無工作、退休,1,0,version_specific_to_91_1
91,91_2,ques91-1.pdf;ques91-2.pdf,8,請問您的職業是什麼?(以12月15日~12月21日為準),11,退休,0,1,version_specific_to_91_2
91,91_2,ques91-1.pdf;ques91-2.pdf,8,請問您的職業是什麼?(以12月15日~12月21日為準),12,家庭管理,0,1,version_specific_to_91_2
91,91_2,ques91-1.pdf;ques91-2.pdf,8,請問您的職業是什麼?(以12月15日~12月21日為準),13,學生,0,1,version_specific_to_91_2
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,8,請問您的職業是什麼?(以9月15日~9月21日為準),2,專業人員,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,8,請問您的職業是什麼?(以9月15日~9月21日為準),3,技術員及助理專業人員,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,8,請問您的職業是什麼?(以9月15日~9月21日為準),4,事務工作人員,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,8,請問您的職業是什麼?(以9月15日~9月21日為準),5,服務工作人員及售貨員,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,8,請問您的職業是什麼?(以9月15日~9月21日為準),6,農林漁牧工作人員,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,8,請問您的職業是什麼?(以9月15日~9月21日為準),7,技術工及有關工作人員,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,8,請問您的職業是什麼?(以9月15日~9月21日為準),8,機械設備操作工及組裝工,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,8,請問您的職業是什麼?(以9月15日~9月21日為準),9,非技術工及體力工,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,9,請問您的行業是什麼?(以9月15日~9月21日為準),1,農、林、漁、牧業,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,9,請問您的行業是什麼?(以9月15日~9月21日為準),10,不動產及租賃業,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,9,請問您的行業是什麼?(以9月15日~9月21日為準),11,專業、科學及技術服務業,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,9,請問您的行業是什麼?(以9月15日~9月21日為準),12,教育服務業,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,9,請問您的行業是什麼?(以9月15日~9月21日為準),13,醫療保健及社會福利服務業,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,9,請問您的行業是什麼?(以9月15日~9月21日為準),14,文化、運動及休閒服務業,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,9,請問您的行業是什麼?(以9月15日~9月21日為準),15,其他服務業,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,9,請問您的行業是什麼?(以9月15日~9月21日為準),16,公共行政業,1,1,shared_in_both_versions
