year,source_pdf,question_id,question_text,option_code,option_text
91_1,ques91-1.pdf,1,性別,1,男
91_1,ques91-1.pdf,1,性別,2,女
91_1,ques91-1.pdf,2,請問您的年齡（若不知道，問幾年幾月生）,1,15至未滿20歲
91_1,ques91-1.pdf,2,請問您的年齡（若不知道，問幾年幾月生）,2,20至未滿30歲
91_1,ques91-1.pdf,2,請問您的年齡（若不知道，問幾年幾月生）,3,30至未滿40歲
91_1,ques91-1.pdf,2,請問您的年齡（若不知道，問幾年幾月生）,4,40至未滿50歲
91_1,ques91-1.pdf,2,請問您的年齡（若不知道，問幾年幾月生）,5,50至未滿60歲
91_1,ques91-1.pdf,2,請問您的年齡（若不知道，問幾年幾月生）,6,60歲以上
91_1,ques91-1.pdf,3,請問您的教育程度？,1,不識字
91_1,ques91-1.pdf,3,請問您的教育程度？,2,自修
91_1,ques91-1.pdf,3,請問您的教育程度？,3,國小
91_1,ques91-1.pdf,3,請問您的教育程度？,4,國(初)中
91_1,ques91-1.pdf,3,請問您的教育程度？,5,高中
91_1,ques91-1.pdf,3,請問您的教育程度？,6,高職（含五專前三年）
91_1,ques91-1.pdf,3,請問您的教育程度？,7,專科
91_1,ques91-1.pdf,3,請問您的教育程度？,8,大學
91_1,ques91-1.pdf,3,請問您的教育程度？,9,研究所或以上
91_1,ques91-1.pdf,4,請問您所屬的族別？,1,阿美族
91_1,ques91-1.pdf,4,請問您所屬的族別？,2,泰雅族
91_1,ques91-1.pdf,4,請問您所屬的族別？,3,排灣族
91_1,ques91-1.pdf,4,請問您所屬的族別？,4,魯凱族
91_1,ques91-1.pdf,4,請問您所屬的族別？,5,布農族
91_1,ques91-1.pdf,4,請問您所屬的族別？,6,賽夏族
91_1,ques91-1.pdf,4,請問您所屬的族別？,7,雅美族
91_1,ques91-1.pdf,4,請問您所屬的族別？,8,卑南族
91_1,ques91-1.pdf,4,請問您所屬的族別？,9,鄒族
91_1,ques91-1.pdf,4,請問您所屬的族別？,10,邵族
91_1,ques91-1.pdf,5,請問您的婚姻狀況是？,1,未婚（跳答第7題）
91_1,ques91-1.pdf,5,請問您的婚姻狀況是？,2,有配偶(含與人同居)
91_1,ques91-1.pdf,5,請問您的婚姻狀況是？,3,離婚、分居
91_1,ques91-1.pdf,5,請問您的婚姻狀況是？,4,喪偶
91_1,ques91-1.pdf,6,請問您的配偶是不是原住民？,1,是（續答6-1題）
91_1,ques91-1.pdf,6,請問您的配偶是不是原住民？,2,不是（跳答第7題）
91_1,ques91-1.pdf,6-1,請問他(她)所屬的族別？,1,阿美族
91_1,ques91-1.pdf,6-1,請問他(她)所屬的族別？,2,泰雅族
91_1,ques91-1.pdf,6-1,請問他(她)所屬的族別？,3,排灣族
91_1,ques91-1.pdf,6-1,請問他(她)所屬的族別？,4,魯凱族
91_1,ques91-1.pdf,6-1,請問他(她)所屬的族別？,5,布農族
91_1,ques91-1.pdf,6-1,請問他(她)所屬的族別？,6,賽夏族
91_1,ques91-1.pdf,6-1,請問他(她)所屬的族別？,7,雅美族
91_1,ques91-1.pdf,6-1,請問他(她)所屬的族別？,8,卑南族
91_1,ques91-1.pdf,6-1,請問他(她)所屬的族別？,9,鄒族
91_1,ques91-1.pdf,6-1,請問他(她)所屬的族別？,10,邵族
91_1,ques91-1.pdf,7,請問目前與您住在一起共同生活的（包括您自己）有幾個人？,,
91_1,ques91-1.pdf,7,總共　　　人，其中原住民有幾位？　　　人,,
91_1,ques91-1.pdf,7,請問其中,,
91_1,ques91-1.pdf,7,(1)6歲以下的有幾位？,,
91_1,ques91-1.pdf,7,(2)7歲-12歲的有幾位？,,
91_1,ques91-1.pdf,7,(3)13歲-18歲的有幾位？,,
91_1,ques91-1.pdf,7,(4)60歲以上的有幾位？,,
91_1,ques91-1.pdf,8,請問您的職業是什麼？（以9月15日~9月21日為準）,1,民意代表、行政主管、企業主管及經理人員
91_1,ques91-1.pdf,8,請問您的職業是什麼？（以9月15日~9月21日為準）,2,專業人員
91_1,ques91-1.pdf,8,請問您的職業是什麼？（以9月15日~9月21日為準）,3,技術員及助理專業人員
91_1,ques91-1.pdf,8,請問您的職業是什麼？（以9月15日~9月21日為準）,4,事務工作人員
91_1,ques91-1.pdf,8,請問您的職業是什麼？（以9月15日~9月21日為準）,5,服務工作人員及售貨員
91_1,ques91-1.pdf,8,請問您的職業是什麼？（以9月15日~9月21日為準）,6,農林漁牧工作人員
91_1,ques91-1.pdf,8,請問您的職業是什麼？（以9月15日~9月21日為準）,7,技術工及有關工作人員
91_1,ques91-1.pdf,8,請問您的職業是什麼？（以9月15日~9月21日為準）,8,機械設備操作工及組裝工
91_1,ques91-1.pdf,8,請問您的職業是什麼？（以9月15日~9月21日為準）,9,非技術工及體力工
91_1,ques91-1.pdf,8,請問您的職業是什麼？（以9月15日~9月21日為準）,10,無工作、退休（跳答第11題）
91_1,ques91-1.pdf,9,請問您的行業是什麼？（以9月15日~9月21日為準）,1,農、林、漁、牧業
91_1,ques91-1.pdf,9,請問您的行業是什麼？（以9月15日~9月21日為準）,2,礦業及土石採取業
91_1,ques91-1.pdf,9,請問您的行業是什麼？（以9月15日~9月21日為準）,3,製造業
91_1,ques91-1.pdf,9,請問您的行業是什麼？（以9月15日~9月21日為準）,4,水電燃氣業
91_1,ques91-1.pdf,9,請問您的行業是什麼？（以9月15日~9月21日為準）,5,營造業
91_1,ques91-1.pdf,9,請問您的行業是什麼？（以9月15日~9月21日為準）,6,批發及零售業
91_1,ques91-1.pdf,9,請問您的行業是什麼？（以9月15日~9月21日為準）,7,住宿及餐飲業
91_1,ques91-1.pdf,9,請問您的行業是什麼？（以9月15日~9月21日為準）,8,運輸、倉儲及通信業
91_1,ques91-1.pdf,9,請問您的行業是什麼？（以9月15日~9月21日為準）,9,金融及保險業
91_1,ques91-1.pdf,9,請問您的行業是什麼？（以9月15日~9月21日為準）,10,不動產及租賃業
91_1,ques91-1.pdf,9,請問您的行業是什麼？（以9月15日~9月21日為準）,11,專業、科學及技術服務業
91_1,ques91-1.pdf,9,請問您的行業是什麼？（以9月15日~9月21日為準）,12,教育服務業
91_1,ques91-1.pdf,9,請問您的行業是什麼？（以9月15日~9月21日為準）,13,醫療保健及社會福利服務業
91_1,ques91-1.pdf,9,請問您的行業是什麼？（以9月15日~9月21日為準）,14,文化、運動及休閒服務業
91_1,ques91-1.pdf,9,請問您的行業是什麼？（以9月15日~9月21日為準）,15,其他服務業
91_1,ques91-1.pdf,9,請問您的行業是什麼？（以9月15日~9月21日為準）,16,公共行政業
91_1,ques91-1.pdf,10,請問您主要工作的身分是？,1,雇主
91_1,ques91-1.pdf,10,請問您主要工作的身分是？,2,自營作業者
91_1,ques91-1.pdf,10,請問您主要工作的身分是？,3,受政府僱用者
91_1,ques91-1.pdf,10,請問您主要工作的身分是？,4,受私人僱用者
91_1,ques91-1.pdf,10,請問您主要工作的身分是？,5,無酬家屬工作者
91_1,ques91-1.pdf,11,請問您家中有幾部自用汽車？,,
91_1,ques91-1.pdf,12,請問您家中有幾部自用機車？,,
91_1,ques91-1.pdf,13,請問您家中有幾部冷暖氣機？,,
91_1,ques91-1.pdf,14,請問您家中有幾部彩色電視機？,,
91_1,ques91-1.pdf,15,請問您家中有幾部家用電腦？,,
91_1,ques91-1.pdf,16,請問您住宅的建築結構是？,1,鋼筋混泥土造
91_1,ques91-1.pdf,16,請問您住宅的建築結構是？,2,磚造
91_1,ques91-1.pdf,16,請問您住宅的建築結構是？,3,木造
91_1,ques91-1.pdf,16,請問您住宅的建築結構是？,4,石造
91_1,ques91-1.pdf,16,請問您住宅的建築結構是？,5,土造
91_1,ques91-1.pdf,16,請問您住宅的建築結構是？,6,竹(草)造
91_1,ques91-1.pdf,16,請問您住宅的建築結構是？,7,其他
91_1,ques91-1.pdf,17,請問您住宅的面積有多少坪(建坪)？,,
91_1,ques91-1.pdf,18,請問您的住宅是？,1,自有（跳答20題）
91_1,ques91-1.pdf,18,請問您的住宅是？,2,租賃（續答19題）
91_1,ques91-1.pdf,18,請問您的住宅是？,3,配住（續答19題）
91_1,ques91-1.pdf,18,請問您的住宅是？,4,借用（跳答21題）
91_1,ques91-1.pdf,19,若房子為租賃者（18題答2、3者），請問你每個月的租金是多少？,1,未滿1千
91_1,ques91-1.pdf,19,若房子為租賃者（18題答2、3者），請問你每個月的租金是多少？,2,1千至未滿3千元
91_1,ques91-1.pdf,19,若房子為租賃者（18題答2、3者），請問你每個月的租金是多少？,3,3千至未滿5千元
91_1,ques91-1.pdf,19,若房子為租賃者（18題答2、3者），請問你每個月的租金是多少？,4,5千至未滿 7千元
91_1,ques91-1.pdf,19,若房子為租賃者（18題答2、3者），請問你每個月的租金是多少？,5,7千元至未滿1萬元
91_1,ques91-1.pdf,19,若房子為租賃者（18題答2、3者），請問你每個月的租金是多少？,6,1萬元至未滿2萬元
91_1,ques91-1.pdf,19,若房子為租賃者（18題答2、3者），請問你每個月的租金是多少？,6,2萬元以上（請記錄　　元）
91_1,ques91-1.pdf,20,請問您有沒有房屋貸款？,1,有
91_1,ques91-1.pdf,20,請問您有沒有房屋貸款？,2,沒有（跳答21題）
91_1,ques91-1.pdf,20-1,請問你每個月房屋貸款本金和利息總共是多少？,1,未滿5千元
91_1,ques91-1.pdf,20-1,請問你每個月房屋貸款本金和利息總共是多少？,2,5千至未滿1萬元
