year,source_pdf,question_id,question_text,option_code,option_text
99,ques99.pdf,F1,請問您們家是不是符合地方政府列冊登記有案的低收入戶？,,是低收入戶
99,ques99.pdf,F1,請問您們家是不是符合地方政府列冊登記有案的低收入戶？,,不是低收入戶
99,ques99.pdf,F2,請問目前與您住在一起共同生活的【包括自己且不限原住民】有幾個人？,,
99,ques99.pdf,F2-1,其中原住民有幾位？,,
99,ques99.pdf,F2-1-1,6 歲以下的原住民有幾位？,,
99,ques99.pdf,F2-1-2,7-15 歲的原住民有幾位？,,
99,ques99.pdf,F2-1-3,16-54 歲的原住民有幾位？,,
99,ques99.pdf,F2-1-4,55-64 歲的原住民有幾位？,,
99,ques99.pdf,F2-1-5,65 歲以上的原住民有幾位？,,
99,ques99.pdf,F3,請問您的配偶屬於以下那種身分？,,原住民 續答 F3-1
99,ques99.pdf,F3,請問您的配偶屬於以下那種身分？,,漢族 跳答 F4
99,ques99.pdf,F3,請問您的配偶屬於以下那種身分？,,外國人(國籍： ) 跳答 F4
99,ques99.pdf,F3,請問您的配偶屬於以下那種身分？,,無配偶 跳答 G 部分
99,ques99.pdf,F3,請問您的配偶屬於以下那種身分？,,其他 跳答 F4
99,ques99.pdf,F3-1,請問您的先生/太太所屬的族別？,,阿美族
99,ques99.pdf,F3-1,請問您的先生/太太所屬的族別？,,泰雅族
99,ques99.pdf,F3-1,請問您的先生/太太所屬的族別？,,排灣族
99,ques99.pdf,F3-1,請問您的先生/太太所屬的族別？,,魯凱族
99,ques99.pdf,F3-1,請問您的先生/太太所屬的族別？,,布農族
99,ques99.pdf,F3-1,請問您的先生/太太所屬的族別？,,賽夏族
99,ques99.pdf,F3-1,請問您的先生/太太所屬的族別？,,雅美族(達悟)
99,ques99.pdf,F3-1,請問您的先生/太太所屬的族別？,,卑南族
99,ques99.pdf,F3-1,請問您的先生/太太所屬的族別？,,鄒族
99,ques99.pdf,F3-1,請問您的先生/太太所屬的族別？,,邵族
99,ques99.pdf,F3-1,請問您的先生/太太所屬的族別？,,葛瑪蘭族
99,ques99.pdf,F3-1,請問您的先生/太太所屬的族別？,,太魯閣族
99,ques99.pdf,F3-1,請問您的先生/太太所屬的族別？,,撒奇萊雅族
99,ques99.pdf,F3-1,請問您的先生/太太所屬的族別？,,賽德克族
99,ques99.pdf,F3-1,請問您的先生/太太所屬的族別？,,其他
99,ques99.pdf,F4,請問您的先生/太太有沒有在工作？,,有工作【含在家工作(幫人看小孩或家庭手工）、打零工、幫家裡工作但未領薪水】跳答 G 部分
99,ques99.pdf,F4,請問您的先生/太太有沒有在工作？,,沒有 續答 F4-1
