variable,label,type,source
w,樣本權數,numeric,106
no,流水編,numeric,106
city,縣市,haven_labelled,106
county2,戶籍地完整鄉鎮市區,haven_labelled,106
level,層別,haven_labelled,106
f1,F1.目前與您「同戶籍」且「共同生活」的有幾個人(包括自己且不限原住民)?,haven_labelled,106
f1_1_1,F1-1-1.與您同戶籍且共同生活的人(包括自己且不限原住民)，6歲以下的原住民有幾位?,haven_labelled,106
f1_1_2,F1-1-2.與您同戶籍且共同生活的人(包括自己且不限原住民)，7-15歲的原住民有幾位?,haven_labelled,106
f1_1_3,F1-1-3.與您同戶籍且共同生活的人(包括自己且不限原住民)，16-54歲的原住民有幾位?,haven_labelled,106
f1_1_4,F1-1-4.與您同戶籍且共同生活的人(包括自己且不限原住民)，55-64歲的原住民有幾位?,haven_labelled,106
f1_1_5,F1-1-5.與您同戶籍且共同生活的人(包括自己且不限原住民)，65歲以上的原住民有幾位?,haven_labelled,106
f1_1_6,F1-6-5.與您同戶籍且共同生活的人(包括自己且不限原住民)，原住民總計有幾位?,haven_labelled,106
f1_1_7,F1-1-7.與您同戶籍且共同生活的人(包括自己且不限原住民)，6歲以下的非原住民有幾位?,haven_labelled,106
f1_1_8,F1-1-8.與您同戶籍且共同生活的人(包括自己且不限原住民)，7-15歲的非原住民有幾位?,haven_labelled,106
f1_1_9,F1-1-9.與您同戶籍且共同生活的人(包括自己且不限原住民)，16-54歲的非原住民有幾位?,haven_labelled,106
f1_1_10,F1-1-10.與您同戶籍且共同生活的人(包括自己且不限原住民)，55-64歲的非原住民有幾位?,haven_labelled,106
f1_1_11,F1-1-11.與您同戶籍且共同生活的人(包括自己且不限原住民)，65歲以上的非原住民有幾位?,haven_labelled,106
f1_1_12,F1-1-12.與您同戶籍且共同生活的人(包括自己且不限原住民)，非原住民總計有幾位?,haven_labelled,106
f2,F2.目前與您「同戶籍」，但「沒有住在一起」、「有經濟依賴關係」的有幾個人?,haven_labelled,106
f3,F3.目前與您「不同戶籍」，但「有住在一起」的有幾個人?,haven_labelled,106
f4_1,F4.您家庭的主要經濟來源是什麼(複選，超過總收入五分之一者皆算入主要經濟來源)?來源一,haven_labelled,106
f4_2,F4.您家庭的主要經濟來源是什麼(複選，超過總收入五分之一者皆算入主要經濟來源)?來源二,haven_labelled,106
f4_3,F4.您家庭的主要經濟來源是什麼(複選，超過總收入五分之一者皆算入主要經濟來源)?來源三,haven_labelled,106
f4_4,F4.您家庭的主要經濟來源是什麼(複選，超過總收入五分之一者皆算入主要經濟來源)?來源四,haven_labelled,106
f4o,F4.您家庭的主要經濟來源是什麼(複選，超過總收入五分之一者皆算入主要經濟來源)?其他，,character,106
g1,G1.經濟戶長性別?,haven_labelled,106
g2,G2.經濟戶長今年幾歲?,haven_labelled,106
g3,G3.經濟戶長教育程度?,haven_labelled,106
g4,G4.經濟戶長需不需要負責家計?,haven_labelled,106
g5,G5.經濟戶長所屬的族別?,haven_labelled,106
g6,G6.經濟戶長的配偶屬於以下那種身分?,haven_labelled,106
g6_1,G6-1.經濟戶長的先生/太太所屬的族別?,haven_labelled,106
g6_n,G6.經濟戶長的配偶屬於以下那種身分：新住民(國籍：__),character,106
g7,G7.經濟戶長從事的行業?,haven_labelled,106
g8,G8.經濟戶長從事的行業有沒有透過創意將原住民文化元素運用或展現在產品或服務中?,haven_labelled,106
g9,G9.經濟戶長從事的原住民文化創意產業性質為何?,haven_labelled,106
g9_o,G9.經濟戶長從事的原住民文化創意產業性質為何?其他(請說明),character,106
h1,H1.您現在住的房子是屬於誰的?,haven_labelled,106
h1o,H1.您現在住的房子是屬於誰的?其他，請說明__,character,106
h2,H2.若房子為租賃/配住者(H1回答3、4、5者)，您每個月的房屋租金是多少?[回答完跳答I部分],haven_labelled,106
h2o,"H2.若房子為租賃/配住者(H1回答3、4、5者)，您每個月的房屋租金是多少?(11)20,000元以上，請紀",character,106
h3,H3.您現在住的房子是什麼時候購買/搭建的?民國__年,numeric,106
h4,H4.您現在住的房子樓地板面積是多少?__坪,numeric,106
h5,H5.您現在住的房子如果出租的話，租金會是多少?__元,numeric,106
h6,H6.您們家目前有沒有房屋貸款?,haven_labelled,106
h6_1_1,H6-1.您們家目前有房屋貸款，是向哪些單位借房屋貸款(複選)?單位一,haven_labelled,106
h6_1_2,H6-1.您們家目前有房屋貸款，是向哪些單位借房屋貸款(複選)?單位二,haven_labelled,106
h6_1o,H6-1.您們家目前有房屋貸款，是向哪些單位借房屋貸款(複選)?其他(請說明),character,106
h6_2,H6-2.您家中目前的房屋貸款總共借(貸)了多少錢?,haven_labelled,106
h6_2o,"H6-2.您家中目前的房屋貸款總共借(貸)了多少錢?(13)1,000萬元及以上，請紀錄__萬元",numeric,106
h6_3,H6-3.您家中每個月房屋貸款要繳多少錢(過去一年平均每個月的繳款金額)?,haven_labelled,106
h6_3o,"H6-3.您家中每個月房屋貸款要繳多少錢?(11)70,000元及以上，請紀錄__元",numeric,106
i1,I1.經濟戶長有沒有信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性貸款呢?,haven_labelled,106
i1_1_1,I1.經濟戶長向哪些單位借信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性,haven_labelled,106
i1_1_2,I1.經濟戶長向哪些單位借信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性,haven_labelled,106
i1_1o,I1.經濟戶長向哪些單位借信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性,character,106
i1_2,I1-2.經濟戶長的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性貸款總共,haven_labelled,106
i1_2o,I1-2.經濟戶長的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性貸款總共,numeric,106
i1_3,I1-3.經濟戶長每個月要繳納的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等的,haven_labelled,106
i1_3o,I1-3.經濟戶長每個月要繳納的信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等的,numeric,106
i2,I2.經濟戶長有沒有創業貸款?,haven_labelled,106
i2_1_1,I2-1.經濟戶長向哪些單位申請或借創業貸款(複選)?單位一,haven_labelled,106
i2_1_2,I2-1.經濟戶長向哪些單位申請或借創業貸款(複選)?單位二,haven_labelled,106
i2_1o,I2-1.經濟戶長向哪些單位申請或借創業貸款(複選)?(5)其他(請說明),character,106
i2_2,I2-2.經濟戶長的創業貸款總共借了多少錢?,haven_labelled,106
i2_2o,"I2-2.經濟戶長的創業貸款總共借了多少錢?(13)1,000萬元及以上，請記錄__萬元",numeric,106
i2_3,I2-3.經濟戶長每個月要繳納的創業貸款總共是多少?【過去一年平均每個月的金額】,haven_labelled,106
i2_3o,"I2-3.經濟戶長每個月要繳納的創業貸款總共是多少?(14)70,000元以上，請記錄__元",numeric,106
