variable,label,type,source
id,id,integer,110
level,level,character,110
county1,county1,character,110
a1,a1,character,110
a2,a2,integer,110
a2_1_1,a2_1_1,integer,110
a2_1_2,a2_1_2,integer,110
a2_1_3,a2_1_3,integer,110
a2_1_4,a2_1_4,integer,110
a2_1_5,a2_1_5,integer,110
a2_1_6,a2_1_6,integer,110
a2_1_7,a2_1_7,integer,110
a2_1_8,a2_1_8,integer,110
a2_1_9,a2_1_9,integer,110
a2_1_10,a2_1_10,integer,110
a2_1_11,a2_1_11,integer,110
a2_1_12,a2_1_12,integer,110
a3,a3,integer,110
a4,a4,integer,110
a5_1,a5_1,character,110
a5_2,a5_2,character,110
a5_3,a5_3,character,110
a5_4,a5_4,character,110
b1,b1,character,110
b2,b2,character,110
b3,b3,character,110
b4,b4,character,110
b5r,b5r,character,110
b6,b6,character,110
b6o,b6o,character,110
b6_1r,b6_1r,character,110
b6_1o,b6_1o,character,110
b7,b7,character,110
b7_1,b7_1,character,110
b7_2,b7_2,character,110
b7o,b7o,character,110
b7_2o,b7_2o,character,110
b8,b8,character,110
b9,b9,character,110
b9o,b9o,character,110
c1,c1,character,110
c1o,c1o,character,110
c2,c2,character,110
c2o,c2o,numeric,110
c3,c3,character,110
c4,c4,numeric,110
c5,c5,numeric,110
c6,c6,character,110
c6_1_1,c6_1_1,character,110
c6_1_2,c6_1_2,character,110
c6_1o,c6_1o,character,110
c6_2,c6_2,character,110
c6_2o,c6_2o,numeric,110
c6_3,c6_3,character,110
c6_3o,c6_3o,numeric,110
d1,d1,character,110
d1_1_1,d1_1_1,character,110
d1_1_2,d1_1_2,character,110
d1_1o,d1_1o,character,110
d1_2,d1_2,character,110
d1_2o,d1_2o,numeric,110
d1_3,d1_3,character,110
d1_3o,d1_3o,numeric,110
d2,d2,character,110
d2_1_1,d2_1_1,character,110
d2_1_2,d2_1_2,character,110
d2_2,d2_2,character,110
d2_3,d2_3,character,110
d3,d3,character,110
d3_1,d3_1,character,110
d3_1o,d3_1o,numeric,110
d3_2,d3_2,character,110
d4,d4,character,110
d4o,d4o,character,110
d4_1_1,d4_1_1,character,110
d4_1o,d4_1o,character,110
d4_2,d4_2,character,110
d4_2o,d4_2o,numeric,110
d4_3,d4_3,character,110
d4_3o,d4_3o,numeric,110
e1,e1,character,110
e1o,e1o,numeric,110
e2,e2,character,110
e2o,e2o,numeric,110
e3,e3,character,110
e3o,e3o,numeric,110
e4,e4,character,110
e4o,e4o,numeric,110
e5,e5,character,110
e5o,e5o,numeric,110
e6,e6,character,110
f1_a,f1_a,character,110
f1_b,f1_b,character,110
f1_c,f1_c,character,110
f1_d,f1_d,character,110
f1o,f1o,character,110
f1_1,f1_1,character,110
f1_1o,f1_1o,numeric,110
f2,f2,character,110
f2o,f2o,numeric,110
f3_1,f3_1,character,110
f3_2,f3_2,character,110
f3_3,f3_3,character,110
f3_4,f3_4,character,110
f3_5,f3_5,character,110
f3_6,f3_6,character,110
f3o,f3o,character,110
g1_1,g1_1,numeric,110
g1,g1,character,110
g2,g2,character,110
g2_1,g2_1,numeric,110
g3,g3,character,110
g3o,g3o,numeric,110
g4,g4,character,110
g4o,g4o,numeric,110
g5,g5,character,110
g5o,g5o,numeric,110
g6,g6,character,110
g6o,g6o,numeric,110
g7,g7,character,110
g7o,g7o,numeric,110
g8,g8,character,110
g9,g9,character,110
g10,g10,numeric,110
g11,g11,numeric,110
h1,h1,character,110
h1o,h1o,numeric,110
h2,h2,character,110
h2o,h2o,numeric,110
h3,h3,character,110
h3o,h3o,numeric,110
