variable,91_1,91_2,95,99,103,106,110,years_present,count
level,Y,Y,Y,Y,Y,Y,Y,"91_1,91_2,95,99,103,106,110",7
id,Y,Y,Y,Y,N,N,Y,"91_1,91_2,95,99,110",5
g2,N,N,N,Y,Y,Y,Y,"99,103,106,110",4
g5,N,N,N,Y,Y,Y,Y,"99,103,106,110",4
h5,N,N,N,Y,Y,Y,Y,"99,103,106,110",4
h4,N,N,N,Y,Y,Y,Y,"99,103,106,110",4
k1_1,N,N,N,Y,Y,Y,Y,"99,103,106,110",4
g1,N,N,N,Y,Y,Y,Y,"99,103,106,110",4
g3,N,N,N,Y,Y,Y,Y,"99,103,106,110",4
h3,N,N,N,Y,Y,Y,Y,"99,103,106,110",4
h2,N,N,N,Y,Y,Y,Y,"99,103,106,110",4
i3,N,N,N,Y,Y,Y,Y,"99,103,106,110",4
g4,N,N,N,Y,Y,Y,Y,"99,103,106,110",4
h1,N,N,N,Y,Y,Y,Y,"99,103,106,110",4
i4,N,N,N,Y,Y,Y,Y,"99,103,106,110",4
l2,N,N,N,Y,Y,Y,Y,"99,103,106,110",4
i2,N,N,N,Y,Y,Y,Y,"99,103,106,110",4
j2,N,N,N,Y,Y,Y,Y,"99,103,106,110",4
k2,N,N,N,Y,Y,Y,Y,"99,103,106,110",4
county,Y,Y,Y,Y,N,N,N,"91_1,91_2,95,99",4
i1,N,N,N,Y,Y,Y,Y,"99,103,106,110",4
f2,N,N,N,Y,Y,Y,Y,"99,103,106,110",4
j6,N,N,N,Y,Y,Y,N,"99,103,106",3
q14,Y,Y,Y,N,N,N,N,"91_1,91_2,95",3
j3,N,N,N,Y,Y,Y,N,"99,103,106",3
q6,Y,Y,Y,N,N,N,N,"91_1,91_2,95",3
h6,N,N,N,N,Y,Y,Y,"103,106,110",3
q8,Y,Y,Y,N,N,N,N,"91_1,91_2,95",3
j5,N,N,N,Y,Y,Y,N,"99,103,106",3
j4,N,N,N,Y,Y,Y,N,"99,103,106",3
q3,Y,Y,Y,N,N,N,N,"91_1,91_2,95",3
f1,N,N,N,Y,Y,Y,N,"99,103,106",3
f3_1,N,N,N,Y,Y,N,Y,"99,103,110",3
q9,Y,Y,Y,N,N,N,N,"91_1,91_2,95",3
q2,Y,Y,Y,N,N,N,N,"91_1,91_2,95",3
j1,N,N,N,Y,Y,Y,N,"99,103,106",3
q4,Y,Y,Y,N,N,N,N,"91_1,91_2,95",3
q15,Y,Y,Y,N,N,N,N,"91_1,91_2,95",3
g8,N,N,N,N,Y,Y,Y,"103,106,110",3
q10,Y,Y,Y,N,N,N,N,"91_1,91_2,95",3
g6,N,N,N,N,Y,Y,Y,"103,106,110",3
m2,N,N,N,Y,Y,Y,N,"99,103,106",3
no,N,N,N,Y,Y,Y,N,"99,103,106",3
k1_2,N,N,N,Y,Y,N,Y,"99,103,110",3
g7,N,N,N,N,Y,Y,Y,"103,106,110",3
h2o,N,N,N,N,Y,Y,Y,"103,106,110",3
h1o,N,N,N,N,Y,Y,Y,"103,106,110",3
q16,Y,Y,Y,N,N,N,N,"91_1,91_2,95",3
q11,Y,Y,Y,N,N,N,N,"91_1,91_2,95",3
l2_1,N,N,N,Y,Y,N,Y,"99,103,110",3
w,N,Y,N,Y,N,Y,N,"91_2,99,106",3
q1,Y,Y,Y,N,N,N,N,"91_1,91_2,95",3
l2_3_8,N,N,N,Y,Y,N,N,"99,103",2
f1_1_5,N,N,N,N,Y,Y,N,"103,106",2
f1_1_4,N,N,N,N,Y,Y,N,"103,106",2
q18,Y,Y,N,N,N,N,N,"91_1,91_2",2
j7_2_1,N,N,N,Y,Y,N,N,"99,103",2
l2_3_6,N,N,N,Y,Y,N,N,"99,103",2
f1_1_3,N,N,N,N,Y,Y,N,"103,106",2
f1_1_2,N,N,N,N,Y,Y,N,"103,106",2
j7_1_2,N,N,N,Y,Y,N,N,"99,103",2
i2_3,N,N,N,N,N,Y,Y,"106,110",2
q17,Y,Y,N,N,N,N,N,"91_1,91_2",2
f1_1_1,N,N,N,N,Y,Y,N,"103,106",2
f1_1,N,N,N,N,Y,N,Y,"103,110",2
i2_2,N,N,N,N,N,Y,Y,"106,110",2
j7_1_1,N,N,N,Y,Y,N,N,"99,103",2
