variable,comparability,years_count,years_available,91_1_label,91_2_label,95_label,99_label,103_label,106_label,110_label
id,Partial Comparable,5,"91_1,91_2,95,99,110",樣本編號,樣本編號,流水編號,流水編,,,id
g1,Partial Comparable,4,"99,103,106,110",,,,G1.請問您現在住的房子是屬於誰的？,G1.請問您現在住的房子是屬於誰的?,G1.經濟戶長性別?,除了經濟戶長本人以外，家裡有沒有「其他家人」有固定收入？ □(1)有，共______________位 □(2)沒有跳答G3
k1_1,Partial Comparable,4,"99,103,106,110",,,,K1.請問您個人目前有從事以下哪些投資嗎？(可複選),K1.請問您個人目前有從事以下哪些投資嗎?(可複選)投資一,K1-1.經濟戶長每個月用於投資的金額是多少?,請問您或您的家人是跨性別者或同性婚姻家庭？(可複選) □(1)是，跨性別者跳答L1 □(2)是，同性婚姻家庭跳答L1 □(3)不是 □(4)不知道
k2,Partial Comparable,4,"99,103,106,110",,,,K2.請問您個人每個月可以儲蓄（存錢）的金額是多少？,K2.請問您個人每個月可以儲蓄(存錢)的金額是多少?,K2.經濟戶長每個月可以儲蓄(存錢)的金額是多少?,請問您是否能包容跨性別者或同性婚姻家庭？ □(1)能跳答L1 □(2)不能 □(3)不知道
f1,Partial Comparable,3,"99,103,106",,,,F1.請問您們家是不是符合地方政府列冊登記有案的低收入戶？,F1.請問目前與您住在一起共同生活的【包括自己且不限原住民】有幾個人?,F1.目前與您「同戶籍」且「共同生活」的有幾個人(包括自己且不限原住民)?,
j1,Partial Comparable,3,"99,103,106",,,,J1.請問您全家每個月用在支付「吃飯、蔬菜魚肉、水果、飲料費等」的費用是多少？【過去,J1.請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少?【過去,J1.經濟戶長個人每個月「工作薪水、兼差薪水、加班費、退休金、年終獎金，以及從事農林,
j3,Partial Comparable,3,"99,103,106",,,,J3.請問您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養油錢、市內,J3.請問您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養/油錢、汽機,J3.經濟戶長個人每個月「紅白包禮金、私人發給救濟金/慰問金/獎助學金、向私人借住房屋,
j4,Partial Comparable,3,"99,103,106",,,,J4.請問您全家每個月用在支付「看病就醫、繳保險費、購買醫療設備等」的費用是多少？【,J4.請問您全家每個月用在支付「看病就醫、繳醫療保險費、購買醫療用品/設備等」的費用是,J4.經濟戶長個人每個月的「存款利息、跟會利息、股票利息、各種投資利息」收入總共是多,
j6,Partial Comparable,3,"99,103,106",,,,J6.請問您全家每個月用在支付「繳各種稅、勞健保、農漁保險、紅白包禮金、捐款」的費用,J6.請問您全家每個月用在支付「繳各種稅、勞健保、農漁保險、買彩券、紅白包禮金、捐款,J6.除了以上這些收入以外，經濟戶長個人每個月「其他雜項」收入總共是多少?【過去一年平,
k1_2,Partial Comparable,3,"99,103,110",,,,K1.請問您個人目前有從事以下哪些投資嗎？(可複選),K1.請問您個人目前有從事以下哪些投資嗎?(可複選)投資二,,請問您或您的家人是跨性別者或同性婚姻家庭？(可複選) □(1)是，跨性別者跳答L1 □(2)是，同性婚姻家庭跳答L1 □(3)不是 □(4)不知道
l2_1,Partial Comparable,3,"99,103,110",,,,L2-1.請問您個人或您的家人有沒有申請「原住民綜合發展基金貸款」？,L2-1.請問您個人或您的家人未來有沒有申請「原民會專案貸款」的需求?,,請問您或您的家人是否使用過政府因應嚴重特殊傳染性肺炎(Covid-19)相關紓困措施？ □(1) 是。請紀錄________(機關)提供之________措施(貸款)停問 □(2) 否。 □(3) 不知道停問
no,Partial Comparable,3,"99,103,106",,,,樣本戶號,流水編號,流水編,
q1,Partial Comparable,3,"91_1,91_2,95",1.性別,1.性別,Q1.請問您目前住的房子的用途是屬於?,,,,
q11,Partial Comparable,3,"91_1,91_2,95",11.請問您家中有幾部自用汽車?,11.請問您家中有幾部自用汽車?,Q11.除了您本人以外，家裡有沒有其他具有原住民身分的家人有固定收入?,,,,
q14,Partial Comparable,3,"91_1,91_2,95",14.請問您家中有幾部彩色電視機?,14.請問您家中有幾部彩色電視機?,Q14.請問您個人每個月可以儲蓄(存錢)的金額是多少?,,,,
q15,Partial Comparable,3,"91_1,91_2,95",15.請問您家中有幾部家用電腦?,15.請問您家中有幾部家用電腦?,Q15.請問您或您的家人最需要政府提供什麼幫忙,,,,
q6,Partial Comparable,3,"91_1,91_2,95",6.請問您的配偶是不是原住民?,6.請問您的配偶是不是原住民?,Q6.請問您們家目前有沒有房屋貸款?,,,,
q8,Partial Comparable,3,"91_1,91_2,95",8.請問您的職業是什麼?(以9月15日~9月21日為準),8.請問您的職業是什麼?(以12月15日~12月21日為準),Q8.請問您有沒有信用貸款、汽車貸款、信用卡、現金卡等的貸款呢?,,,,
q9,Partial Comparable,3,"91_1,91_2,95",9.請問您的行業是什麼?(以9月15日~9月21日為準),9.請問您的行業是什麼?(以12月15日~12月21日為準),Q9.請問您有沒有申請創業貸款?,,,,
w,Partial Comparable,3,"91_2,99,106",,樣本權數,,推估權數,,樣本權數,
city,Partial Comparable,2,"103,106",,,,,縣市代碼,縣市,
f1_1_1,Partial Comparable,2,"103,106",,,,,F1-1-1.6歲以下的原住民族有幾位?,F1-1-1.與您同戶籍且共同生活的人(包括自己且不限原住民)，6歲以下的原住民有幾位?,
f1_1_2,Partial Comparable,2,"103,106",,,,,F1-1-2.7-15歲的原住民族有幾位?,F1-1-2.與您同戶籍且共同生活的人(包括自己且不限原住民)，7-15歲的原住民有幾位?,
f1_1_3,Partial Comparable,2,"103,106",,,,,F1-1-3.16-54歲的原住民族有幾位?,F1-1-3.與您同戶籍且共同生活的人(包括自己且不限原住民)，16-54歲的原住民有幾位?,
f1_1_4,Partial Comparable,2,"103,106",,,,,F1-1-4.55-64歲的原住民族有幾位?,F1-1-4.與您同戶籍且共同生活的人(包括自己且不限原住民)，55-64歲的原住民有幾位?,
f1_1_5,Partial Comparable,2,"103,106",,,,,F1-1-5.65歲以上的原住民族有幾位?,F1-1-5.與您同戶籍且共同生活的人(包括自己且不限原住民)，65歲以上的原住民有幾位?,
i5,Partial Comparable,2,"99,103",,,,I5.包含您本人，全家每個月的「房屋、土地出租租金」收入總共是多少？【過去ㄧ年平均每,I5.包含您本人，全家每個月接受「紅白包禮金、私人發給救濟金/慰問金、向私人借住房屋省,,
i7,Partial Comparable,2,"99,103",,,,I7.包含您本人，全家每個月除了以上這些收入以外的「其他」收入總共是多少？【過去ㄧ年,I7.包含您本人，全家每個月的「房屋、土地出租租金」收入總共是多少?【過去ㄧ年平均每個,,
j7_1_1,Partial Comparable,2,"99,103",,,,J7-1.請問您家庭過去一年有沒有打掃家庭/洗衣洗碗/請傭人的支出,J7-1.「打掃家庭/洗衣洗碗/請佣人」的支出有無,,
j7_1_2,Partial Comparable,2,"99,103",,,,J7-1.平均每個月支出金額,J7-1.「打掃家庭/洗衣洗碗/請佣人」的支出金額,,
j7_2_1,Partial Comparable,2,"99,103",,,,J7-2.請問您家庭過去一年有沒有各項學費/補習費/報紙雜誌書籍文具的支出,J7-2.「各項學費/補習費/家教費」支出有無,,
j7_2_2,Partial Comparable,2,"99,103",,,,J7-2.平均每個月支出金額,J7-2.「各項學費/補習費/家教費」支出金額,,
j7_3_2,Partial Comparable,2,"99,103",,,,J7_3.平均每個月支出金額,J7-3.「報紙雜誌書籍文具」支出金額,,
j7_4_2,Partial Comparable,2,"99,103",,,,J7_4.平均每個月支出金額,J7-4.「國內外跟團旅遊/運動娛樂消遣」支出金額,,
j7_5_2,Partial Comparable,2,"99,103",,,,J7_5.平均每個月支出金額,J7-5.「各項貸款/跟會的利息」支出金額,,
j7_7_2,Partial Comparable,2,"99,103",,,,J7_7.平均每個月支出金額,J7-7.「買衣服/鞋子/襪子各項衣物」支出金額,,
j7_8_2,Partial Comparable,2,"99,103",,,,J7_8.平均每個月支出金額,J7-8.「買家具/家庭電器/廚房用具」支出金額,,
l2_3_1,Partial Comparable,2,"99,103",,,,L2-3.請問您希望透過哪一種媒體看到或聽到有關「原住民綜合發展基金貸款」的相關資訊？(,L2-3.請問您希望申請「原民會專案貸款」有哪些項目?(可複選)項目一,,
l2_3_10,Partial Comparable,2,"99,103",,,,L2-3.請問您希望透過哪一種媒體看到或聽到有關「原住民綜合發展基金貸款」的相關資訊？(,L2-3.請問您希望申請「原民會專案貸款」有哪些項目?(可複選)項目十,,
l2_3_2,Partial Comparable,2,"99,103",,,,L2-3.請問您希望透過哪一種媒體看到或聽到有關「原住民綜合發展基金貸款」的相關資訊？(,L2-3.請問您希望申請「原民會專案貸款」有哪些項目?(可複選)項目二,,
l2_3_3,Partial Comparable,2,"99,103",,,,L2-3.請問您希望透過哪一種媒體看到或聽到有關「原住民綜合發展基金貸款」的相關資訊？(,L2-3.請問您希望申請「原民會專案貸款」有哪些項目?(可複選)項目三,,
l2_3_4,Partial Comparable,2,"99,103",,,,L2-3.請問您希望透過哪一種媒體看到或聽到有關「原住民綜合發展基金貸款」的相關資訊？(,L2-3.請問您希望申請「原民會專案貸款」有哪些項目?(可複選)項目四,,
l2_3_5,Partial Comparable,2,"99,103",,,,L2-3.請問您希望透過哪一種媒體看到或聽到有關「原住民綜合發展基金貸款」的相關資訊？(,L2-3.請問您希望申請「原民會專案貸款」有哪些項目?(可複選)項目五,,
l2_3_6,Partial Comparable,2,"99,103",,,,L2-3.請問您希望透過哪一種媒體看到或聽到有關「原住民綜合發展基金貸款」的相關資訊？(,L2-3.請問您希望申請「原民會專案貸款」有哪些項目?(可複選)項目六,,
l2_3_7,Partial Comparable,2,"99,103",,,,L2-3.請問您希望透過哪一種媒體看到或聽到有關「原住民綜合發展基金貸款」的相關資訊？(,L2-3.請問您希望申請「原民會專案貸款」有哪些項目?(可複選)項目七,,
l2_3_8,Partial Comparable,2,"99,103",,,,L2-3.請問您希望透過哪一種媒體看到或聽到有關「原住民綜合發展基金貸款」的相關資訊？(,L2-3.請問您希望申請「原民會專案貸款」有哪些項目?(可複選)項目八,,
l2_3_9,Partial Comparable,2,"99,103",,,,L2-3.請問您希望透過哪一種媒體看到或聽到有關「原住民綜合發展基金貸款」的相關資訊？(,L2-3.請問您希望申請「原民會專案貸款」有哪些項目?(可複選)項目九,,
f2,Not Comparable,4,"99,103,106,110",,,,F2.請問目前與您住在一起共同生活的【包括自己且不限原住民】有幾個人？,F2.請問您的配偶屬於以下那種身分?,F2.目前與您「同戶籍」，但「沒有住在一起」、「有經濟依賴關係」的有幾個人?,"請問經濟戶長每個月可以儲蓄（存錢）的金額是多少？ □(1)未滿5,000元 □(2)5,000 元-未滿10,000元 □(3)10,000 元-未滿15,000元 □(4)15,000 元-未滿20,000元 □(5)20,000 元-未滿30,000元 □(6)30,000元-未滿40,000元 □(7)40,000元-未滿50,000元 □(8)50,000元-未滿60,000元 □(9)6"
g2,Not Comparable,4,"99,103,106,110",,,,G2.若房子為租賃者（G1回答2、3者），請問您每個月的房屋租金是多少？,G2.請問您每個月的房屋租金是多少?[回答完跳答G6],G2.經濟戶長今年幾歲?,承上題(L1)，請問這些有固定收入的家人中，具有原住民身分者有幾位？ □(1)有具原住民身分，共______________位 □(2)沒有原住民身分
g3,Not Comparable,4,"99,103,106,110",,,,G3.請問您們家目前有沒有房屋貸款？,G3.請問您現在住的房子是什麼時候購買/搭建的?,G3.經濟戶長教育程度?,"包含經濟戶長本人，全家每個月的「工作薪水、兼差薪水、加班費、退休金，或是從事農林漁牧 業或自己做生意等」總收入是多少？【110年平均每個月的金額】 □(1)未滿10,000元 □(2)10,000元-未滿20,000元 □(3)20,000元-未滿30,000元 □(4)30,000元-未滿40,000元 □(5)40,000元-未滿50,000元 □(6)50,000元-未滿60,000元 □("
g4,Not Comparable,4,"99,103,106,110",,,,G4.請問您個人有沒有信用貸款、車貸、信用卡、現金卡等的貸款呢？,G4.請問您現在住的房子樓地板面積是多少?__坪,G4.經濟戶長需不需要負責家計?,"包含經濟戶長本人，全家每個月接受「政府發給津貼、補助、各種社會保險、私人保險」總收入 是多少？【110年平均每個月的金額】 □(1)未滿1,000元 □(2)1,000 元-未滿2,000元 □(3)2,000 元-未滿3,000元 □(4)3,000 元-未滿4,000元 □(5)4,000 元-未滿5,000元 □(6)5,000 元-未滿6,000元 □(7)6,000 元-未滿8,000元"
g5,Not Comparable,4,"99,103,106,110",,,,G5.請問您個人有沒有申請創業貸款？,G5.請問您現在住的房子當初購買/搭建共花了多少錢?,G5.經濟戶長所屬的族別?,"包含經濟戶長本人，全家每個月接受「紅白包禮金、私人發給救濟金/慰問金/獎助學金、向私人 借住房屋省下的房租、國外禮金/贈款」總收入是多少？【110年平均每個月的金額】 □(1)未滿1,000元 □(2)1,000 元-未滿2,000元 □(3)2,000 元-未滿3,000元 □(4)3,000 元-未滿4,000元 □(5)4,000 元-未滿5,000元 □(6)5,000 元-未滿6,000"
