original_name,new_name
h1,income_work
h2,income_govt
h3,income_gift
h4,income_interest
h5,income_rent
i1,others_have_income
i2,indigene_have_income
i3,household_income_work
i4,household_income_govt
j1,exp_food
j2,exp_housing
j3,exp_transport
j4,exp_health
j5,exp_addiction
j6,exp_tax_insurance
k1_1,invest_participation
k2,savings_amount
l2,aware_loan_program
f1,household_size
f2,spouse_indigene
g1,housing_own
g3,housing_year
g4,housing_floor_area
g5,housing_cost
m2,internet_access
level,administrative_level
county,location_county
id,sample_id
w,sample_weight
