concept_id	category	concept	comparability	var_91_1	var_91_2	var_95	var_99	var_103	var_106	var_110	notes
ID001	識別與抽樣	流水編號/樣本編號	高	id	id	id	id; no	no	no	id	91_1/91_2/95/110 的 id 與 103/106 的 no 是同一類識別概念；99 同時有 id=流水編與 no=樣本戶號，串接時需先確認欲用個人或戶號層級。
ID002	識別與抽樣	樣本權數	中	w_d	w	weight	w; w1	w1	w	weight	名稱與權數定義跨年不同；91_1 w_d、91_2 w、103/106 樣本權數、110 weight 可作樣本權數候選。
ID003	識別與抽樣	母體/推估權數	中	w_c	w_b	weight_new	w	w2			91_1/91_2 明確標母體權數；103 w2 標母體權數；99 w 標推估權數；95 weight_new 需再查定義。
GEO001	地理與分層	縣市	高	county	county	county	county	city	city	county1	91/95 的 county label 含縣市鄉鎮市區；103/106 city 是縣市；110 county1 label 只顯示欄位名但位置上是地理欄位。
GEO002	地理與分層	鄉鎮市區/完整戶籍地	中	county	county	county; s31_1-s31_25	countya	county2	county2	county1	95 有居住縣市 s3 與鄉鎮 s31_*；103/106 county2 是戶籍地鄉鎮市區。
GEO003	地理與分層	行政區域分層/層別	高	level	level	level	level	level	level	level	跨年同一分層概念。
DEM001	基本資料	性別/戶長性別/經濟戶長性別	中	q1	q1	c10	sex	gender	g1	b1	91/95 為受訪者性別；99 sex；103 gender=戶長性別；106/110 是經濟戶長性別，母體對象略有差異。
DEM002	基本資料	年齡/經濟戶長年齡	中	q2	q2	c2	m3	n3	g2	b2	91/95/99/103 問「您」；106/110 問經濟戶長。
DEM003	基本資料	教育程度/經濟戶長教育程度	中	q3	q3	c3	m4	n4	g3	b3	106/110 改為經濟戶長教育程度。
DEM004	基本資料	族別/經濟戶長族別	中	q4	q4	c1	m2	n2	g5	b5r	110 b5r label 缺失但夾在家計與配偶題中，依題序判斷為經濟戶長族別。
DEM005	基本資料	婚姻狀況/配偶身分	低	q5	q5	c6	f3	f2	g6	b6	91/95 是婚姻狀況；99 以後多問配偶身分，概念相關但不是完全同題。
DEM006	基本資料	配偶是否原住民/配偶身分	中	q6	q6	c7	f3	f2	g6	b6	91 直接問配偶是不是原住民；95 兼問外籍配偶；99 以後為配偶身分類別。
DEM007	基本資料	配偶族別	高	q6a	q6a	c71	f3_1r; f3_1	f2_1	g6_1	b6_1r; b6_1o	配偶為原住民時續問所屬族別。
DEM008	基本資料	需不需要負責家計	中			s2	m1	n1	g4	b4	95 s2 問主要/次要家計負責人；99+ 問需不需要負責家計；106/110 是經濟戶長。
HH001	家庭人口	共同生活戶內人口數	高	q7a	q7a	c5	f2	f1	f1	a2	106/110 明確限定同戶籍且共同生活；91/95/99/103 為住在一起共同生活。
HH002	家庭人口	共同生活原住民總數	高	q7b	q7b	c51	f2_1	f1_1	f1_1_6	a2_1_6	106/110 有原住民總計欄；110 label 重複 A2 但欄名序列對應原住民分齡總計。
HH003	家庭人口	原住民 6歲以下人數	高	q7c	q7c	c51_1	f2_1_1	f1_1_1	f1_1_1	a2_1_1	91 的 q7c 是 6歲及以下。
HH004	家庭人口	原住民 7-15歲人數	中	q7d	q7d	c51_2	f2_1_2	f1_1_2	f1_1_2	a2_1_2	91 是 7-12 歲，與 95+ 的 7-15 歲不完全一致。
HH005	家庭人口	原住民 16-54歲人數	中	q7e	q7e	c51_3	f2_1_3	f1_1_3	f1_1_3	a2_1_3	91 是 13-18 歲，與 95+ 的 16-54 歲不可直接等同。
HH006	家庭人口	原住民 55-64歲人數	高			c51_4	f2_1_4	f1_1_4	f1_1_4	a2_1_4	91 沒有此分組。
HH007	家庭人口	原住民 65歲以上人數	中	q7f	q7f	c51_5	f2_1_5	f1_1_5	f1_1_5	a2_1_5	91 q7f 是 60歲及以上，與 65+ 不完全一致。
HH008	家庭人口	同戶籍未同住但有經濟依賴人數	高						f2	a3	106/110 新增，同題概念。
HH009	家庭人口	不同戶籍但有住在一起人數	高						f3	a4	106/110 新增，同題概念。
HH010	家庭經濟	家庭主要經濟來源	高					f3_1-f3_4	f4_1-f4_4	a5_1-a5_4	103/106/110 為複選來源欄。
HH011	家庭經濟	低收入戶/中低收入戶	中			c4; low	f1	n5	n4	i4	95 c4 與 low；99 f1 是低收入戶；103/106/110 是中低收入戶題，分類不同。
HOUSE001	住宅	住宅所有權/房子屬於誰	高	q18	q18	q3	g1	g1	h1	c1	91 題文是自有、租賃、配住、借用；95+ 問房子屬於誰。
HOUSE002	住宅	每月房租	高	q19	q19	q4	g2	g2; g2o	h2; h2o	c2; c2o	103/106/110 同時有級距與開放數值欄。
HOUSE003	住宅	房屋購買/搭建年份	高					g3	h3	c3	103/106/110 同題。
HOUSE004	住宅	住宅樓地板面積/坪數	中	q17	q17			g4	h4	c4	91 是住宅面積建坪；103+ 是樓地板面積。
HOUSE005	住宅	自住房屋若出租租金	高						h5	c5	106/110 同題。
HOUSE006	住宅	房屋購買/搭建花費	低					g5; g5o			103 獨有，106/110 改問若出租租金。
LOAN001	貸款	是否有房屋貸款	高	q20	q20	q6	g3	g6	h6	c6	跨年題目穩定。
LOAN002	貸款	房屋貸款總借款額	高		q20a?	q61	g3_1	g6_1; g6_1o	h6_2; h6_2o	c6_2; c6_2o	91 q20a 是每月本息，不是總借款額；此處不視為完全同題。
LOAN003	貸款	房屋貸款每月繳款額	高	q20a	q20a	q7	g3_5	g6_2; g6_2o	h6_3; h6_3o	c6_3; c6_3o	95 q7 是每月房貸繳款；99+ 明確過去一年平均每月。
LOAN004	貸款	房屋貸款借款單位	高						h6_1_1-h6_1_2; h6_1o	c6_1_1-c6_1_2; c6_1o	106/110 新增。
LOAN005	貸款	是否有消費性貸款/信用貸款車貸信用卡現金卡	高			q8	g4	g7	i1	d1	103 題目多列擔保貸款、就學貸款；106/110 對象為經濟戶長。
LOAN006	貸款	消費性貸款總借款額	高			q81	g4_1	g7_1; g7_1o	i1_2; i1_2o	d1_2; d1_2o	95/99/103/106/110 同概念。
LOAN007	貸款	消費性貸款每月繳款額	高			q82	g4_2	g7_2; g7_2o	i1_3; i1_3o	d1_3; d1_3o	95/99/103/106/110 同概念。
LOAN008	貸款	消費性貸款借款單位	高						i1_1_1-i1_1_2; i1_1o	d1_1_1-d1_1_2; d1_1o	106/110 新增。
LOAN009	貸款	是否有創業貸款	高			q9	g5		i2	d2	103 沒有一般創業貸款題，改為原民會專案貸款需求。
LOAN010	貸款	創業貸款總借款額	高			q91	g5_1		i2_2; i2_2o	d2_2	95/99/106/110 同概念。
LOAN011	貸款	創業貸款每月繳款額	高			q92	g5_2		i2_3; i2_3o	d2_3	95/99/106/110 同概念。
LOAN012	貸款	創業貸款借款單位	高						i2_1_1-i2_1_2; i2_1o	d2_1_1-d2_1_2	106/110 新增。
LOAN013	貸款	私人借貸/預支薪水/賒帳	高					g8	i3	d3	103+ 新增。
LOAN014	貸款	私人借貸金額	高					g8_1; g8_1o	i3_1; i3_1o	d3_1; d3_1o	103+ 新增。
LOAN015	貸款	私人借貸還款方式/每月還款額	中					g8_2	i3_2; i3_2o	d3_2	103 問還款方式；106/110 問每月還款額。
LOAN016	貸款	其他貸款	高						i4	d4	106/110 新增。
WORK001	就業	職業/工作狀況	中	q8	q8	c8				b7	91/95 問目前職業；110 問調查週工作狀況；99/103/106 的相近欄位分散於收入或行業題。
WORK002	就業	行業	中	q9	q9	c9			g7		91/95 問目前行業；106 問經濟戶長行業。
