data_year,survey_tag,integrated_var,raw_value,frequency
2002,91,INC_FAM_GOV,1萬5千~未滿2萬元,61
2002,91,INC_FAM_GOV,1萬~未滿1萬5千元,166
2002,91,INC_FAM_GOV,2千~未滿4千元,2701
2002,91,INC_FAM_GOV,2萬~未滿3萬元,33
2002,91,INC_FAM_GOV,3萬元以上,11
2002,91,INC_FAM_GOV,4千~未滿6千元,643
2002,91,INC_FAM_GOV,6千~未滿1萬元,1115
2002,91,INC_FAM_GOV,未滿2千元,223
2002,91,INC_FAM_GOV,無此收入,8160
2002,91,INC_FAM_OTHER,1萬~未滿2萬元,798
2002,91,INC_FAM_OTHER,5千~未滿1萬元,838
2002,91,INC_FAM_OTHER,5萬~未滿6萬元,357
2002,91,INC_FAM_OTHER,6萬元以上,261
2002,91,INC_FAM_OTHER,未滿5千元,915
2002,91,INC_FAM_OTHER,無此收入,9944
2002,91,INC_FAM_TOTAL,10萬~未滿12萬元,249
2002,91,INC_FAM_TOTAL,12萬~未滿15萬元,128
2002,91,INC_FAM_TOTAL,15萬元以上,109
2002,91,INC_FAM_TOTAL,2萬~未滿4萬元,4499
2002,91,INC_FAM_TOTAL,4萬~未滿6萬元,2538
2002,91,INC_FAM_TOTAL,6萬~未滿8萬元,1036
2002,91,INC_FAM_TOTAL,8萬~未滿10萬元,453
2002,91,INC_FAM_TOTAL,未滿2萬元,4101
2002,91,INC_FAM_WORK,10萬~未滿12萬元,209
2002,91,INC_FAM_WORK,12萬~未滿15萬元,102
2002,91,INC_FAM_WORK,15萬元以上,84
2002,91,INC_FAM_WORK,2萬~未滿4萬元,4303
2002,91,INC_FAM_WORK,4萬~未滿6萬元,2338
2002,91,INC_FAM_WORK,6萬~未滿8萬元,894
2002,91,INC_FAM_WORK,8萬~未滿10萬元,390
2002,91,INC_FAM_WORK,未滿2萬元,3355
2002,91,INC_FAM_WORK,無此收入,1438
2006,95,INC_FAM_GOV,不知道/拒答,207
2006,95,INC_FAM_INTEREST,不知道/拒答,161
2006,95,INC_FAM_OTHER,"10,000-14,999元",96
2006,95,INC_FAM_OTHER,"15,000-19,999元",84
2006,95,INC_FAM_OTHER,"20,000-24,999元",34
2006,95,INC_FAM_OTHER,"25,000-29,999元",15
2006,95,INC_FAM_OTHER,"30,000-39,999元",6
2006,95,INC_FAM_OTHER,"4,999元及以下",353
2006,95,INC_FAM_OTHER,"40,000-49,999元",2
2006,95,INC_FAM_OTHER,"5,000-9,999元",173
2006,95,INC_FAM_OTHER,"50,000-59,999元",2
2006,95,INC_FAM_OTHER,不知道/拒答,105
2006,95,INC_FAM_OTHER,沒有這項收入,5143
2006,95,INC_FAM_RENT,不知道/拒答,84
2006,95,INC_FAM_WORK,不知道/拒答,821
2006,95,INC_PERS_GOV,不知道/拒答,73
2006,95,INC_PERS_INTEREST,不知道/拒答,56
2006,95,INC_PERS_OTHER,不知道/拒答,50
2006,95,INC_PERS_RENT,不知道/拒答,41
2006,95,INC_PERS_WORK,不知道/拒答,255
2010,99,INC_FAM_INTEREST,未回答,10
2010,99,INC_FAM_RENT,未回答,11
2010,99,INC_PERS_GOV,未回答,3
2010,99,INC_PERS_INTEREST,未回答,9
2010,99,INC_PERS_OTHER,未回答,13
2010,99,INC_PERS_RENT,未回答,14
2014,103,INC_FAM_OTHER,"10,000-14,999元",5
2014,103,INC_FAM_OTHER,"15,000-19,999元",4
2014,103,INC_FAM_OTHER,"20,000-24,999元",1
2014,103,INC_FAM_OTHER,"25,000-29,999元",2
2014,103,INC_FAM_OTHER,"30,000-39,999元",1
2014,103,INC_FAM_OTHER,"4,999元及以下",73
2014,103,INC_FAM_OTHER,"5,000-9,999元",16
2014,103,INC_FAM_OTHER,"50,000-59,999元",13
2014,103,INC_FAM_OTHER,沒有這項收入,3230
2014,103,INC_PERS_GOV,"30,000元及以上，請記錄__元",6
2014,103,INC_PERS_TRANSFER,"30,000元及以上，請記錄__元",2
2017,106,INC_FAM_OTHER,"10,000元~未滿15,000元",17
2017,106,INC_FAM_OTHER,"15,000元~未滿20,000元",8
2017,106,INC_FAM_OTHER,"20,000元~未滿25,000元",6
2017,106,INC_FAM_OTHER,"25,000元~未滿30,000元",1
2017,106,INC_FAM_OTHER,"30,000元~未滿40,000元",2
2017,106,INC_FAM_OTHER,"40,000元~未滿50,000元",2
2017,106,INC_FAM_OTHER,"5,000元~未滿10,000元",35
2017,106,INC_FAM_OTHER,"50,000元~未滿60,000元",2
2017,106,INC_FAM_OTHER,"60,000元~未滿70,000元",1
2017,106,INC_FAM_OTHER,"70,000元~未滿80,000元",1
2017,106,INC_FAM_OTHER,"未滿5,000元",222
2017,106,INC_FAM_OTHER,沒有這項收入,5005
2021,110,INC_FAM_OTHER,"10,000元-未滿15,000元",22
2021,110,INC_FAM_OTHER,"15,000元-未滿20,000元",5
2021,110,INC_FAM_OTHER,"20,000元-未滿25,000元",13
2021,110,INC_FAM_OTHER,"25,000元-未滿30,000元",6
2021,110,INC_FAM_OTHER,"30,000元-未滿40,000元",2
2021,110,INC_FAM_OTHER,"40,000元-未滿50,000元",1
2021,110,INC_FAM_OTHER,"5,000元-未滿10,000元",42
2021,110,INC_FAM_OTHER,"50,000元-未滿60,000元",42
2021,110,INC_FAM_OTHER,"70,000元-未滿80,000元",3
2021,110,INC_FAM_OTHER,"未滿5,000元",229
2021,110,INC_FAM_OTHER,沒有這項收入,5044
