sample_definition,Survey Year,City,Sample N
full_sample,2002,南投縣,745
full_sample,2002,嘉義市,52
full_sample,2002,嘉義縣,105
full_sample,2002,基隆市,52
full_sample,2002,宜蘭縣,517
full_sample,2002,屏東縣,1513
full_sample,2002,彰化縣,52
full_sample,2002,新竹市,53
full_sample,2002,新竹縣,568
full_sample,2002,桃園縣,850
full_sample,2002,臺中市,252
full_sample,2002,臺中縣,828
full_sample,2002,臺北市,419
full_sample,2002,臺北縣,992
full_sample,2002,臺南市,53
full_sample,2002,臺南縣,59
full_sample,2002,臺東縣,2287
full_sample,2002,花蓮縣,2507
full_sample,2002,苗栗縣,337
full_sample,2002,連江縣,9
full_sample,2002,金門縣,27
full_sample,2002,高雄市,302
full_sample,2002,高雄縣,534
full_sample,2006,南投縣,378
full_sample,2006,嘉義市,7
full_sample,2006,嘉義縣,49
full_sample,2006,基隆市,14
full_sample,2006,宜蘭縣,271
full_sample,2006,屏東縣,756
full_sample,2006,彰化縣,46
full_sample,2006,新竹市,14
full_sample,2006,新竹縣,160
full_sample,2006,桃園縣,312
full_sample,2006,澎湖縣,3
full_sample,2006,臺中市,58
full_sample,2006,臺中縣,219
full_sample,2006,臺北市,182
full_sample,2006,臺北縣,262
full_sample,2006,臺南市,23
full_sample,2006,臺南縣,25
full_sample,2006,臺東縣,1430
full_sample,2006,花蓮縣,1228
full_sample,2006,苗栗縣,175
full_sample,2006,連江縣,2
full_sample,2006,金門縣,3
full_sample,2006,雲林縣,20
full_sample,2006,高雄市,131
full_sample,2006,高雄縣,245
full_sample,2010,南投縣,240
full_sample,2010,嘉義市,57
full_sample,2010,嘉義縣,52
full_sample,2010,基隆市,90
full_sample,2010,宜蘭縣,131
full_sample,2010,屏東縣,490
full_sample,2010,彰化縣,59
full_sample,2010,新竹市,50
full_sample,2010,新竹縣,206
full_sample,2010,桃園縣,561
full_sample,2010,臺中市,80
full_sample,2010,臺中縣,198
full_sample,2010,臺北市,160
full_sample,2010,臺北縣,500
full_sample,2010,臺南市,57
full_sample,2010,臺南縣,52
full_sample,2010,臺東縣,732
full_sample,2010,花蓮縣,845
full_sample,2010,苗栗縣,119
full_sample,2010,雲林縣,53
full_sample,2010,高雄市,133
full_sample,2010,高雄縣,162
full_sample,2014,南投縣,263
full_sample,2014,嘉義市,64
full_sample,2014,嘉義縣,59
full_sample,2014,基隆市,97
full_sample,2014,宜蘭縣,25
full_sample,2014,屏東縣,547
full_sample,2014,彰化縣,66
full_sample,2014,新北市,624
full_sample,2014,新竹市,63
full_sample,2014,新竹縣,156
full_sample,2014,桃園縣,492
full_sample,2014,澎湖縣,50
full_sample,2014,臺中市,335
full_sample,2014,臺北市,188
full_sample,2014,臺南市,99
full_sample,2014,臺東縣,715
full_sample,2014,花蓮縣,827
full_sample,2014,苗栗縣,119
full_sample,2014,雲林縣,52
full_sample,2014,高雄市,373
full_sample,2017,南投縣,261
full_sample,2017,嘉義市,37
full_sample,2017,嘉義縣,54
full_sample,2017,基隆市,85
full_sample,2017,宜蘭縣,174
full_sample,2017,屏東縣,477
full_sample,2017,彰化縣,68
full_sample,2017,新北市,532
full_sample,2017,新竹市,52
full_sample,2017,新竹縣,176
full_sample,2017,桃園市,639
full_sample,2017,澎湖縣,36
full_sample,2017,臺中市,331
full_sample,2017,臺北市,196
full_sample,2017,臺南市,166
full_sample,2017,臺東縣,720
full_sample,2017,花蓮縣,798
full_sample,2017,苗栗縣,124
full_sample,2017,雲林縣,36
full_sample,2017,高雄市,340
full_sample,2021,中部地區,760
full_sample,2021,北部地區,2012
full_sample,2021,南部地區,1098
full_sample,2021,東部及離島地區,1539
indigenous_analysis_sample,2002,南投縣,745
indigenous_analysis_sample,2002,嘉義市,52
indigenous_analysis_sample,2002,嘉義縣,105
indigenous_analysis_sample,2002,基隆市,52
indigenous_analysis_sample,2002,宜蘭縣,517
indigenous_analysis_sample,2002,屏東縣,1513
indigenous_analysis_sample,2002,彰化縣,52
indigenous_analysis_sample,2002,新竹市,53
indigenous_analysis_sample,2002,新竹縣,568
indigenous_analysis_sample,2002,桃園縣,850
indigenous_analysis_sample,2002,臺中市,252
indigenous_analysis_sample,2002,臺中縣,828
indigenous_analysis_sample,2002,臺北市,419
indigenous_analysis_sample,2002,臺北縣,992
indigenous_analysis_sample,2002,臺南市,53
indigenous_analysis_sample,2002,臺南縣,59
indigenous_analysis_sample,2002,臺東縣,2287
indigenous_analysis_sample,2002,花蓮縣,2507
indigenous_analysis_sample,2002,苗栗縣,337
indigenous_analysis_sample,2002,連江縣,9
indigenous_analysis_sample,2002,金門縣,27
indigenous_analysis_sample,2002,高雄市,302
indigenous_analysis_sample,2002,高雄縣,534
indigenous_analysis_sample,2006,南投縣,378
indigenous_analysis_sample,2006,嘉義市,7
indigenous_analysis_sample,2006,嘉義縣,49
indigenous_analysis_sample,2006,基隆市,14
indigenous_analysis_sample,2006,宜蘭縣,271
indigenous_analysis_sample,2006,屏東縣,756
indigenous_analysis_sample,2006,彰化縣,46
indigenous_analysis_sample,2006,新竹市,14
indigenous_analysis_sample,2006,新竹縣,160
indigenous_analysis_sample,2006,桃園縣,312
indigenous_analysis_sample,2006,澎湖縣,3
indigenous_analysis_sample,2006,臺中市,58
indigenous_analysis_sample,2006,臺中縣,219
indigenous_analysis_sample,2006,臺北市,182
indigenous_analysis_sample,2006,臺北縣,262
indigenous_analysis_sample,2006,臺南市,23
indigenous_analysis_sample,2006,臺南縣,25
indigenous_analysis_sample,2006,臺東縣,1430
indigenous_analysis_sample,2006,花蓮縣,1228
indigenous_analysis_sample,2006,苗栗縣,175
indigenous_analysis_sample,2006,連江縣,2
indigenous_analysis_sample,2006,金門縣,3
indigenous_analysis_sample,2006,雲林縣,20
indigenous_analysis_sample,2006,高雄市,131
indigenous_analysis_sample,2006,高雄縣,245
indigenous_analysis_sample,2010,南投縣,240
indigenous_analysis_sample,2010,嘉義市,57
indigenous_analysis_sample,2010,嘉義縣,52
indigenous_analysis_sample,2010,基隆市,90
indigenous_analysis_sample,2010,宜蘭縣,131
indigenous_analysis_sample,2010,屏東縣,490
indigenous_analysis_sample,2010,彰化縣,59
indigenous_analysis_sample,2010,新竹市,50
indigenous_analysis_sample,2010,新竹縣,206
indigenous_analysis_sample,2010,桃園縣,561
indigenous_analysis_sample,2010,臺中市,80
indigenous_analysis_sample,2010,臺中縣,198
indigenous_analysis_sample,2010,臺北市,160
indigenous_analysis_sample,2010,臺北縣,500
indigenous_analysis_sample,2010,臺南市,57
indigenous_analysis_sample,2010,臺南縣,52
indigenous_analysis_sample,2010,臺東縣,732
indigenous_analysis_sample,2010,花蓮縣,845
indigenous_analysis_sample,2010,苗栗縣,119
indigenous_analysis_sample,2010,雲林縣,53
indigenous_analysis_sample,2010,高雄市,133
indigenous_analysis_sample,2010,高雄縣,162
indigenous_analysis_sample,2014,南投縣,263
indigenous_analysis_sample,2014,嘉義市,64
indigenous_analysis_sample,2014,嘉義縣,59
indigenous_analysis_sample,2014,基隆市,97
indigenous_analysis_sample,2014,宜蘭縣,25
indigenous_analysis_sample,2014,屏東縣,547
indigenous_analysis_sample,2014,彰化縣,66
indigenous_analysis_sample,2014,新北市,624
indigenous_analysis_sample,2014,新竹市,63
indigenous_analysis_sample,2014,新竹縣,156
indigenous_analysis_sample,2014,桃園縣,492
indigenous_analysis_sample,2014,澎湖縣,50
indigenous_analysis_sample,2014,臺中市,335
indigenous_analysis_sample,2014,臺北市,188
indigenous_analysis_sample,2014,臺南市,99
indigenous_analysis_sample,2014,臺東縣,715
indigenous_analysis_sample,2014,花蓮縣,827
indigenous_analysis_sample,2014,苗栗縣,119
indigenous_analysis_sample,2014,雲林縣,52
indigenous_analysis_sample,2014,高雄市,373
indigenous_analysis_sample,2017,南投縣,236
indigenous_analysis_sample,2017,嘉義市,23
indigenous_analysis_sample,2017,嘉義縣,45
indigenous_analysis_sample,2017,基隆市,68
indigenous_analysis_sample,2017,宜蘭縣,142
indigenous_analysis_sample,2017,屏東縣,454
indigenous_analysis_sample,2017,彰化縣,37
indigenous_analysis_sample,2017,新北市,399
indigenous_analysis_sample,2017,新竹市,38
indigenous_analysis_sample,2017,新竹縣,152
indigenous_analysis_sample,2017,桃園市,544
indigenous_analysis_sample,2017,澎湖縣,25
indigenous_analysis_sample,2017,臺中市,269
indigenous_analysis_sample,2017,臺北市,148
indigenous_analysis_sample,2017,臺南市,108
indigenous_analysis_sample,2017,臺東縣,693
indigenous_analysis_sample,2017,花蓮縣,732
indigenous_analysis_sample,2017,苗栗縣,104
indigenous_analysis_sample,2017,雲林縣,22
indigenous_analysis_sample,2017,高雄市,255
indigenous_analysis_sample,2021,中部地區,760
indigenous_analysis_sample,2021,北部地區,2012
indigenous_analysis_sample,2021,南部地區,1098
indigenous_analysis_sample,2021,東部及離島地區,1539
