DATA_Y,variable,valid_n
2002,EXP_BOOKS_EXPENDITURE,0
2002,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,7802
2002,EXP_EDU_TUITION_EXPENDITURE,0
2006,EXP_BOOKS_EXPENDITURE,0
2006,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,11484
2006,EXP_EDU_TUITION_EXPENDITURE,0
2010,EXP_BOOKS_EXPENDITURE,0
2010,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,10048
2010,EXP_EDU_TUITION_EXPENDITURE,0
2014,EXP_BOOKS_EXPENDITURE,10428
2014,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,0
2014,EXP_EDU_TUITION_EXPENDITURE,10428
2017,EXP_BOOKS_EXPENDITURE,2747
2017,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,0
2017,EXP_EDU_TUITION_EXPENDITURE,4073
2021,EXP_BOOKS_EXPENDITURE,10818
2021,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,0
2021,EXP_EDU_TUITION_EXPENDITURE,10818
