data_year,integrated_var,harmonized_code,harmonized_label,frequency
2021,INC_FAM_GOV,1,999 元及以下,82
2021,INC_FAM_GOV,2,"1,000-1,999 元",71
2021,INC_FAM_GOV,3,"2,000-2,999 元",106
2021,INC_FAM_GOV,4,"3,000-3,999 元",714
2021,INC_FAM_GOV,5,"4,000-4,999 元",284
2021,INC_FAM_GOV,6,"5,000-5,999 元",223
2021,INC_FAM_GOV,7,"6,000-7,999 元",550
2021,INC_FAM_GOV,8,"8,000-9,999 元",196
2021,INC_FAM_GOV,9,"10,000-14,999 元",288
2021,INC_FAM_GOV,10,"15,000-19,999 元",100
2021,INC_FAM_GOV,11,"20,000-29,999 元",78
2021,INC_FAM_GOV,12,"30,000 元及以上，請記錄________元",15
2021,INC_FAM_GOV,13,沒有這項收入,2702
2021,INC_FAM_INTEREST,1,999 元及以下,1073
2021,INC_FAM_INTEREST,2,"1,000-1,999 元",178
2021,INC_FAM_INTEREST,3,"2,000-2,999 元",85
2021,INC_FAM_INTEREST,4,"3,000-3,999 元",35
2021,INC_FAM_INTEREST,5,"4,000-4,999 元",36
2021,INC_FAM_INTEREST,6,"5,000-5,999 元",23
2021,INC_FAM_INTEREST,7,"6,000-7,999 元",12
2021,INC_FAM_INTEREST,8,"8,000-9,999 元",22
2021,INC_FAM_INTEREST,9,"10,000-14,999 元",49
2021,INC_FAM_INTEREST,10,"15,000-19,999 元",7
2021,INC_FAM_INTEREST,11,"20,000-29,999 元",4
2021,INC_FAM_INTEREST,12,"30,000 元及以上，請記錄________元",6
2021,INC_FAM_INTEREST,13,沒有這項收入,3879
2021,INC_FAM_OTHER,1,"4,999 元及以下",229
2021,INC_FAM_OTHER,2,"5,000-9,999 元",42
2021,INC_FAM_OTHER,3,"10,000-14,999 元",22
2021,INC_FAM_OTHER,4,"15,000-19,999 元",5
2021,INC_FAM_OTHER,5,"20,000-24,999 元",13
2021,INC_FAM_OTHER,6,"25,000-29,999 元",6
2021,INC_FAM_OTHER,7,"30,000-39,999 元",2
2021,INC_FAM_OTHER,8,"40,000-49,999 元",1
2021,INC_FAM_OTHER,9,"50,000-59,999 元",42
2021,INC_FAM_OTHER,11,"70,000-79,999 元",3
2021,INC_FAM_OTHER,13,沒有這項收入,5044
2021,INC_FAM_RENT,1,"4,999 元及以下",65
2021,INC_FAM_RENT,2,"5,000-9,999 元",40
2021,INC_FAM_RENT,3,"10,000-14,999 元",22
2021,INC_FAM_RENT,4,"15,000-19,999 元",11
2021,INC_FAM_RENT,5,"20,000-24,999 元",9
2021,INC_FAM_RENT,6,"25,000-29,999 元",4
2021,INC_FAM_RENT,7,"30,000-39,999 元",4
2021,INC_FAM_RENT,8,"40,000-49,999 元",4
2021,INC_FAM_RENT,9,"50,000-59,999 元",21
2021,INC_FAM_RENT,11,"70,000-79,999 元",1
2021,INC_FAM_RENT,12,"80,000 元及以上，請記錄_________________元",1
2021,INC_FAM_RENT,13,沒有這項收入,5227
2021,INC_FAM_TOTAL,NA,NA,5409
2021,INC_FAM_TRANSFER,1,999 元及以下,267
2021,INC_FAM_TRANSFER,2,"1,000-1,999 元",163
2021,INC_FAM_TRANSFER,3,"2,000-2,999 元",68
2021,INC_FAM_TRANSFER,4,"3,000-3,999 元",30
2021,INC_FAM_TRANSFER,5,"4,000-4,999 元",27
2021,INC_FAM_TRANSFER,6,"5,000-5,999 元",14
2021,INC_FAM_TRANSFER,7,"6,000-7,999 元",13
2021,INC_FAM_TRANSFER,8,"8,000-9,999 元",12
2021,INC_FAM_TRANSFER,9,"10,000-14,999 元",14
2021,INC_FAM_TRANSFER,10,"15,000-19,999 元",8
2021,INC_FAM_TRANSFER,11,"20,000-29,999 元",8
2021,INC_FAM_TRANSFER,12,"30,000 元及以上，請記錄________元",2
2021,INC_FAM_TRANSFER,13,沒有這項收入,4783
2021,INC_FAM_WORK,1,"9,999 元及以下",180
2021,INC_FAM_WORK,2,"10,000-19,999 元",356
2021,INC_FAM_WORK,3,"20,000-29,999 元",529
2021,INC_FAM_WORK,4,"30,000-39,999 元",631
2021,INC_FAM_WORK,5,"40,000-49,999 元",598
2021,INC_FAM_WORK,6,"50,000-59,999 元",607
2021,INC_FAM_WORK,7,"60,000-69,999 元",485
2021,INC_FAM_WORK,8,"70,000-79,999 元",430
2021,INC_FAM_WORK,9,"80,000-89,999 元",338
2021,INC_FAM_WORK,10,"90,000-99,999 元",270
2021,INC_FAM_WORK,11,"100,000-129,999元",356
2021,INC_FAM_WORK,12,"130,000-159,999元",228
2021,INC_FAM_WORK,13,"160,000 元及以上，請記錄____________元",84
2021,INC_FAM_WORK,14,沒有這項收入,317
2021,INC_PERS_GOV,1,999 元及以下,101
2021,INC_PERS_GOV,2,"1,000-1,999 元",55
2021,INC_PERS_GOV,3,"2,000-2,999 元",56
2021,INC_PERS_GOV,4,"3,000-3,999 元",603
2021,INC_PERS_GOV,5,"4,000-4,999 元",178
2021,INC_PERS_GOV,6,"5,000-5,999 元",85
2021,INC_PERS_GOV,7,"6,000-7,999 元",297
2021,INC_PERS_GOV,8,"8,000-9,999 元",78
2021,INC_PERS_GOV,9,"10,000-14,999 元",87
2021,INC_PERS_GOV,10,"15,000-19,999 元",39
2021,INC_PERS_GOV,11,"20,000-29,999 元",36
2021,INC_PERS_GOV,11,沒有這項收入,3791
2021,INC_PERS_GOV,12,"30,000 元及以上，請記錄________元",3
2021,INC_PERS_INTEREST,1,999 元及以下,946
2021,INC_PERS_INTEREST,2,"1,000-1,999 元",113
2021,INC_PERS_INTEREST,3,"2,000-2,999 元",52
2021,INC_PERS_INTEREST,4,"3,000-3,999 元",21
2021,INC_PERS_INTEREST,5,"4,000-4,999 元",23
2021,INC_PERS_INTEREST,6,"5,000-5,999 元",15
2021,INC_PERS_INTEREST,7,"6,000-7,999 元",4
2021,INC_PERS_INTEREST,8,"8,000-9,999 元",12
2021,INC_PERS_INTEREST,9,"10,000-14,999 元",26
2021,INC_PERS_INTEREST,10,"15,000-19,999 元",6
2021,INC_PERS_INTEREST,11,"20,000-29,999 元",3
2021,INC_PERS_INTEREST,12,"30,000 元及以上，請記錄________元",3
2021,INC_PERS_INTEREST,13,沒有這項收入,4185
2021,INC_PERS_OTHER,1,"4,999 元及以下",179
2021,INC_PERS_OTHER,2,"5,000-9,999 元",34
2021,INC_PERS_OTHER,3,"10,000-14,999 元",14
2021,INC_PERS_OTHER,4,"15,000-19,999 元",3
2021,INC_PERS_OTHER,5,"20,000-24,999 元",11
2021,INC_PERS_OTHER,6,"25,000-29,999 元",3
2021,INC_PERS_OTHER,7,"30,000-39,999 元",1
2021,INC_PERS_OTHER,8,"40,000-49,999 元",1
2021,INC_PERS_OTHER,9,"50,000-59,999 元",8
2021,INC_PERS_OTHER,11,"70,000-79,999 元",1
2021,INC_PERS_OTHER,13,沒有這項收入,5154
2021,INC_PERS_RENT,1,"4,999 元及以下",53
2021,INC_PERS_RENT,2,"5,000-9,999 元",25
2021,INC_PERS_RENT,3,"10,000-14,999 元",17
2021,INC_PERS_RENT,4,"15,000-19,999 元",4
2021,INC_PERS_RENT,5,"20,000-24,999 元",6
2021,INC_PERS_RENT,6,"25,000-29,999 元",3
2021,INC_PERS_RENT,7,"30,000-39,999 元",4
2021,INC_PERS_RENT,8,"40,000-49,999 元",2
2021,INC_PERS_RENT,9,"50,000-59,999 元",11
2021,INC_PERS_RENT,11,"70,000-79,999 元",1
2021,INC_PERS_RENT,12,"80,000 元及以上，請記錄_________________元",1
2021,INC_PERS_RENT,13,沒有這項收入,5282
2021,INC_PERS_TRANSFER,1,999 元及以下,196
2021,INC_PERS_TRANSFER,2,"1,000-1,999 元",114
2021,INC_PERS_TRANSFER,3,"2,000-2,999 元",41
2021,INC_PERS_TRANSFER,4,"3,000-3,999 元",12
2021,INC_PERS_TRANSFER,5,"4,000-4,999 元",18
2021,INC_PERS_TRANSFER,6,"5,000-5,999 元",11
2021,INC_PERS_TRANSFER,7,"6,000-7,999 元",5
2021,INC_PERS_TRANSFER,8,"8,000-9,999 元",6
2021,INC_PERS_TRANSFER,9,"10,000-14,999 元",12
2021,INC_PERS_TRANSFER,10,"15,000-19,999 元",4
2021,INC_PERS_TRANSFER,11,"20,000-29,999 元",4
2021,INC_PERS_TRANSFER,11,沒有這項收入,4984
2021,INC_PERS_TRANSFER,12,"30,000 元及以上，請記錄________元",2
2021,INC_PERS_WORK,1,"9,999 元及以下",279
2021,INC_PERS_WORK,2,"10,000-14,999 元",323
2021,INC_PERS_WORK,3,"15,000-19,999 元",276
2021,INC_PERS_WORK,4,"20,000-24,999 元",406
2021,INC_PERS_WORK,5,"25,000-29,999 元",819
2021,INC_PERS_WORK,6,"30,000-39,999 元",1163
2021,INC_PERS_WORK,7,"40,000-49,999 元",693
2021,INC_PERS_WORK,8,"50,000-59,999 元",401
2021,INC_PERS_WORK,9,"60,000-69,999 元",148
2021,INC_PERS_WORK,10,"70,000-79,999 元",93
2021,INC_PERS_WORK,11,"80,000-89,999 元",43
2021,INC_PERS_WORK,12,"90,000-99,999 元",51
2021,INC_PERS_WORK,13,"100,000-129,999元",47
2021,INC_PERS_WORK,14,"130,000-159,999元",13
2021,INC_PERS_WORK,15,"160,000 元及以上，請記錄____________元",18
2021,INC_PERS_WORK,16,沒有這項收入,636
