sample_definition,survey_year,variable,valid_n_before,missing_n_before,missing_pct_before,mean_before,median_before,sd_before,min_before,max_before,valid_n_after,missing_n_after,missing_pct_after,mean_after,median_after,sd_after,min_after,max_after,valid_n_equal,mean_equal,median_equal,sd_equal,mean_delta,median_delta,expected_unchanged
full_sample,2002,EXP_ALCOHOL_EXPENDITURE,13004,109,0.00831236177838786,1377.6530298369732,500,1933.5227006359503,0,11500,13004,109,0.00831236177838786,1377.6530298369732,500,1933.5227006359503,0,11500,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
full_sample,2002,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,6442,6671,0.5087317928772973,1991.617510090034,500,2885.6767781890626,0,11500,6442,6671,0.5087317928772973,1991.617510090034,500,2885.6767781890626,0,11500,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
full_sample,2002,EXP_FOOD_EXPENDITURE,12915,198,0.01509951956074124,16909.214092140923,15000,9364.091882399607,4000,55000,12915,198,0.01509951956074124,16909.214092140923,15000,9364.091882399607,4000,55000,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
full_sample,2002,EXP_MEDICAL_EXPENDITURE,12874,239,0.01822618775261191,2557.402516700326,2000,2765.808983833599,0,11500,12874,239,0.01822618775261191,2557.402516700326,2000,2765.808983833599,0,11500,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
full_sample,2002,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,6265,6848,0.5222298482422024,26501.436552274543,24000,14565.065115490946,4500,107000,6265,6848,0.5222298482422024,26501.436552274543,24000,14565.065115490946,4500,107000,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
full_sample,2002,EXP_TOTAL_DERIVED_EXPENDITURE,13104,9,6.863417982155113e-4,25574.977106227107,23500,13777.612433396736,0,107000,13104,9,6.863417982155113e-4,25574.977106227107,23500,13777.612433396736,0,107000,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
full_sample,2002,EXP_TOTAL_REPORTED_EXPENDITURE,13097,16,0.00122016319682757,27289.455600519203,25000,16855.384193627433,10000,85000,13097,16,0.00122016319682757,27289.455600519203,25000,16855.384193627433,10000,85000,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
full_sample,2002,EXP_TRANSPORT_COMM_EXPENDITURE,12984,129,0.00983756577442233,3681.415588416513,2000,2797.60168385448,0,11500,12984,129,0.00983756577442233,3681.415588416513,2000,2797.60168385448,0,11500,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
full_sample,2002,EXP_TRAVEL_EXPENDITURE,6472,6641,0.5064439868832457,816.3627935723115,0,1741.9039021043577,0,11500,6472,6641,0.5064439868832457,816.3627935723115,0,1741.9039021043577,0,11500,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
full_sample,2002,INC_FAM_GOV_INCOME,13113,0,0,1892.2824677800656,0,3310.866413540173,0,35000,13113,0,0,1892.2824677800656,0,3310.866413540173,0,35000,TRUE,TRUE,TRUE,TRUE,0,0,FALSE
