data_year,survey_tag,main_var,supplement_var,rent_before_main,rent_before_supplement,rent_after_imputation,rent_source,rent_harmonized,frequency
2021,110,c2,c2o,"1,000元-未滿3,000元",NA,"1,000元-未滿3,000元",main,"1,000-2,999元",37
2021,110,c2,c2o,"10,000元-未滿15,000元",NA,"10,000元-未滿15,000元",main,"10,000-19,999元",340
2021,110,c2,c2o,"15,000元-未滿20,000元",NA,"15,000元-未滿20,000元",main,"10,000-19,999元",130
2021,110,c2,c2o,"20,000元以上",20000,"20,000元以上",main,"20,000元以上",17
2021,110,c2,c2o,"20,000元以上",21000,"20,000元以上",main,"20,000元以上",4
2021,110,c2,c2o,"20,000元以上",22000,"20,000元以上",main,"20,000元以上",7
2021,110,c2,c2o,"20,000元以上",23000,"20,000元以上",main,"20,000元以上",8
2021,110,c2,c2o,"20,000元以上",24000,"20,000元以上",main,"20,000元以上",1
2021,110,c2,c2o,"20,000元以上",25000,"20,000元以上",main,"20,000元以上",3
2021,110,c2,c2o,"20,000元以上",26000,"20,000元以上",main,"20,000元以上",2
2021,110,c2,c2o,"20,000元以上",26500,"20,000元以上",main,"20,000元以上",2
2021,110,c2,c2o,"20,000元以上",28000,"20,000元以上",main,"20,000元以上",3
2021,110,c2,c2o,"20,000元以上",30000,"20,000元以上",main,"20,000元以上",2
2021,110,c2,c2o,"20,000元以上",33000,"20,000元以上",main,"20,000元以上",1
2021,110,c2,c2o,"20,000元以上",35000,"20,000元以上",main,"20,000元以上",3
2021,110,c2,c2o,"20,000元以上",36000,"20,000元以上",main,"20,000元以上",1
2021,110,c2,c2o,"20,000元以上",40000,"20,000元以上",main,"20,000元以上",1
2021,110,c2,c2o,"20,000元以上",50000,"20,000元以上",main,"20,000元以上",3
2021,110,c2,c2o,"20,000元以上",64000,"20,000元以上",main,"20,000元以上",1
2021,110,c2,c2o,"20,000元以上",65000,"20,000元以上",main,"20,000元以上",1
2021,110,c2,c2o,"3,000元-未滿5,000元",NA,"3,000元-未滿5,000元",main,"3,000-4,999元",96
2021,110,c2,c2o,"5,000元-未滿6,000元",NA,"5,000元-未滿6,000元",main,"5,000-6,999元",81
2021,110,c2,c2o,"6,000元-未滿7,000元",NA,"6,000元-未滿7,000元",main,"5,000-6,999元",94
2021,110,c2,c2o,"7,000元-未滿8,000元",NA,"7,000元-未滿8,000元",main,"7,000-9,999元",103
2021,110,c2,c2o,"8,000元-未滿9,000元",NA,"8,000元-未滿9,000元",main,"7,000-9,999元",71
2021,110,c2,c2o,"9,000元-未滿10,000元",NA,"9,000元-未滿10,000元",main,"7,000-9,999元",86
2021,110,c2,c2o,不需要支付租金,NA,不需要支付租金,main,不需要支付租金,24
2021,110,c2,c2o,"未滿1,000元",NA,"未滿1,000元",main,"未滿1,000元",15
2021,110,c2,c2o,NA,40000,40000,supplement,"20,000元以上",1
2021,110,c2,c2o,NA,NA,NA,missing,NA,4271
