data_year,survey_tag,integrated_var,raw_value,frequency
2002,91,EXP_ALCOHOL,1千~未滿3千元,3403
2002,91,EXP_ALCOHOL,1萬元以上,96
2002,91,EXP_ALCOHOL,3千~未滿5千元,1211
2002,91,EXP_ALCOHOL,5千~未滿7千元,404
2002,91,EXP_ALCOHOL,7千~未滿1萬元,172
2002,91,EXP_ALCOHOL,未滿1千元,2550
2002,91,EXP_ALCOHOL,無此消費,5168
2002,91,EXP_BOOKS,1千~未滿3千元,1279
2002,91,EXP_BOOKS,1萬元以上,233
2002,91,EXP_BOOKS,3千~未滿5千元,641
2002,91,EXP_BOOKS,5千~未滿7千元,351
2002,91,EXP_BOOKS,7千~未滿1萬元,278
2002,91,EXP_BOOKS,未滿1千元,1119
2002,91,EXP_BOOKS,無此消費,2541
2002,91,EXP_EDU_TUITION,1千~未滿3千元,1279
2002,91,EXP_EDU_TUITION,1萬元以上,233
2002,91,EXP_EDU_TUITION,3千~未滿5千元,641
2002,91,EXP_EDU_TUITION,5千~未滿7千元,351
2002,91,EXP_EDU_TUITION,7千~未滿1萬元,278
2002,91,EXP_EDU_TUITION,未滿1千元,1119
2002,91,EXP_EDU_TUITION,無此消費,2541
2002,91,EXP_FOOD,1萬~未滿2萬元,4269
2002,91,EXP_FOOD,2萬~未滿3萬元,3812
2002,91,EXP_FOOD,3千~未滿5千元,1425
2002,91,EXP_FOOD,3萬~未滿4萬元,748
2002,91,EXP_FOOD,4萬~未滿5萬元,153
2002,91,EXP_FOOD,5千~未滿1萬元,2477
2002,91,EXP_FOOD,5萬元以上,31
2002,91,EXP_MEDICAL,1千~未滿3千元,4228
2002,91,EXP_MEDICAL,1萬元以上,511
2002,91,EXP_MEDICAL,3千~未滿5千元,1805
2002,91,EXP_MEDICAL,5千~未滿7千元,813
2002,91,EXP_MEDICAL,7千~未滿1萬元,541
2002,91,EXP_MEDICAL,未滿1千元,3790
2002,91,EXP_MEDICAL,無此消費,1186
2002,91,EXP_TOTAL_SYN,2萬~未滿3萬元,3904
2002,91,EXP_TOTAL_SYN,3萬~未滿4萬元,2269
2002,91,EXP_TOTAL_SYN,4萬~未滿5萬元,1198
2002,91,EXP_TOTAL_SYN,5萬~未滿6萬元,660
2002,91,EXP_TOTAL_SYN,6萬~未滿7萬元,291
2002,91,EXP_TOTAL_SYN,7萬~未滿8萬元,168
2002,91,EXP_TOTAL_SYN,8萬元以上,168
2002,91,EXP_TOTAL_SYN,未滿2萬元,4439
2002,91,EXP_TRANSPORT_COMM,1千~未滿3千元,4478
2002,91,EXP_TRANSPORT_COMM,1萬元以上,579
2002,91,EXP_TRANSPORT_COMM,3千~未滿5千元,3186
2002,91,EXP_TRANSPORT_COMM,5千~未滿7千元,1665
2002,91,EXP_TRANSPORT_COMM,7千~未滿1萬元,992
2002,91,EXP_TRANSPORT_COMM,未滿1千元,2038
2002,91,EXP_TRANSPORT_COMM,無此消費,46
2002,91,EXP_TRAVEL,1千~未滿3千元,829
2002,91,EXP_TRAVEL,1萬元以上,44
2002,91,EXP_TRAVEL,3千~未滿5千元,365
2002,91,EXP_TRAVEL,5千~未滿7千元,119
2002,91,EXP_TRAVEL,7千~未滿1萬元,62
2002,91,EXP_TRAVEL,未滿1千元,837
2002,91,EXP_TRAVEL,無此消費,4216
2006,95,EXP_ALCOHOL,不知道/拒答,351
2006,95,EXP_BOOKS,"1,000-1,999元",506
2006,95,EXP_BOOKS,"10,000-14,999元",59
2006,95,EXP_BOOKS,"15,000-19,999元",27
2006,95,EXP_BOOKS,1e+05,1
2006,95,EXP_BOOKS,"2,000-2,999元",389
2006,95,EXP_BOOKS,"20,000-29,999元",9
2006,95,EXP_BOOKS,"3,000-3,999元",286
2006,95,EXP_BOOKS,"30,000元及以上，請記錄____元",3
2006,95,EXP_BOOKS,34166,1
2006,95,EXP_BOOKS,35000,1
2006,95,EXP_BOOKS,"4,000-4,999元",198
2006,95,EXP_BOOKS,"5,000-6,999元",361
2006,95,EXP_BOOKS,"7,000-9,999元",426
2006,95,EXP_BOOKS,999元及以下,614
