data_year,survey_tag,integrated_var,raw_value,frequency
2021,110,INC_FAM_OTHER,"10,000元-未滿15,000元",22
2021,110,INC_FAM_OTHER,"15,000元-未滿20,000元",5
2021,110,INC_FAM_OTHER,"20,000元-未滿25,000元",13
2021,110,INC_FAM_OTHER,"25,000元-未滿30,000元",6
2021,110,INC_FAM_OTHER,"30,000元-未滿40,000元",2
2021,110,INC_FAM_OTHER,"40,000元-未滿50,000元",1
2021,110,INC_FAM_OTHER,"5,000元-未滿10,000元",42
2021,110,INC_FAM_OTHER,"50,000元-未滿60,000元",42
2021,110,INC_FAM_OTHER,"70,000元-未滿80,000元",3
2021,110,INC_FAM_OTHER,"未滿5,000元",229
2021,110,INC_FAM_OTHER,沒有這項收入,5044
