Variable,Survey Year,Present,Eligible N,Response Missing N,Response Missing %,Structural Missing
EDU,2021,1,5409,0,0,FALSE
EXP_ALCOHOL_EXPENDITURE,2021,1,5409,0,0,FALSE
EXP_BOOKS_EXPENDITURE,2021,1,5409,0,0,FALSE
EXP_CARE_EXPENDITURE,2021,1,5409,0,0,FALSE
EXP_CLEANING_EXPENDITURE,2021,1,5409,0,0,FALSE
EXP_CLOTHING_EXPENDITURE,2021,1,5409,0,0,FALSE
EXP_DINING_LODGING_EXPENDITURE,2021,1,5409,0,0,FALSE
EXP_EDU_TUITION_EXPENDITURE,2021,1,5409,0,0,FALSE
EXP_FOOD_EXPENDITURE,2021,1,5409,0,0,FALSE
EXP_FURNITURE_EXPENDITURE,2021,1,5409,0,0,FALSE
EXP_HOUSING_UTIL_EXPENDITURE,2021,1,5409,0,0,FALSE
EXP_LOAN_INTEREST_EXPENDITURE,2021,1,5409,0,0,FALSE
EXP_MEDICAL_EXPENDITURE,2021,1,5409,0,0,FALSE
EXP_OTHER_EXPENDITURE,2021,1,5409,0,0,FALSE
EXP_TAX_INS_GIFT_EXPENDITURE,2021,1,5409,0,0,FALSE
EXP_TOTAL_SYN_EXPENDITURE,2021,1,5409,5409,1,FALSE
EXP_TRANSPORT_COMM_EXPENDITURE,2021,1,5409,0,0,FALSE
EXP_TRAVEL_EXPENDITURE,2021,1,5409,0,0,FALSE
HOUSE_BELONG,2021,1,5409,0,0,FALSE
INC_FAM_GOV_INCOME,2021,1,5409,0,0,FALSE
INC_FAM_INTEREST_INCOME,2021,1,5409,0,0,FALSE
INC_FAM_OTHER_INCOME,2021,1,5409,0,0,FALSE
INC_FAM_RENT_INCOME,2021,1,5409,0,0,FALSE
INC_FAM_TOTAL_INCOME,2021,1,5409,5409,1,FALSE
INC_FAM_TRANSFER_INCOME,2021,1,5409,0,0,FALSE
INC_FAM_WORK_INCOME,2021,1,5409,0,0,FALSE
INC_PERS_GOV_INCOME,2021,1,5409,0,0,FALSE
INC_PERS_INTEREST_INCOME,2021,1,5409,0,0,FALSE
INC_PERS_OTHER_INCOME,2021,1,5409,0,0,FALSE
INC_PERS_RENT_INCOME,2021,1,5409,0,0,FALSE
INC_PERS_TRANSFER_INCOME,2021,1,5409,0,0,FALSE
INC_PERS_WORK_INCOME,2021,1,5409,0,0,FALSE
MALE,2021,1,5409,0,0,FALSE
N_FAMILY,2021,1,5409,0,0,FALSE
N_INDI,2021,1,5409,0,0,FALSE
RACE,2021,1,5409,42,0.00776483638380477,FALSE
RENT,2021,1,5409,4271,0.7896099094102422,FALSE
