Survey Year,City,Sample N
2002,南投縣,745
2002,台中市,252
2002,台中縣,828
2002,台北市,419
2002,台北縣,992
2002,台南市,53
2002,台南縣,59
2002,台東縣,2287
2002,嘉義市,52
2002,嘉義縣,105
2002,基隆市,52
2002,宜蘭縣,517
2002,屏東縣,1513
2002,彰化縣,52
2002,新竹市,53
2002,新竹縣,568
2002,桃園縣,850
2002,花蓮縣,2507
2002,苗栗縣,337
2002,連江縣,9
2002,金門縣,27
2002,高雄市,302
2002,高雄縣,534
2006,南投縣,378
2006,嘉義市,7
2006,嘉義縣,49
2006,基隆市,14
2006,宜蘭縣,271
2006,屏東縣,756
2006,彰化縣,46
2006,新竹市,14
2006,新竹縣,160
2006,桃園縣,312
2006,澎湖縣,3
2006,臺中市,58
2006,臺中縣,219
2006,臺北市,182
2006,臺北縣,262
2006,臺南市,23
2006,臺南縣,25
2006,臺東縣,1430
2006,花蓮縣,1228
2006,苗栗縣,175
2006,連江縣,2
2006,金門縣,3
2006,雲林縣,20
2006,高雄市,131
2006,高雄縣,245
2010,南投縣,240
2010,嘉義市,57
2010,嘉義縣,52
2010,基隆市,90
2010,宜蘭縣,131
2010,屏東縣,490
2010,彰化縣,59
2010,新竹市,50
2010,新竹縣,206
2010,桃園縣,561
2010,臺中市,80
2010,臺中縣,198
2010,臺北市,160
2010,臺北縣,500
2010,臺南市,57
2010,臺南縣,52
2010,臺東縣,732
2010,花蓮縣,845
2010,苗栗縣,119
2010,雲林縣,53
2010,高雄市,133
2010,高雄縣,162
2014,南投縣,263
2014,台北市,188
2014,嘉義市,64
2014,嘉義縣,59
2014,基隆市,97
2014,宜蘭縣,25
2014,屏東縣,547
2014,彰化縣,66
2014,新北市,624
2014,新竹市,63
2014,新竹縣,156
2014,桃園縣,492
2014,澎湖縣,50
2014,臺中市,335
2014,臺南市,99
2014,臺東縣,715
2014,花蓮縣,827
2014,苗栗縣,119
2014,雲林縣,52
2014,高雄市,373
2017,南投縣,261
2017,台北市,196
2017,嘉義市,37
2017,嘉義縣,54
2017,基隆市,85
2017,宜蘭縣,174
2017,屏東縣,477
2017,彰化縣,68
2017,新北市,532
2017,新竹市,52
2017,新竹縣,176
2017,桃園市,639
2017,澎湖縣,36
2017,臺中市,331
2017,臺南市,166
2017,臺東縣,720
2017,花蓮縣,798
2017,苗栗縣,124
2017,雲林縣,36
2017,高雄市,340
