variable,103_present,106_present,106-_present,91-1_label,91-1_present,91-2_label,91-2_present,95_present,99_present,95_label,103_label,106_label,106-_label,99_label
b01,No,No,No,訪員編號,Yes,訪員編號,Yes,No,No,,,,,
c1,No,No,No,,No,,No,Yes,No,C1.首先請問您屬於哪一個族別?,,,,
c10,No,No,No,,No,,No,Yes,No,C10.受訪者的性別,,,,
c2,No,No,No,,No,,No,Yes,No,C2.請問您今年幾歲?(若不知道，問幾年幾月生，以95-出生年=幾歲),,,,
c3,No,No,No,,No,,No,Yes,No,C3.請問您的教育程度?,,,,
c4,No,No,No,,No,,No,Yes,No,C4.請問你們家是不是符合地方政府列冊登記有案的低收入戶?,,,,
c5,No,No,No,,No,,No,Yes,No,C5.請問目前與您住在一起共同生活的(包括您自己)有幾個人?____人,,,,
c51,No,No,No,,No,,No,Yes,No,C5-1.其中原住民有幾位?____人,,,,
c51_1,No,No,No,,No,,No,Yes,No,C5-11.6歲以下的原住民有幾位?____人,,,,
c51_2,No,No,No,,No,,No,Yes,No,C5-12.7-15歲的原住民有幾位?____人,,,,
c51_3,No,No,No,,No,,No,Yes,No,C5-13.16-54歲的原住民有幾位?____人,,,,
c51_4,No,No,No,,No,,No,Yes,No,C5-14.55-64歲的原住民有幾位?____人,,,,
c51_5,No,No,No,,No,,No,Yes,No,C5-15.65歲以上的原住民有幾位?____人,,,,
c6,No,No,No,,No,,No,Yes,No,C6.請問您目前的婚姻狀況是?,,,,
c7,No,No,No,,No,,No,Yes,No,C7.請問您的先生(太太)是不是原住民?或是外籍配偶?,,,,
c71,No,No,No,,No,,No,Yes,No,C7-1.請問您的先生(太太)是哪一個族別?,,,,
c72,No,No,No,,No,,No,Yes,No,C7-2.請問您的配偶有沒有在工作?,,,,
c73,No,No,No,,No,,No,Yes,No,C7-3.為了改善您的經濟狀況，請問您希不希望您的配偶也外出工作?,,,,
c74_1,No,No,No,,No,,No,Yes,No,C7-4.請問您為什麼不希望您的配偶外出工作?【複選題，選擇一】,,,,
c74_2,No,No,No,,No,,No,Yes,No,C7-4.請問您為什麼不希望您的配偶外出工作?【複選題，選擇二】,,,,
c74_3,No,No,No,,No,,No,Yes,No,C7-4.請問您為什麼不希望您的配偶外出工作?【複選題，選擇三】,,,,
c74_4,No,No,No,,No,,No,Yes,No,C7-4.請問您為什麼不希望您的配偶外出工作?【複選題，選擇四】,,,,
c74_5,No,No,No,,No,,No,Yes,No,C7-4.請問您為什麼不希望您的配偶外出工作?【複選題，選擇五】,,,,
c74_6,No,No,No,,No,,No,Yes,No,C7-4.請問您為什麼不希望您的配偶外出工作?【複選題，選擇六】,,,,
c74_7,No,No,No,,No,,No,Yes,No,C7-4.請問您為什麼不希望您的配偶外出工作?【複選題，選擇七】,,,,
c74_8,No,No,No,,No,,No,Yes,No,C7-4.請問您為什麼不希望您的配偶外出工作?【複選題，選擇八】,,,,
c8,No,No,No,,No,,No,Yes,No,C8.請問您目前的職業是什麼?,,,,
c9,No,No,No,,No,,No,Yes,No,C9.請問您目前的行業是什麼?,,,,
f1,Yes,Yes,Yes,,No,,No,No,Yes,,F1.請問目前與您住在一起共同生活的【包括自己且不限原住民】有幾個人?,F1.目前與您「同戶籍」且「共同生活」的有幾個人(包括自己且不限原住民)?,F1.目前與您「同戶籍」且「共同生活」的有幾個人(包括自己且不限原住民)?,F1.請問您們家是不是符合地方政府列冊登記有案的低收入戶？
f1_1,Yes,No,No,,No,,No,No,No,,F1-1.其中原住民族有幾位?,,,
