variable,label,type,source
id,id,integer,110
level,level,character,110
county1,county1,character,110
a1,請問您的家庭型態是什麼？ □(1)單人家庭 □(2)夫婦家庭 □(3)單親家庭 □(4)核心家庭 □(5)祖孫家庭 □(6)三代家庭 □(7)其他家庭,character,110
a2,請問目前與您「同戶籍」且「共同生活」的有幾個人(包括自己且不限原住民)？_____人 【共同生活指一個星期同住5天以上者】,integer,110
a2_1_1,請問目前與您「同戶籍」且「共同生活」的有幾個人(包括自己且不限原住民)？_____人 【共同生活指一個星期同住5天以上者】,integer,110
a2_1_2,請問目前與您「同戶籍」且「共同生活」的有幾個人(包括自己且不限原住民)？_____人 【共同生活指一個星期同住5天以上者】,integer,110
a2_1_3,請問目前與您「同戶籍」且「共同生活」的有幾個人(包括自己且不限原住民)？_____人 【共同生活指一個星期同住5天以上者】,integer,110
a2_1_4,請問目前與您「同戶籍」且「共同生活」的有幾個人(包括自己且不限原住民)？_____人 【共同生活指一個星期同住5天以上者】,integer,110
a2_1_5,請問目前與您「同戶籍」且「共同生活」的有幾個人(包括自己且不限原住民)？_____人 【共同生活指一個星期同住5天以上者】,integer,110
a2_1_6,請問目前與您「同戶籍」且「共同生活」的有幾個人(包括自己且不限原住民)？_____人 【共同生活指一個星期同住5天以上者】,integer,110
a2_1_7,請問目前與您「同戶籍」且「共同生活」的有幾個人(包括自己且不限原住民)？_____人 【共同生活指一個星期同住5天以上者】,integer,110
a2_1_8,請問目前與您「同戶籍」且「共同生活」的有幾個人(包括自己且不限原住民)？_____人 【共同生活指一個星期同住5天以上者】,integer,110
a2_1_9,請問目前與您「同戶籍」且「共同生活」的有幾個人(包括自己且不限原住民)？_____人 【共同生活指一個星期同住5天以上者】,integer,110
a2_1_10,請問目前與您「同戶籍」且「共同生活」的有幾個人(包括自己且不限原住民)？_____人 【共同生活指一個星期同住5天以上者】,integer,110
a2_1_11,請問目前與您「同戶籍」且「共同生活」的有幾個人(包括自己且不限原住民)？_____人 【共同生活指一個星期同住5天以上者】,integer,110
a2_1_12,請問目前與您「同戶籍」且「共同生活」的有幾個人(包括自己且不限原住民)？_____人 【共同生活指一個星期同住5天以上者】,integer,110
a3,請問目前與您「同戶籍」，但「沒有住在一起」、「有經濟依賴關係」的有幾個人？__________人,integer,110
a4,請問目前與您「不同戶籍」，但「有住在一起」的有幾個人？__________人 【訪員自行填寫】家庭人數(A2+A3+A4)共_________________人,integer,110
a5_1,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源) □(1)所得 □(2)兄弟姊妹提供 □(3)政府補助 □(4)社會捐助 □(5)父母提供 □(6)婆家或岳父母提供 □(7)親戚朋友提供 □(8)子女提供 □(9)其他，請說明_______________ B 部分：經濟戶長基本資料,character,110
a5_2,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源) □(1)所得 □(2)兄弟姊妹提供 □(3)政府補助 □(4)社會捐助 □(5)父母提供 □(6)婆家或岳父母提供 □(7)親戚朋友提供 □(8)子女提供 □(9)其他，請說明_______________ B 部分：經濟戶長基本資料,character,110
a5_3,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源) □(1)所得 □(2)兄弟姊妹提供 □(3)政府補助 □(4)社會捐助 □(5)父母提供 □(6)婆家或岳父母提供 □(7)親戚朋友提供 □(8)子女提供 □(9)其他，請說明_______________ B 部分：經濟戶長基本資料,character,110
